Index       TIME             V(GATE)           V(OUT)      
0        0.00000000e+00    0.00000000e+00    1.49999995e+00
1        5.00000000e-13    0.00000000e+00    1.49999995e+00
2        1.50000000e-12    0.00000000e+00    1.49999995e+00
3        3.50000000e-12    0.00000000e+00    1.49999995e+00
4        7.50000000e-12    0.00000000e+00    1.49999995e+00
5        1.55000000e-11    0.00000000e+00    1.49999995e+00
6        2.55000000e-11    0.00000000e+00    1.49999995e+00
7        3.55000000e-11    0.00000000e+00    1.49999995e+00
8        4.55000000e-11    0.00000000e+00    1.49999995e+00
9        5.55000000e-11    0.00000000e+00    1.49999995e+00
10       6.55000000e-11    0.00000000e+00    1.49999995e+00
11       7.55000000e-11    0.00000000e+00    1.49999995e+00
12       8.55000000e-11    0.00000000e+00    1.49999995e+00
13       9.55000000e-11    0.00000000e+00    1.49999995e+00
14       1.00000000e-10    0.00000000e+00    1.49999995e+00
15       1.00346713e-10    1.04013916e-02    1.50433292e+00
16       1.00628080e-10    1.88423940e-02    1.50774630e+00
17       1.00909447e-10    2.72833964e-02    1.51111244e+00
18       1.01472180e-10    4.41654012e-02    1.51755046e+00
19       1.02597647e-10    7.79294109e-02    1.52935427e+00
20       1.04848581e-10    1.45457430e-01    1.54941243e+00
21       1.07099515e-10    2.12985449e-01    1.56575509e+00
22       1.09350449e-10    2.80513469e-01    1.57952636e+00
23       1.11601383e-10    3.48041488e-01    1.59157407e+00
24       1.13852317e-10    4.15569507e-01    1.60242719e+00
25       1.16103251e-10    4.83097527e-01    1.61226738e+00
26       1.18354185e-10    5.50625546e-01    1.62090597e+00
27       1.22856053e-10    6.85681585e-01    1.63321684e+00
28       1.27357921e-10    8.20737623e-01    1.64034889e+00
29       1.31859789e-10    9.55793662e-01    1.64300742e+00
30       1.34090514e-10    1.02271541e+00    1.63396706e+00
31       1.34837431e-10    1.04512292e+00    1.62676139e+00
32       1.35584348e-10    1.06753044e+00    1.61263332e+00
33       1.36331265e-10    1.08993796e+00    1.57446099e+00
34       1.36432821e-10    1.09298463e+00    1.56471978e+00
35       1.36534377e-10    1.09603131e+00    1.55339861e+00
36       1.36737489e-10    1.10212466e+00    1.52628117e+00
37       1.37143712e-10    1.11431137e+00    1.46171576e+00
38       1.37549936e-10    1.12649808e+00    1.39271496e+00
39       1.38362383e-10    1.15087149e+00    1.25049447e+00
40       1.39174830e-10    1.17524491e+00    1.10282194e+00
41       1.39987278e-10    1.19961833e+00    9.48340736e-01
42       1.40799725e-10    1.22399174e+00    7.88050902e-01
43       1.41612172e-10    1.24836516e+00    6.30045818e-01
44       1.42424619e-10    1.27273857e+00    4.96751548e-01
45       1.43121610e-10    1.29364829e+00    4.20492349e-01
46       1.43694783e-10    1.31084350e+00    3.79367565e-01
