Index    TIME    v(drain)mean    v(drain)meanPlus    v(drain)meanMinus    v(drain)stddev    v(drain)variance    
0   0.00000000e+00   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.41589900e-09   1.16683600e-17   
1   1.00000000e-09   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.57678600e-09   1.27934000e-17   
2   3.00000000e-09   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.57902300e-09   1.28094000e-17   
3   7.00000000e-09   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.57905200e-09   1.28096100e-17   
4   1.50000000e-08   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.57902300e-09   1.28094000e-17   
5   3.10000000e-08   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.57905200e-09   1.28096100e-17   
6   6.30000000e-08   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.57902300e-09   1.28094100e-17   
7   1.03000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.57905200e-09   1.28096100e-17   
8   1.43000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.57902300e-09   1.28094100e-17   
9   1.83000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.57905200e-09   1.28096100e-17   
10   2.23000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.57902300e-09   1.28094100e-17   
11   2.63000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.57905200e-09   1.28096100e-17   
12   3.03000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.57902300e-09   1.28094100e-17   
13   3.43000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.57905200e-09   1.28096100e-17   
14   3.83000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.57902300e-09   1.28094100e-17   
15   4.00000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.57905200e-09   1.28096100e-17   
16   4.01096000e-07   1.00008600e+00   1.00010900e+00   1.00006200e+00   2.38553000e-05   5.69075500e-10   
17   4.01970600e-07   1.00008900e+00   1.00011500e+00   1.00006300e+00   2.58541200e-05   6.68435700e-10   
18   4.03719900e-07   1.00009400e+00   1.00012400e+00   1.00006500e+00   2.96832200e-05   8.81093700e-10   
19   4.07218400e-07   1.00011000e+00   1.00015100e+00   1.00006900e+00   4.11467400e-05   1.69305400e-09   
20   4.14215500e-07   1.00016500e+00   1.00025500e+00   1.00007500e+00   9.03821500e-05   8.16893400e-09   
21   4.28209700e-07   1.00074200e+00   1.00151300e+00   9.99970400e-01   7.71283100e-04   5.94877700e-07   
22   4.32642600e-07   1.00138200e+00   1.00304100e+00   9.99721900e-01   1.65967700e-03   2.75452800e-06   
23   4.37075500e-07   1.00197800e+00   1.00569700e+00   9.98258500e-01   3.71926800e-03   1.38329500e-05   
24   4.37750300e-07   1.00210300e+00   1.00664500e+00   9.97559700e-01   4.54291600e-03   2.06380800e-05   
25   4.39099700e-07   1.00206200e+00   1.00903800e+00   9.95085900e-01   6.97629500e-03   4.86686900e-05   
26   4.40449100e-07   1.00140900e+00   1.01296200e+00   9.89855100e-01   1.15536100e-02   1.33485800e-04   
27   4.41798600e-07   9.99675300e-01   1.01930500e+00   9.80045100e-01   1.96301300e-02   3.85342100e-04   
28   4.43148000e-07   9.96026600e-01   1.02891200e+00   9.63141300e-01   3.28852700e-02   1.08144100e-03   
29   4.44497500e-07   9.89214200e-01   1.04254100e+00   9.35887600e-01   5.33265500e-02   2.84372100e-03   
30   4.45712000e-07   9.79027500e-01   1.05866100e+00   8.99393900e-01   7.96336500e-02   6.34151800e-03   
31   4.46805000e-07   9.65327700e-01   1.07629200e+00   8.54363200e-01   1.10964500e-01   1.23131100e-02   
32   4.47788800e-07   9.48350800e-01   1.09433700e+00   8.02365100e-01   1.45985700e-01   2.13118200e-02   
33   4.48674100e-07   9.28571900e-01   1.11158400e+00   7.45560000e-01   1.83011800e-01   3.34933300e-02   
34   4.49559500e-07   9.04308100e-01   1.12720300e+00   6.81413000e-01   2.22895100e-01   4.96822300e-02   
35   4.50340900e-07   8.79622000e-01   1.13713800e+00   6.22105900e-01   2.57516200e-01   6.63145800e-02   
36   4.50995800e-07   8.56903900e-01   1.14229100e+00   5.71516500e-01   2.85387400e-01   8.14459700e-02   
37   4.51585300e-07   8.35543100e-01   1.14382700e+00   5.27259700e-01   3.08283400e-01   9.50386500e-02   
38   4.52097700e-07   8.16615100e-01   1.14274100e+00   4.90488800e-01   3.26126200e-01   1.06358300e-01   
39   4.52559000e-07   7.99167000e-01   1.14040000e+00   4.57933600e-01   3.41233400e-01   1.16440200e-01   
40   4.53020200e-07   7.81329000e-01   1.13696600e+00   4.25692300e-01   3.55636800e-01   1.26477500e-01   
41   4.53481500e-07   7.63238800e-01   1.13243000e+00   3.94048100e-01   3.69190700e-01   1.36301800e-01   
42   4.53896600e-07   7.46971700e-01   1.12726400e+00   3.66679600e-01   3.80292000e-01   1.44622000e-01   
43   4.54311700e-07   7.30827200e-01   1.12105800e+00   3.40596600e-01   3.90230600e-01   1.52279900e-01   
44   4.54726900e-07   7.14920600e-01   1.11377900e+00   3.16062600e-01   3.98858000e-01   1.59087700e-01   
45   4.55100500e-07   7.00750800e-01   1.10639900e+00   2.95102200e-01   4.05648600e-01   1.64550800e-01   
