Index       FREQ              VM(2)      
             0              10       10.000008  
             1       12.716383        7.586269  
             2       15.807669       9.9586308  
             3       19.656622       10.598605  
             4       24.751118       12.177708  
             5        31.52841       11.056045  
             6       40.027798        7.702711  
             7       49.600364       11.759206  
             8       63.796439        7.292897  
             9       80.233371       10.392654  
            10       100.56228        9.612139  
            11       127.54828       10.602895  
            12       158.79191       10.875658  
            13        202.1351       12.049306  
            14       253.25429       10.669183  
            15        314.3031       9.2034738  
            16       395.03777       8.7758002  
            17       507.86483       7.5329678  
            18       622.50559       10.023451  
            19       792.45705       10.604554  
            20        1013.522       7.3266959  
            21       1266.0586       8.8011319  
            22       1595.0486       8.1374032  
            23       1991.0447       8.2562738  
            24       2483.4853       11.939429  
            25       3119.4686       10.983536  
            26       3989.8708       12.928162  
            27       4937.6792       9.7543858  
            28       6382.5255       15.434576  
            29       7989.3088       14.538696  
            30       9921.6179       44.556824  
            31       12757.237       29.509133  
            32       15716.199       7.5587177  
            33       20165.999       3.9072379  
            34       24832.679       2.5505533  
            35       31637.688       1.7064621  
            36       39548.712      0.94764719  
            37       50361.568      0.40038791  
            38       63754.476      0.27324981  
            39       79608.722        0.254695  
            40       101285.53      0.14567247  
            41       125454.05      0.08084649  
            42       157859.15     0.057810827  
            43       200786.56     0.027704245  
            44       249264.55     0.022336906  
            45       315211.63     0.011636759  
            46          392233    0.0075108164  
            47       504887.12    0.0057622411  
            48       633143.67    0.0037785539  
            49       801770.63    0.0015746908  
            50       987572.54    0.0012701757  

