Index       TIME              V(2)       
0        0.00000000e+00    0.00000000e+00
1        5.00000000e-02    8.00000000e-02
2        1.00000000e-01    1.60000000e-01
3        1.50000000e-01    2.40000000e-01
4        2.00000000e-01    3.20000000e-01
5        2.50000000e-01    4.00000000e-01
6        3.00000000e-01    4.80000000e-01
7        3.50000000e-01    5.60000000e-01
8        4.00000000e-01    6.40000000e-01
9        4.50000000e-01    7.20000000e-01
10       5.00000000e-01    8.00000000e-01
11       5.50000000e-01    7.20000000e-01
12       6.00000000e-01    6.40000000e-01
13       6.50000000e-01    5.60000000e-01
14       7.00000000e-01    4.80000000e-01
15       7.50000000e-01    4.00000000e-01
16       8.00000000e-01    3.20000000e-01
17       8.50000000e-01    2.40000000e-01
18       9.00000000e-01    1.60000000e-01
19       9.50000000e-01    8.00000000e-02
20       1.00000000e+00    0.00000000e+00
End of Xyce(TM) Simulation
