TIME,V(1),V(3)
0.00000000e+00,0.00000000e+00,4.00000000e+00
1.00000000e-01,2.00000000e-01,2.25111490e+00
2.00000000e-01,4.00000000e-01,1.00040113e+00
3.00000000e-01,6.00000000e-01,2.51026909e-01
4.00000000e-01,8.00000000e-01,7.14276167e-04
5.00000000e-01,1.00000000e+00,2.50000000e-01
6.00000000e-01,8.00000000e-01,1.00063501e+00
7.00000000e-01,6.00000000e-01,2.25105573e+00
8.00000000e-01,4.00000000e-01,4.00138100e+00
9.00000000e-01,2.00000000e-01,6.25161080e+00
1.00000000e+00,0.00000000e+00,9.00000000e+00
