Index       TIME              V(3)       
0        0.00000000e+00    0.00000000e+00
1        1.00000000e-10    6.28318531e-07
2        3.00000000e-10    1.88495559e-06
3        7.00000000e-10    4.39822971e-06
4        1.50000000e-09    9.42477795e-06
5        3.10000000e-09    1.94778744e-05
6        6.30000000e-09    3.95840673e-05
7        1.27000000e-08    7.97964526e-05
8        2.55000000e-08    1.60221222e-04
9        5.11000000e-08    3.21070752e-04
10       1.02300000e-07    6.42769767e-04
11       2.04700000e-07    1.28616749e-03
12       4.09500000e-07    2.57296081e-03
13       8.19100000e-07    5.14653141e-03
14       1.63830000e-06    1.02935489e-02
15       3.27670000e-06    2.05866117e-02
16       6.55350000e-06    4.11650309e-02
17       1.31071000e-05    8.22605239e-02
18       1.96607000e-05    1.23216180e-01
19       2.62143000e-05    1.63962568e-01
20       3.27679000e-05    2.04430610e-01
21       3.93215000e-05    2.44551702e-01
22       4.58751000e-05    2.84257827e-01
23       5.24287000e-05    3.23481676e-01
24       5.89823000e-05    3.62156754e-01
25       6.55359000e-05    4.00217499e-01
26       7.20895000e-05    4.37599391e-01
27       7.86431000e-05    4.74239061e-01
28       8.51967000e-05    5.10074399e-01
29       9.17503000e-05    5.45044661e-01
30       9.83039000e-05    5.79090567e-01
31       1.04857500e-04    6.12154406e-01
32       1.11411100e-04    6.44180133e-01
33       1.17964700e-04    6.75113464e-01
34       1.24518300e-04    7.04901965e-01
35       1.31071900e-04    7.33495146e-01
36       1.37625500e-04    7.60844543e-01
37       1.44179100e-04    7.86903800e-01
38       1.50732700e-04    8.11628751e-01
39       1.57286300e-04    8.34977490e-01
40       1.63839900e-04    8.56910445e-01
41       1.70393500e-04    8.77390447e-01
42       1.76947100e-04    8.96382788e-01
43       1.83500700e-04    9.13855282e-01
44       1.90054300e-04    9.29778323e-01
45       1.96607900e-04    9.44124930e-01
46       2.03161500e-04    9.56870794e-01
47       2.09715100e-04    9.67994322e-01
48       2.16268700e-04    9.77476671e-01
49       2.22822300e-04    9.85301780e-01
50       2.29375900e-04    9.91456397e-01
51       2.35929500e-04    9.95930104e-01
52       2.42483100e-04    9.98715333e-01
53       2.49036700e-04    9.99807376e-01
