Index,FREQ,VM(1A),VM(1B),VM(2B),VM(3B),{-20*LOG10(VM(1B)/VM(1A))}
0,1.00000000e+01,1.00000000e+00,1.57176725e-01,7.93266968e-02,5.29771486e-02,1.60722353e+01
1,2.00000000e+01,1.00000000e+00,7.93266968e-02,3.97572775e-02,2.65164967e-02,2.20116126e+01
2,3.00000000e+01,1.00000000e+00,5.29771486e-02,2.65164967e-02,1.76811182e-02,2.55182284e+01
3,4.00000000e+01,1.00000000e+00,3.97572775e-02,1.98904321e-02,1.32617456e-02,2.80116673e+01
4,5.00000000e+01,1.00000000e+00,3.18148751e-02,1.59134790e-02,1.06097323e-02,2.99473955e+01
5,6.00000000e+01,1.00000000e+00,2.65164967e-02,1.32617456e-02,8.84159567e-03,3.15296771e+01
6,7.00000000e+01,1.00000000e+00,2.27305460e-02,1.13674757e-02,7.57858917e-03,3.28678027e+01
7,8.00000000e+01,1.00000000e+00,1.98904321e-02,9.94669186e-03,6.63131015e-03,3.40271156e+01
8,9.00000000e+01,1.00000000e+00,1.76811182e-02,8.84159567e-03,5.89452512e-03,3.50498055e+01
9,1.00000000e+02,1.00000000e+00,1.59134790e-02,7.95749520e-03,5.30509011e-03,3.59646973e+01
End of Xyce(TM) Simulation
