Index,VSRC1:DCV0,VSRC2:DCV0,RLOAD1A:R,V(1A),V(2A),V(1B)
0,1.00000000e+00,2.00000000e+00,1.00000000e-01,1.00000000e+00,2.00000000e+00,1.25000000e+00
1,2.00000000e+00,2.00000000e+00,1.00000000e-01,2.00000000e+00,2.00000000e+00,1.87500000e+00
2,3.00000000e+00,2.00000000e+00,1.00000000e-01,3.00000000e+00,2.00000000e+00,2.50000000e+00
3,4.00000000e+00,2.00000000e+00,1.00000000e-01,4.00000000e+00,2.00000000e+00,3.12500000e+00
4,5.00000000e+00,2.00000000e+00,1.00000000e-01,5.00000000e+00,2.00000000e+00,3.75000000e+00
5,1.00000000e+00,5.00000000e+00,1.00000000e-01,1.00000000e+00,5.00000000e+00,2.18750000e+00
6,2.00000000e+00,5.00000000e+00,1.00000000e-01,2.00000000e+00,5.00000000e+00,2.81250000e+00
7,3.00000000e+00,5.00000000e+00,1.00000000e-01,3.00000000e+00,5.00000000e+00,3.43750000e+00
8,4.00000000e+00,5.00000000e+00,1.00000000e-01,4.00000000e+00,5.00000000e+00,4.06250000e+00
9,5.00000000e+00,5.00000000e+00,1.00000000e-01,5.00000000e+00,5.00000000e+00,4.68750000e+00
End of Xyce(TM) Simulation
