Index    TIME    v(5)quad_pce_mean    v(5)quad_pce_meanPlus    v(5)quad_pce_meanMinus    v(5)quad_pce_stddev    v(5)quad_pce_variance    v(2)quad_pce_mean    v(2)quad_pce_meanPlus    v(2)quad_pce_meanMinus    v(2)quad_pce_stddev    v(2)quad_pce_variance    
0   0.00000000e+00   2.49218000e+00   2.50039800e+00   2.48396200e+00   8.21804900e-03   6.75363300e-05   2.49218000e+00   2.50039800e+00   2.48396200e+00   8.21804900e-03   6.75363300e-05   
1   5.00000000e-12   2.49218000e+00   2.50039800e+00   2.48396200e+00   8.21795900e-03   6.75348400e-05   2.49218000e+00   2.50039800e+00   2.48396200e+00   8.21795900e-03   6.75348400e-05   
2   1.50000000e-11   2.49218000e+00   2.50039800e+00   2.48396200e+00   8.21790500e-03   6.75339600e-05   2.49218000e+00   2.50039800e+00   2.48396200e+00   8.21790500e-03   6.75339600e-05   
3   3.50000000e-11   2.49218000e+00   2.50039800e+00   2.48396200e+00   8.21793100e-03   6.75343900e-05   2.49218000e+00   2.50039800e+00   2.48396200e+00   8.21793100e-03   6.75343800e-05   
4   7.50000000e-11   2.49218000e+00   2.50039900e+00   2.48396200e+00   8.21822900e-03   6.75392900e-05   2.49218000e+00   2.50039900e+00   2.48396200e+00   8.21822900e-03   6.75392900e-05   
5   1.55000000e-10   2.49218000e+00   2.50039900e+00   2.48396100e+00   8.21889400e-03   6.75502200e-05   2.49218000e+00   2.50039900e+00   2.48396100e+00   8.21889400e-03   6.75502200e-05   
6   2.55000000e-10   2.49218000e+00   2.50040000e+00   2.48396000e+00   8.21980900e-03   6.75652600e-05   2.49218000e+00   2.50040000e+00   2.48396000e+00   8.21980900e-03   6.75652600e-05   
7   3.55000000e-10   2.49218000e+00   2.50040100e+00   2.48395900e+00   8.22069300e-03   6.75797900e-05   2.49218000e+00   2.50040100e+00   2.48395900e+00   8.22069300e-03   6.75797900e-05   
8   4.55000000e-10   2.49218000e+00   2.50040200e+00   2.48395800e+00   8.22154700e-03   6.75938300e-05   2.49218000e+00   2.50040200e+00   2.48395800e+00   8.22154700e-03   6.75938300e-05   
9   5.55000000e-10   2.49218000e+00   2.50040200e+00   2.48395800e+00   8.22233400e-03   6.76067800e-05   2.49218000e+00   2.50040200e+00   2.48395800e+00   8.22233400e-03   6.76067800e-05   
10   6.55000000e-10   2.49218000e+00   2.50040300e+00   2.48395700e+00   8.22306600e-03   6.76188100e-05   2.49218000e+00   2.50040300e+00   2.48395700e+00   8.22306600e-03   6.76188100e-05   
11   7.55000000e-10   2.49218000e+00   2.50040300e+00   2.48395600e+00   8.22372100e-03   6.76296000e-05   2.49218000e+00   2.50040300e+00   2.48395600e+00   8.22372100e-03   6.76295900e-05   
12   8.55000000e-10   2.49218000e+00   2.50040400e+00   2.48395500e+00   8.22430800e-03   6.76392400e-05   2.49218000e+00   2.50040400e+00   2.48395500e+00   8.22430800e-03   6.76392400e-05   
13   9.55000000e-10   2.49218000e+00   2.50040400e+00   2.48395500e+00   8.22481600e-03   6.76475900e-05   2.49218000e+00   2.50040400e+00   2.48395500e+00   8.22481500e-03   6.76475900e-05   
14   1.00000000e-09   2.49218000e+00   2.50040500e+00   2.48395500e+00   8.22502000e-03   6.76509600e-05   2.49218000e+00   2.50040500e+00   2.48395500e+00   8.22502000e-03   6.76509500e-05   
15   1.01000000e-09   2.49246300e+00   2.50068400e+00   2.48424300e+00   8.22055500e-03   6.75775300e-05   2.49371000e+00   2.50195300e+00   2.48546700e+00   8.24300600e-03   6.79471500e-05   
16   1.02000000e-09   2.49293100e+00   2.50114400e+00   2.48471800e+00   8.21297400e-03   6.74529500e-05   2.49539400e+00   2.50365600e+00   2.48713200e+00   8.26227100e-03   6.82651200e-05   
17   1.03000000e-09   2.49345900e+00   2.50166300e+00   2.48525400e+00   8.20440500e-03   6.73122600e-05   2.49696200e+00   2.50524400e+00   2.48868000e+00   8.28188000e-03   6.85895400e-05   
18   1.05000000e-09   2.49465600e+00   2.50283800e+00   2.48647300e+00   8.18241900e-03   6.69519800e-05   2.49906000e+00   2.50738000e+00   2.49074000e+00   8.31976900e-03   6.92185600e-05   
19   1.09000000e-09   2.49700500e+00   2.50513100e+00   2.48887800e+00   8.12677700e-03   6.60445000e-05   2.50095800e+00   2.50935700e+00   2.49255900e+00   8.39902900e-03   7.05436900e-05   
20   1.17000000e-09   2.50165400e+00   2.50965200e+00   2.49365700e+00   7.99750000e-03   6.39600000e-05   2.50251000e+00   2.51105400e+00   2.49396700e+00   8.54341700e-03   7.29899700e-05   
21   1.25000000e-09   2.50663500e+00   2.51451200e+00   2.49875800e+00   7.87686000e-03   6.20449300e-05   2.50264100e+00   2.51131500e+00   2.49396700e+00   8.67429500e-03   7.52434000e-05   
22   1.41000000e-09   2.51839400e+00   2.52616100e+00   2.51062800e+00   7.76683500e-03   6.03237200e-05   2.50073100e+00   2.50971600e+00   2.49174600e+00   8.98468000e-03   8.07244800e-05   
23   1.73000000e-09   2.55203000e+00   2.56063400e+00   2.54342700e+00   8.60362300e-03   7.40223300e-05   2.49005600e+00   2.50071300e+00   2.47939800e+00   1.06576800e-02   1.13586200e-04   
24   1.85467800e-09   2.56805700e+00   2.57825900e+00   2.55785600e+00   1.02013100e-02   1.04066700e-04   2.49204200e+00   2.50494400e+00   2.47914000e+00   1.29019000e-02   1.66459000e-04   
25   1.87352000e-09   2.57018200e+00   2.58067400e+00   2.55969000e+00   1.04923500e-02   1.10089400e-04   2.49911500e+00   2.51271100e+00   2.48551900e+00   1.35959900e-02   1.84850900e-04   
26   1.89236200e-09   2.57218300e+00   2.58298800e+00   2.56137700e+00   1.08054200e-02   1.16757100e-04   2.50762100e+00   2.52206600e+00   2.49317600e+00   1.44448400e-02   2.08653300e-04   
