Index    TIME    {V(DRAIN)}_quad_pce_mean    {V(DRAIN)}_quad_pce_meanPlus    {V(DRAIN)}_quad_pce_meanMinus    {V(DRAIN)}_quad_pce_stddev    {V(DRAIN)}_quad_pce_variance    
0   0.00000000e+00   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.38717400e-09   1.14729500e-17   
1   1.00000000e-09   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54211800e-09   1.25466000e-17   
2   3.00000000e-09   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54416800e-09   1.25611300e-17   
3   7.00000000e-09   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54419500e-09   1.25613200e-17   
4   1.50000000e-08   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54416900e-09   1.25611300e-17   
5   3.10000000e-08   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54419500e-09   1.25613200e-17   
6   6.30000000e-08   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54416900e-09   1.25611300e-17   
7   1.03000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54419500e-09   1.25613200e-17   
8   1.43000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54416900e-09   1.25611300e-17   
9   1.83000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54419500e-09   1.25613200e-17   
10   2.23000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54416900e-09   1.25611300e-17   
11   2.63000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54419500e-09   1.25613200e-17   
12   3.03000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54416900e-09   1.25611300e-17   
13   3.43000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54419500e-09   1.25613200e-17   
14   3.83000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54416900e-09   1.25611300e-17   
15   4.00000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54419500e-09   1.25613100e-17   
16   4.01096000e-07   1.00008600e+00   1.00011000e+00   1.00006100e+00   2.43875100e-05   5.94750800e-10   
17   4.01970600e-07   1.00008900e+00   1.00011500e+00   1.00006300e+00   2.64339000e-05   6.98751000e-10   
18   4.03719900e-07   1.00009500e+00   1.00012500e+00   1.00006400e+00   3.03551600e-05   9.21435500e-10   
19   4.07218400e-07   1.00011100e+00   1.00015300e+00   1.00006900e+00   4.21021800e-05   1.77259400e-09   
20   4.14215500e-07   1.00016600e+00   1.00025900e+00   1.00007300e+00   9.26393600e-05   8.58205100e-09   
21   4.28209600e-07   1.00075700e+00   1.00155400e+00   9.99959500e-01   7.97257600e-04   6.35619700e-07   
22   4.31999800e-07   1.00130100e+00   1.00285700e+00   9.99744400e-01   1.55639800e-03   2.42237600e-06   
23   4.35790000e-07   1.00193900e+00   1.00471000e+00   9.99167100e-01   2.77164000e-03   7.68198800e-06   
24   4.39580300e-07   1.00222400e+00   1.01005200e+00   9.94396800e-01   7.82743600e-03   6.12687500e-05   
25   4.39995600e-07   1.00205000e+00   1.01110300e+00   9.92996300e-01   9.05334100e-03   8.19629900e-05   
26   4.40410900e-07   1.00183000e+00   1.01228100e+00   9.91378700e-01   1.04510100e-02   1.09223600e-04   
27   4.41241500e-07   1.00109800e+00   1.01539500e+00   9.86800900e-01   1.42972200e-02   2.04410600e-04   
28   4.42072200e-07   9.99833100e-01   1.01968900e+00   9.79976900e-01   1.98562100e-02   3.94269000e-04   
29   4.42902800e-07   9.97839900e-01   1.02535900e+00   9.70320300e-01   2.75195800e-02   7.57327400e-04   
30   4.43733400e-07   9.94851200e-01   1.03254500e+00   9.57157200e-01   3.76939500e-02   1.42083400e-03   
31   4.44564000e-07   9.90483700e-01   1.04140000e+00   9.39567800e-01   5.09159300e-02   2.59243200e-03   
32   4.45394700e-07   9.84319400e-01   1.05210200e+00   9.16536400e-01   6.77830500e-02   4.59454200e-03   
33   4.46225300e-07   9.76005100e-01   1.06472400e+00   8.87285900e-01   8.87191500e-02   7.87108700e-03   
34   4.47055900e-07   9.65133100e-01   1.07906600e+00   8.51200200e-01   1.13932900e-01   1.29807100e-02   
35   4.47886600e-07   9.51006900e-01   1.09462300e+00   8.07390500e-01   1.43616400e-01   2.06256800e-02   
36   4.48717200e-07   9.32875600e-01   1.11092500e+00   7.54826700e-01   1.78048900e-01   3.17014200e-02   
37   4.49464700e-07   9.12855300e-01   1.12595200e+00   6.99758600e-01   2.13096700e-01   4.54102200e-02   
38   4.50212300e-07   8.89754400e-01   1.13918100e+00   6.40327300e-01   2.49427000e-01   6.22138400e-02   
39   4.50310000e-07   8.86589000e-01   1.14042700e+00   6.32750800e-01   2.53838200e-01   6.44338400e-02   
40   4.50407600e-07   8.83449900e-01   1.14152700e+00   6.25372500e-01   2.58077400e-01   6.66039600e-02   
41   4.50602900e-07   8.77289700e-01   1.14289600e+00   6.11683000e-01   2.65606700e-01   7.05469300e-02   
42   4.50798200e-07   8.71144500e-01   1.14355100e+00   5.98738400e-01   2.72406100e-01   7.42051000e-02   
43   4.50993600e-07   8.64872100e-01   1.14387900e+00   5.85865000e-01   2.79007100e-01   7.78449600e-02   
44   4.51384200e-07   8.52425000e-01   1.14286900e+00   5.61981500e-01   2.90443500e-01   8.43574400e-02   
45   4.51735700e-07   8.41280400e-01   1.14023400e+00   5.42327100e-01   2.98953300e-01   8.93730800e-02   
46   4.52087300e-07   8.29462100e-01   1.13737500e+00   5.21549500e-01   3.07912600e-01   9.48101800e-02   
47   4.52438900e-07   8.16708100e-01   1.13483100e+00   4.98584800e-01   3.18123300e-01   1.01202400e-01   
48   4.52790400e-07   8.03229000e-01   1.13236600e+00   4.74091900e-01   3.29137200e-01   1.08331300e-01   
