Index    TIME    {V(2)}_quad_pce_mean    {V(2)}_quad_pce_meanPlus    {V(2)}_quad_pce_meanMinus    {V(2)}_quad_pce_stddev    {V(2)}_quad_pce_variance    
0          0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00
1          1.000000e-10      7.885042e-14      9.132168e-14      6.637915e-14      1.247126e-14      1.555324e-28
2          3.000000e-10      5.519529e-13      6.392525e-13      4.646533e-13      8.729961e-14      7.621222e-27
3          7.000000e-10      2.128961e-12      2.465694e-12      1.792228e-12      3.367328e-13      1.133890e-25
4          1.500000e-09      9.067794e-12      1.050202e-11      7.633567e-12      1.434226e-12      2.057006e-24
5          3.100000e-09      3.808471e-11      4.410846e-11      3.206095e-11      6.023755e-12      3.628562e-23
6          6.300000e-09      1.566754e-10      1.814563e-10      1.318945e-10      2.478094e-11      6.140948e-22
7          1.270000e-08      6.360831e-10      7.366907e-10      5.354755e-10      1.006076e-10      1.012189e-20
8          2.550000e-08      2.563795e-09      2.969304e-09      2.158286e-09      4.055088e-10      1.644374e-19
9          5.110000e-08      1.029473e-08      1.192303e-08      8.666443e-09      1.628291e-09      2.651333e-18
10         1.023000e-07      4.125810e-08      4.778379e-08      3.473242e-08      6.525688e-09      4.258460e-17
11         2.047000e-07      1.651863e-07      1.913133e-07      1.390592e-07      2.612708e-08      6.826246e-16
12         4.095000e-07      6.610117e-07      7.655622e-07      5.564612e-07      1.045505e-07      1.093081e-14
13         8.191000e-07      2.644245e-06      3.062481e-06      2.226009e-06      4.182360e-07      1.749214e-13
14         1.228700e-06      5.949112e-06      6.890074e-06      5.008149e-06      9.409627e-07      8.854108e-13
15         1.638300e-06      1.057497e-05      1.224760e-05      8.902343e-06      1.672629e-06      2.797689e-12
16         2.047900e-06      1.652118e-05      1.913431e-05      1.390804e-05      2.613134e-06      6.828467e-12
17         2.457500e-06      2.378707e-05      2.754944e-05      2.002470e-05      3.762371e-06      1.415544e-11
18         2.867100e-06      3.237199e-05      3.749222e-05      2.725175e-05      5.120237e-06      2.621682e-11
19         3.276700e-06      4.227525e-05      4.896187e-05      3.558862e-05      6.686624e-06      4.471093e-11
