Index    TIME    V(DRAIN)quad_pce_mean    V(DRAIN)quad_pce_meanPlus    V(DRAIN)quad_pce_meanMinus    V(DRAIN)quad_pce_stddev    V(DRAIN)quad_pce_variance    
0   0.00000000e+00   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533200e-17   
1   1.00000000e-09   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533200e-17   
2   3.00000000e-09   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533200e-17   
3   7.00000000e-09   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533300e-17   
4   1.50000000e-08   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533200e-17   
5   3.10000000e-08   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533300e-17   
6   6.30000000e-08   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533200e-17   
7   1.03000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533200e-17   
8   1.43000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533200e-17   
9   1.83000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533200e-17   
10   2.23000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533300e-17   
11   2.63000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533200e-17   
12   3.03000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533300e-17   
13   3.43000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533200e-17   
14   3.83000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533300e-17   
15   4.00000000e-07   1.00000000e+00   1.00000000e+00   1.00000000e+00   3.54306700e-09   1.25533200e-17   
16   4.02156800e-07   1.00008900e+00   1.00011600e+00   1.00006300e+00   2.66603500e-05   7.10774300e-10   
17   4.04048800e-07   1.00009600e+00   1.00012800e+00   1.00006500e+00   3.13700400e-05   9.84079600e-10   
18   4.07832900e-07   1.00011400e+00   1.00015800e+00   1.00006900e+00   4.45542000e-05   1.98507700e-09   
19   4.15400900e-07   1.00018200e+00   1.00029100e+00   1.00007300e+00   1.08807300e-04   1.18390200e-08   
20   4.30537000e-07   1.00103100e+00   1.00216600e+00   9.99894700e-01   1.13587400e-03   1.29020900e-06   
