[Version] 2.0
# Hz Y MA R 50
[Number of Ports] 1
[Number of Frequencies] 61
[Reference] 50
[Network Data]
! This is not a "standard" Touchstone 2 file.  It also has the extra columns
! for the frequency-domain ISC data.
! Freq             magY11                   angY11                     magIsc1                 angIsc1
0.000e+00    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00
1.000e+07    1.174008858504287e-04    8.999860845802355e+01    2.147383241850907e-02    8.999805677868584e+01
2.000e+07    2.375308967084252e-04    8.998866985329016e+01    4.360287188511413e-02    8.998424545625080e+01
3.000e+07    3.633849628381458e-04    8.996060244703877e+01    6.710709235299449e-02    8.994560785635495e+01
4.000e+07    4.985461537492755e-04    8.990252475152154e+01    9.284981569530272e-02    8.986677245495437e+01
5.000e+07    6.476425508581707e-04    8.979844044684727e+01    1.219491804308942e-01    8.972807522640443e+01
6.000e+07    8.170727760308282e-04    8.962531984035965e+01    1.559553156579935e-01    8.950256751264865e+01
7.000e+07    1.016263504213476e-03    8.934798290213458e+01    1.971577129030295e-01    8.915081133805147e+01
8.000e+07    1.260029300170447e-03    8.890939198788661e+01    2.491626294683890e-01    8.861106418368324e+01
9.000e+07    1.573395476278145e-03    8.821058583097731e+01    3.180745849057834e-01    8.777907646842934e+01
1.000e+08    2.002518854154998e-03    8.706460477787078e+01    4.151759816776388e-01    8.646184002269997e+01
1.100e+08    2.642905661600795e-03    8.507495085509905e+01    5.638668831172079e-01    8.425581438551336e+01
1.200e+08    3.726461042985154e-03    8.124588952128381e+01    8.211558341723870e-01    8.015691325275273e+01
1.300e+08    5.958891265783912e-03    7.231108972581244e+01    1.361660429449573e+00    7.088871104657944e+01
1.400e+08    1.163098349980304e-02    4.249217790330464e+01    2.768290552086361e+00    4.066038924653064e+01
1.500e+08    1.117054641644744e-02    -2.846917097389770e+01    2.782890086281436e+00    -3.080204197327880e+01
1.600e+08    5.726127558663413e-03    -5.595395964245782e+01    1.501451170504178e+00    -5.889974174030664e+01
1.700e+08    3.590783027906263e-03    -6.404378240093506e+01    9.972474053982187e-01    -6.774085860603876e+01
1.800e+08    2.542392667329668e-03    -6.712461334806683e+01    7.533086069700765e-01    -7.174725530489670e+01
