Index    FREQ    Re(V(1))    Im(V(1)    Re(I(R1))    Im(I(R1))
0    0.0000000000E+00    +NAN    +NAN    +NAN    +NAN
1    1.0000000000E+07    +6.3388120508E-03    +1.0736542581E+00    +1.2677624102E-04    +2.1473085163E-02
2    2.0000000000E+07    +2.6488183586E-02    +2.1798238043E+00    +5.2976367172E-04    +4.3596476086E-02
3    3.0000000000E+07    +6.4126808044E-02    +3.3541460651E+00    +1.2825361609E-03    +6.7082921303E-02
4    4.0000000000E+07    +1.2643047542E-01    +4.6391299316E+00    +2.5286095084E-03    +9.2782598632E-02
5    5.0000000000E+07    +2.2609827309E-01    +6.0893751751E+00    +4.5219654617E-03    +1.2178750350E-01
6    6.0000000000E+07    +3.8541524080E-01    +7.7796482475E+00    +7.7083048159E-03    +1.5559296495E-01
7    7.0000000000E+07    +6.4459744750E-01    +9.8183737075E+00    +1.2891948950E-02    +1.9636747415E-01
8    8.0000000000E+07    +1.0799674912E+00    +1.2371608620E+01    +2.1599349825E-02    +2.4743217240E-01
9    9.0000000000E+07    +1.8469155796E+00    +1.5707969875E+01    +3.6938311592E-02    +3.1415939751E-01
10    1.0000000000E+08    +3.2926971503E+00    +2.0285964213E+01    +6.5853943006E-02    +4.0571928426E-01
11    1.1000000000E+08    +6.2942955522E+00    +2.6917704413E+01    +1.2588591104E-01    +5.3835408826E-01
12    1.2000000000E+08    +1.3438762678E+01    +3.6931350171E+01    +2.6877525356E-01    +7.3862700342E-01
13    1.3000000000E+08    +3.3523651386E+01    +5.0264213126E+01    +6.7047302773E-01    +1.0052842625E+00
14    1.4000000000E+08    +8.4456750913E+01    +3.9900252710E+01    +1.6891350183E+00    +7.9800505421E-01
15    1.5000000000E+08    +8.5952464436E+01    -3.2440295592E+01    +1.7190492887E+00    -6.4880591184E-01
16    1.6000000000E+08    +4.2952451279E+01    -4.6619655859E+01    +8.5904902558E-01    -9.3239311719E-01
17    1.7000000000E+08    +2.3391090350E+01    -3.9283666861E+01    +4.6782180701E-01    -7.8567333722E-01
18    1.8000000000E+08    +1.4860772960E+01    -3.2427341327E+01    +2.9721545921E-01    -6.4854682653E-01
19    1.9000000000E+08    +1.0523715493E+01    -2.7483620054E+01    +2.1047430986E-01    -5.4967240107E-01
20    2.0000000000E+08    +8.0207490316E+00    -2.3925497031E+01    +1.6041498063E-01    -4.7850994061E-01
21    2.1000000000E+08    +6.4347756367E+00    -2.1290131318E+01    +1.2869551273E-01    -4.2580262636E-01
22    2.2000000000E+08    +5.3570729793E+00    -1.9280411588E+01    +1.0714145959E-01    -3.8560823177E-01
23    2.3000000000E+08    +4.5840557349E+00    -1.7709904553E+01    +9.1681114697E-02    -3.5419809106E-01
24    2.4000000000E+08    +4.0050034273E+00    -1.6458984223E+01    +8.0100068546E-02    -3.2917968446E-01
25    2.5000000000E+08    +3.5552992040E+00    -1.5448603028E+01    +7.1105984080E-02    -3.0897206057E-01
26    2.6000000000E+08    +3.1949622794E+00    -1.4625118385E+01    +6.3899245588E-02    -2.9250236770E-01
27    2.7000000000E+08    +2.8979654411E+00    -1.3951389443E+01    +5.7959308822E-02    -2.7902778885E-01
28    2.8000000000E+08    +2.6465406655E+00    -1.3401430603E+01    +5.2930813309E-02    -2.6802861206E-01
29    2.9000000000E+08    +2.4279461047E+00    -1.2957140942E+01    +4.8558922094E-02    -2.5914281884E-01
30    3.0000000000E+08    +2.2325046864E+00    -1.2606298591E+01    +4.4650093729E-02    -2.5212597181E-01
31    3.1000000000E+08    +2.0523084451E+00    -1.2341374519E+01    +4.1046168901E-02    -2.4682749038E-01
32    3.2000000000E+08    +1.8802458881E+00    -1.2158929025E+01    +3.7604917763E-02    -2.4317858050E-01
33    3.3000000000E+08    +1.7091192268E+00    -1.2059486071E+01    +3.4182384535E-02    -2.4118972142E-01
34    3.4000000000E+08    +1.5306344102E+00    -1.2047880909E+01    +3.0612688203E-02    -2.4095761818E-01
35    3.5000000000E+08    +1.3339727674E+00    -1.2134175846E+01    +2.6679455348E-02    -2.4268351692E-01
36    3.6000000000E+08    +1.1034342880E+00    -1.2335364143E+01    +2.2068685761E-02    -2.4670728286E-01
37    3.7000000000E+08    +8.1411419560E-01    -1.2678253878E+01    +1.6282283912E-02    -2.5356507756E-01
38    3.8000000000E+08    +4.2328823480E-01    -1.3204114103E+01    +8.4657646960E-03    -2.6408228206E-01
39    3.9000000000E+08    -1.4811915175E-01    -1.3975536918E+01    -2.9623830349E-03    -2.7951073837E-01
40    4.0000000000E+08    -1.0586056482E+00    -1.5083457161E+01    -2.1172112964E-02    -3.0166914322E-01
41    4.1000000000E+08    -2.6535542155E+00    -1.6635596060E+01    -5.3071084310E-02    -3.3271192121E-01
42    4.2000000000E+08    -5.7371120860E+00    -1.8608197732E+01    -1.1474224172E-01    -3.7216395464E-01
43    4.3000000000E+08    -1.2037005011E+01    -1.9901585313E+01    -2.4074010022E-01    -3.9803170625E-01
44    4.4000000000E+08    -2.2066517714E+01    -1.4923228352E+01    -4.4133035429E-01    -2.9846456705E-01
45    4.5000000000E+08    -2.3691694515E+01    -4.4468851259E-01    -4.7383389030E-01    -8.8937702518E-03
46    4.6000000000E+08    -1.4773375132E+01    +6.6460752509E+00    -2.9546750264E-01    +1.3292150502E-01
