Index              V(1)           V(2)           V(2A)           V(3)           V(3A)           V(4)           V(5)
0  -1.000000000e+01  -1.101323287e+04  -1.000000000e+01   1.101323292e+04   1.000000000e+01  -9.999999959e-01  -9.999999996e+00 
1  -9.900000000e+00  -9.965185194e+03  -9.900000000e+00   9.965185244e+03   9.900000000e+00  -9.999999950e-01  -9.900000001e+00 
2  -9.800000000e+00  -9.016872436e+03  -9.800000000e+00   9.016872492e+03   9.800000000e+00  -9.999999939e-01  -9.800000003e+00 
3  -9.700000000e+00  -8.158803568e+03  -9.700000000e+00   8.158803630e+03   9.700000000e+00  -9.999999925e-01  -9.699999997e+00 
4  -9.600000000e+00  -7.382390749e+03  -9.600000000e+00   7.382390817e+03   9.600000000e+00  -9.999999908e-01  -9.599999998e+00 
5  -9.500000000e+00  -6.679863377e+03  -9.500000000e+00   6.679863452e+03   9.500000000e+00  -9.999999888e-01  -9.500000001e+00 
6  -9.400000000e+00  -6.044190324e+03  -9.400000000e+00   6.044190406e+03   9.400000000e+00  -9.999999863e-01  -9.400000002e+00 
7  -9.300000000e+00  -5.469009558e+03  -9.300000000e+00   5.469009650e+03   9.300000000e+00  -9.999999833e-01  -9.300000000e+00 
8  -9.200000000e+00  -4.948564479e+03  -9.200000000e+00   4.948564580e+03   9.200000000e+00  -9.999999796e-01  -9.200000000e+00 
9  -9.100000000e+00  -4.477646296e+03  -9.100000000e+00   4.477646408e+03   9.100000000e+00  -9.999999751e-01  -9.100000000e+00 
10  -9.000000000e+00  -4.051541902e+03  -9.000000000e+00   4.051542025e+03   9.000000000e+00  -9.999999695e-01  -9.000000000e+00 
11  -8.900000000e+00  -3.665986701e+03  -8.900000000e+00   3.665986838e+03   8.900000000e+00  -9.999999628e-01  -8.900000000e+00 
12  -8.800000000e+00  -3.317121928e+03  -8.800000000e+00   3.317122079e+03   8.800000000e+00  -9.999999546e-01  -8.800000000e+00 
13  -8.700000000e+00  -3.001456025e+03  -8.700000000e+00   3.001456192e+03   8.700000000e+00  -9.999999445e-01  -8.700000000e+00 
14  -8.600000000e+00  -2.715829704e+03  -8.600000000e+00   2.715829888e+03   8.600000000e+00  -9.999999322e-01  -8.600000000e+00 
15  -8.500000000e+00  -2.457384318e+03  -8.500000000e+00   2.457384522e+03   8.500000000e+00  -9.999999172e-01  -8.500000000e+00 
16  -8.400000000e+00  -2.223533261e+03  -8.400000000e+00   2.223533486e+03   8.400000000e+00  -9.999998989e-01  -8.400000000e+00 
17  -8.300000000e+00  -2.011936073e+03  -8.300000000e+00   2.011936321e+03   8.300000000e+00  -9.999998765e-01  -8.300000000e+00 
18  -8.200000000e+00  -1.820475016e+03  -8.200000000e+00   1.820475291e+03   8.200000000e+00  -9.999998491e-01  -8.200000000e+00 
19  -8.100000000e+00  -1.647233886e+03  -8.100000000e+00   1.647234189e+03   8.100000000e+00  -9.999998157e-01  -8.100000000e+00 
20  -8.000000000e+00  -1.490478826e+03  -8.000000000e+00   1.490479161e+03   8.000000000e+00  -9.999997749e-01  -8.000000000e+00 
21  -7.900000000e+00  -1.348640979e+03  -7.900000000e+00   1.348641350e+03   7.900000000e+00  -9.999997251e-01  -7.900000000e+00 
22  -7.800000000e+00  -1.220300784e+03  -7.800000000e+00   1.220301194e+03   7.800000000e+00  -9.999996642e-01  -7.800000000e+00 
