Index        TIME             V(1)             V(2)             V(3)             V(4)
0       0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
1       1.00000000e-06   5.02443182e-02   2.51221591e-02   5.02443182e-02   2.51221591e-02   
2       1.70652183e-06   8.56739872e-02   4.28369936e-02   8.56739872e-02   4.28369936e-02   
3       2.41304366e-06   1.20995614e-01   6.04978069e-02   1.20995614e-01   6.04978069e-02   
4       3.11956549e-06   1.56164654e-01   7.80823271e-02   1.56164654e-01   7.80823271e-02   
5       3.82608732e-06   1.91136757e-01   9.55683787e-02   1.91136757e-01   9.55683787e-02   
6       4.53260916e-06   2.25867820e-01   1.12933910e-01   2.25867820e-01   1.12933910e-01   
7       5.23913099e-06   2.60314044e-01   1.30157022e-01   2.60314044e-01   1.30157022e-01   
8       5.94565282e-06   2.94431990e-01   1.47215995e-01   2.94431990e-01   1.47215995e-01   
9       6.65217465e-06   3.28178630e-01   1.64089315e-01   3.28178630e-01   1.64089315e-01   
10      7.35869648e-06   3.61511409e-01   1.80755704e-01   3.61511409e-01   1.80755704e-01   
11      8.06521831e-06   3.94388290e-01   1.97194145e-01   3.94388290e-01   1.97194145e-01   
12      8.77174014e-06   4.26767813e-01   2.13383906e-01   4.26767813e-01   2.13383906e-01   
13      9.47826197e-06   4.58609144e-01   2.29304572e-01   4.58609144e-01   2.29304572e-01   
14      1.01847838e-05   4.89872129e-01   2.44936065e-01   4.89872129e-01   2.44936065e-01   
15      1.08913056e-05   5.20517343e-01   2.60258671e-01   5.20517343e-01   2.60258671e-01   
16      1.15978275e-05   5.50506138e-01   2.75253069e-01   5.50506138e-01   2.75253069e-01   
17      1.23043493e-05   5.79800697e-01   2.89900349e-01   5.79800697e-01   2.89900349e-01   
18      1.30108711e-05   6.08364077e-01   3.04182038e-01   6.08364077e-01   3.04182038e-01   
19      1.37173930e-05   6.36160256e-01   3.18080128e-01   6.36160256e-01   3.18080128e-01   
20      1.44239148e-05   6.63154182e-01   3.31577091e-01   6.63154182e-01   3.31577091e-01   
21      1.51304366e-05   6.89311812e-01   3.44655906e-01   6.89311812e-01   3.44655906e-01   
22      1.58369585e-05   7.14600159e-01   3.57300080e-01   7.14600159e-01   3.57300080e-01   
23      1.65434803e-05   7.38987333e-01   3.69493667e-01   7.38987333e-01   3.69493667e-01   
24      1.72500021e-05   7.62442580e-01   3.81221290e-01   7.62442580e-01   3.81221290e-01   
25      1.79565239e-05   7.84936319e-01   3.92468160e-01   7.84936319e-01   3.92468160e-01   
26      1.86630458e-05   8.06440185e-01   4.03220093e-01   8.06440185e-01   4.03220093e-01   
27      1.93695676e-05   8.26927060e-01   4.13463530e-01   8.26927060e-01   4.13463530e-01   
28      2.00760894e-05   8.46371107e-01   4.23185553e-01   8.46371107e-01   4.23185553e-01   
29      2.07826113e-05   8.64747806e-01   4.32373903e-01   8.64747806e-01   4.32373903e-01   
30      2.14891331e-05   8.82033982e-01   4.41016991e-01   8.82033982e-01   4.41016991e-01   
31      2.21956549e-05   8.98207836e-01   4.49103918e-01   8.98207836e-01   4.49103918e-01   
32      2.29021768e-05   9.13248972e-01   4.56624486e-01   9.13248972e-01   4.56624486e-01   
33      2.36086986e-05   9.27138421e-01   4.63569210e-01   9.27138421e-01   4.63569210e-01   
34      2.43152204e-05   9.39858666e-01   4.69929333e-01   9.39858666e-01   4.69929333e-01   
35      2.50217423e-05   9.51393668e-01   4.75696834e-01   9.51393668e-01   4.75696834e-01   
36      2.57282641e-05   9.61728879e-01   4.80864440e-01   9.61728879e-01   4.80864440e-01   
37      2.64347859e-05   9.70851266e-01   4.85425633e-01   9.70851266e-01   4.85425633e-01   
38      2.71413077e-05   9.78749325e-01   4.89374662e-01   9.78749325e-01   4.89374662e-01   
39      2.78478296e-05   9.85413094e-01   4.92706547e-01   9.85413094e-01   4.92706547e-01   
40      2.85543514e-05   9.90834172e-01   4.95417086e-01   9.90834172e-01   4.95417086e-01   
41      2.92608732e-05   9.95005721e-01   4.97502860e-01   9.95005721e-01   4.97502860e-01   
42      2.99673951e-05   9.97922481e-01   4.98961240e-01   9.97922481e-01   4.98961240e-01   
