Index       TIME              V(3)       
0        0.00000000e+00    3.50000000e+00
1        5.00000000e-11    3.50000000e+00
2        1.50000000e-10    3.50000000e+00
3        3.50000000e-10    3.50000000e+00
4        7.50000000e-10    3.50000000e+00
5        1.55000000e-09    3.50000000e+00
6        3.15000000e-09    3.50000000e+00
7        3.35000000e-09    3.50000000e+00
8        3.45000000e-09    3.50000000e+00
9        3.50000000e-09    3.50000000e+00
10       3.60000000e-09    3.50000000e+00
11       3.61250000e-09    3.50000000e+00
12       3.61875000e-09    3.50000000e+00
13       3.63125000e-09    3.50000000e+00
14       3.63281250e-09    3.50000000e+00
15       3.63593750e-09    3.50000000e+00
16       3.63661408e-09    3.47916703e+00
17       3.63729066e-09    3.45847407e+00
18       3.63864381e-09    3.41736628e+00
19       3.64135012e-09    3.33679717e+00
20       3.64676275e-09    3.18202793e+00
21       3.65217537e-09    3.03541504e+00
22       3.65758799e-09    2.89652865e+00
23       3.66300062e-09    2.76496157e+00
24       3.66841324e-09    2.64032808e+00
25       3.67382586e-09    2.52226277e+00
26       3.67923849e-09    2.41041951e+00
27       3.68465111e-09    2.30447039e+00
28       3.69006373e-09    2.20410478e+00
29       3.69547636e-09    2.10902845e+00
30       3.70088898e-09    2.01896264e+00
31       3.70630160e-09    1.93364329e+00
32       3.71171423e-09    1.85282028e+00
33       3.71712685e-09    1.77625664e+00
34       3.72253947e-09    1.70372791e+00
35       3.72795210e-09    1.63502144e+00
36       3.73336472e-09    1.56993580e+00
37       3.73877734e-09    1.50828017e+00
38       3.74418997e-09    1.44987380e+00
39       3.74960259e-09    1.39454544e+00
40       3.75501521e-09    1.34213289e+00
41       3.76042784e-09    1.29248248e+00
42       3.76584046e-09    1.24544865e+00
43       3.77125308e-09    1.20089350e+00
44       3.77666571e-09    1.15868640e+00
45       3.78207833e-09    1.11870363e+00
46       3.78749095e-09    1.08082794e+00
47       3.79290358e-09    1.04494830e+00
48       3.79831620e-09    1.01095952e+00
49       3.80372882e-09    9.78761950e-01
50       3.81455407e-09    9.19326555e-01
51       3.82537932e-09    8.65994820e-01
52       3.83620456e-09    8.18139935e-01
53       3.84702981e-09    7.75199462e-01
54       3.85785506e-09    7.36668718e-01
55       3.86868030e-09    7.02094852e-01
56       3.87950555e-09    6.71071515e-01
57       3.89033080e-09    6.43234090e-01
58       3.90115605e-09    6.18255401e-01
59       3.91198129e-09    5.95841875e-01
60       3.92280654e-09    5.75730085e-01
61       3.93363179e-09    5.57683655e-01
62       3.94445703e-09    5.41490485e-01
63       3.95528228e-09    5.26960257e-01
64       3.96610753e-09    5.13922197e-01
65       3.98775802e-09    4.91666693e-01
66       4.00940851e-09    4.73758958e-01
67       4.03105901e-09    4.59349625e-01
68       4.05270950e-09    4.47755257e-01
69       4.07435999e-09    4.38425931e-01
70       4.09601049e-09    4.30919154e-01
71       4.13931147e-09    4.19913610e-01
72       4.22591345e-09    4.07879094e-01
73       4.31251542e-09    4.03117472e-01
74       4.39911740e-09    4.01233471e-01
75       4.57232134e-09    4.00088563e-01
76       4.74552529e-09    4.00006358e-01
