Index   V(1)           V(3)           
0       -1.00000000e+01  -1.00000000e+01  
1       -9.00000000e+00  -9.00000000e+00  
2       -8.00000000e+00  -8.00000000e+00  
3       -7.00000000e+00  -7.00000000e+00  
4       -6.00000000e+00  -6.00000000e+00  
5       -5.00000000e+00  -5.00000000e+00  
6       -4.00000000e+00  -4.00000000e+00  
7       -3.00000000e+00  -3.00000000e+00  
8       -2.00000000e+00  -2.00000000e+00  
9       -1.00000000e+00  -1.00000000e+00  
10      0.00000000e+00   0.00000000e+00   
11      1.00000000e+00   -1.00000000e+00  
12      2.00000000e+00   -2.00000000e+00  
13      3.00000000e+00   -3.00000000e+00  
14      4.00000000e+00   -4.00000000e+00  
15      5.00000000e+00   -5.00000000e+00  
16      6.00000000e+00   -6.00000000e+00  
17      7.00000000e+00   -7.00000000e+00  
18      8.00000000e+00   -8.00000000e+00  
19      9.00000000e+00   -9.00000000e+00  
20      1.00000000e+01   -1.00000000e+01  
End of Xyce(TM) Simulation
