Index      TIME           V(1)           V(2)           V(3)
0       0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
1       1.00000000e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   
2       3.00000000e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   
3       7.00000000e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   
4       1.50000000e-08   0.00000000e+00   0.00000000e+00   0.00000000e+00   
5       3.10000000e-08   0.00000000e+00   0.00000000e+00   0.00000000e+00   
6       6.30000000e-08   0.00000000e+00   0.00000000e+00   0.00000000e+00   
7       1.27000000e-07   0.00000000e+00   0.00000000e+00   0.00000000e+00   
8       2.55000000e-07   0.00000000e+00   0.00000000e+00   0.00000000e+00   
9       5.11000000e-07   0.00000000e+00   0.00000000e+00   0.00000000e+00   
10      1.02300000e-06   0.00000000e+00   0.00000000e+00   0.00000000e+00   
11      2.04700000e-06   0.00000000e+00   0.00000000e+00   0.00000000e+00   
12      4.09500000e-06   0.00000000e+00   0.00000000e+00   0.00000000e+00   
13      8.19100000e-06   0.00000000e+00   0.00000000e+00   0.00000000e+00   
14      1.63830000e-05   0.00000000e+00   0.00000000e+00   0.00000000e+00   
15      3.27670000e-05   0.00000000e+00   0.00000000e+00   0.00000000e+00   
16      6.55350000e-05   0.00000000e+00   0.00000000e+00   0.00000000e+00   
17      1.31071000e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   
18      2.62143000e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   
19      5.24287000e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   
20      1.04857500e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   
21      2.04857500e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   
22      3.04857500e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   
23      4.04857500e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   
24      5.04857500e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   
25      6.04857500e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   
26      7.04857500e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   
27      8.04857500e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   
28      9.04857500e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   
29      1.00000000e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   
30      1.00050000e-02   1.50000000e-02   0.00000000e+00   0.00000000e+00   
