Index       TIME              V(1)       
0        0.00000000e+00    1.10000000e+00
1        2.50000000e-15    1.10000000e+00
2        7.50000000e-15    1.10000000e+00
3        1.75000000e-14    1.10000000e+00
4        3.75000000e-14    1.10000000e+00
5        7.75000000e-14    1.10000000e+00
6        1.57500000e-13    1.10000000e+00
7        3.17500000e-13    1.10000000e+00
8        5.00000000e-13    1.10000000e+00
9        5.01875000e-13    1.10562500e+00
10       5.03750000e-13    1.11125000e+00
11       5.07500000e-13    1.12250000e+00
12       5.15000000e-13    1.14500000e+00
13       5.30000000e-13    1.19000000e+00
14       5.60000000e-13    1.28000000e+00
15       6.20000000e-13    1.46000000e+00
16       7.40000000e-13    1.82000000e+00
17       8.00000000e-13    2.00000000e+00
18       8.24000000e-13    2.00000000e+00
19       8.72000000e-13    2.00000000e+00
20       9.68000000e-13    2.00000000e+00
21       1.16000000e-12    2.00000000e+00
22       1.54400000e-12    2.00000000e+00
23       2.31200000e-12    2.00000000e+00
24       3.84800000e-12    2.00000000e+00
25       6.92000000e-12    2.00000000e+00
26       1.08000000e-11    2.00000000e+00
27       1.08025000e-11    1.99437500e+00
28       1.08075000e-11    1.98312500e+00
29       1.08175000e-11    1.96062500e+00
30       1.08375000e-11    1.91562500e+00
31       1.08775000e-11    1.82562500e+00
32       1.09575000e-11    1.64562500e+00
33       1.11175000e-11    1.28562500e+00
34       1.12000000e-11    1.10000000e+00
35       1.12320000e-11    1.10000000e+00
36       1.12960000e-11    1.10000000e+00
37       1.14240000e-11    1.10000000e+00
38       1.16800000e-11    1.10000000e+00
39       1.21920000e-11    1.10000000e+00
40       1.32160000e-11    1.10000000e+00
41       1.52640000e-11    1.10000000e+00
42       1.93600000e-11    1.10000000e+00
43       2.75520000e-11    1.10000000e+00
44       3.75520000e-11    1.10000000e+00
45       4.75520000e-11    1.10000000e+00
46       5.75520000e-11    1.10000000e+00
47       6.75520000e-11    1.10000000e+00
48       7.75520000e-11    1.10000000e+00
49       8.75520000e-11    1.10000000e+00
50       9.75520000e-11    1.10000000e+00
51       1.00000000e-10    1.10000000e+00
End of Xyce(TM) Simulation
