Index       TIME              V(1)       
0        0.00000000e+00    1.10000000e+00
1        2.50000000e-16    1.10000000e+00
2        7.50000000e-16    1.10000000e+00
3        1.75000000e-15    1.10000000e+00
4        3.75000000e-15    1.10000000e+00
5        7.75000000e-15    1.10000000e+00
6        1.57500000e-14    1.10000000e+00
7        3.17500000e-14    1.10000000e+00
8        5.00000000e-14    1.10000000e+00
9        5.01875000e-14    1.10562500e+00
10       5.03750000e-14    1.11125000e+00
11       5.07500000e-14    1.12250000e+00
12       5.15000000e-14    1.14500000e+00
13       5.30000000e-14    1.19000000e+00
14       5.60000000e-14    1.28000000e+00
15       6.20000000e-14    1.46000000e+00
16       7.40000000e-14    1.82000000e+00
17       8.00000000e-14    2.00000000e+00
18       8.24000000e-14    2.00000000e+00
19       8.72000000e-14    2.00000000e+00
20       9.68000000e-14    2.00000000e+00
21       1.16000000e-13    2.00000000e+00
22       1.54400000e-13    2.00000000e+00
23       2.31200000e-13    2.00000000e+00
24       2.80000000e-13    2.00000000e+00
25       2.80250000e-13    1.99437500e+00
26       2.80750000e-13    1.98312500e+00
27       2.81750000e-13    1.96062500e+00
28       2.83750000e-13    1.91562500e+00
29       2.87750000e-13    1.82562500e+00
30       2.95750000e-13    1.64562500e+00
31       3.11750000e-13    1.28562500e+00
32       3.20000000e-13    1.10000000e+00
33       3.23200000e-13    1.10000000e+00
34       3.29600000e-13    1.10000000e+00
35       3.42400000e-13    1.10000000e+00
36       3.68000000e-13    1.10000000e+00
37       4.19200000e-13    1.10000000e+00
38       5.19200000e-13    1.10000000e+00
39       6.19200000e-13    1.10000000e+00
40       7.19200000e-13    1.10000000e+00
41       8.19200000e-13    1.10000000e+00
42       9.19200000e-13    1.10000000e+00
43       1.00000000e-12    1.10000000e+00
End of Xyce(TM) Simulation
