Index       FREQ           {DB(V(B))}          VDB(B)      
0        1.00000000e+02   -5.80158096e+01   -5.80158096e+01
1        1.58489319e+02   -5.40158199e+01   -5.40158199e+01
2        2.51188643e+02   -5.00158460e+01   -5.00158460e+01
3        3.98107171e+02   -4.60159114e+01   -4.60159114e+01
4        6.30957344e+02   -4.20160757e+01   -4.20160757e+01
5        1.00000000e+03   -3.80164885e+01   -3.80164885e+01
6        1.58489319e+03   -3.40175251e+01   -3.40175251e+01
7        2.51188643e+03   -3.00201277e+01   -3.00201277e+01
8        3.98107171e+03   -2.60266585e+01   -2.60266585e+01
9        6.30957344e+03   -2.20430199e+01   -2.20430199e+01
10       1.00000000e+04   -1.80838479e+01   -1.80838479e+01
11       1.58489319e+04   -1.41847416e+01   -1.41847416e+01
12       2.51188643e+04   -1.04282953e+01   -1.04282953e+01
13       3.98107171e+04   -6.98586271e+00   -6.98586271e+00
14       6.30957344e+04   -4.13412207e+00   -4.13412207e+00
15       1.00000000e+05   -2.13054634e+00   -2.13054634e+00
16       1.58489319e+05   -9.76405108e-01   -9.76405108e-01
17       2.51188643e+05   -4.15365841e-01   -4.15365841e-01
18       3.98107171e+05   -1.70148983e-01   -1.70148983e-01
19       6.30957344e+05   -6.85382739e-02   -6.85382739e-02
20       1.00000000e+06   -2.74153059e-02   -2.74153059e-02
End of Xyce(TM) Simulation
