Index      TIME           V(X)           V(Y)           V(Z)           V(F)
0       0.00000000e+00   1.00000000e+00   2.00000000e+00   3.00000000e+00   -4.00000000e+00  
1       5.00000000e-06   1.00500000e+00   2.00000000e+00   2.99500000e+00   -3.98497500e+00  
2       1.50000000e-05   1.01500000e+00   2.00000000e+00   2.98500000e+00   -3.95477500e+00  
3       3.50000000e-05   1.03500000e+00   2.00000000e+00   2.96500000e+00   -3.89377500e+00  
4       7.50000000e-05   1.07500000e+00   2.00000000e+00   2.92500000e+00   -3.76937500e+00  
5       1.55000000e-04   1.15500000e+00   2.00000000e+00   2.84500000e+00   -3.51097500e+00  
6       3.15000000e-04   1.31500000e+00   2.00000000e+00   2.68500000e+00   -2.95577500e+00  
7       4.75000000e-04   1.47500000e+00   2.00000000e+00   2.52500000e+00   -2.34937500e+00  
8       6.35000000e-04   1.63500000e+00   2.00000000e+00   2.36500000e+00   -1.69177500e+00  
9       7.95000000e-04   1.79500000e+00   2.00000000e+00   2.20500000e+00   -9.82975000e-01  
10      9.25061580e-04   1.92506158e+00   2.00000000e+00   2.07493842e+00   -3.69076333e-01  
11      1.00000000e-03   2.00000000e+00   2.00000000e+00   2.00000000e+00   0.00000000e+00   
12      1.00500000e-03   1.99000000e+00   1.99000000e+00   1.99500000e+00   -4.49000000e-02  
13      1.00905345e-03   1.98189311e+00   1.98189311e+00   1.99094655e+00   -8.11531606e-02  
14      1.01716034e-03   1.96567932e+00   1.96567932e+00   1.98283966e+00   -1.53265152e-01  
15      1.02526723e-03   1.94946553e+00   1.94946553e+00   1.97473277e+00   -2.24851369e-01  
16      1.04148102e-03   1.91703796e+00   1.91703796e+00   1.95851898e+00   -3.66446482e-01  
17      1.05769481e-03   1.88461039e+00   1.88461039e+00   1.94230519e+00   -5.05938500e-01  
18      1.07390859e-03   1.85218281e+00   1.85218281e+00   1.92609141e+00   -6.43327423e-01  
19      1.10633617e-03   1.78732767e+00   1.78732767e+00   1.89366383e+00   -9.11795984e-01  
20      1.13876374e-03   1.72247252e+00   1.72247252e+00   1.86123626e+00   -1.17185216e+00  
21      1.17119131e-03   1.65761737e+00   1.65761737e+00   1.82880869e+00   -1.42349596e+00  
22      1.20361889e-03   1.59276222e+00   1.59276222e+00   1.79638111e+00   -1.66672738e+00  
23      1.23604646e-03   1.52790708e+00   1.52790708e+00   1.76395354e+00   -1.90154642e+00  
24      1.26847403e-03   1.46305193e+00   1.46305193e+00   1.73152597e+00   -2.12795308e+00  
25      1.33332918e-03   1.33334164e+00   1.33334164e+00   1.66667082e+00   -2.55552926e+00  
26      1.39818433e-03   1.20363134e+00   1.20363134e+00   1.60181567e+00   -2.94945592e+00  
27      1.46303948e-03   1.07392105e+00   1.07392105e+00   1.53696052e+00   -3.30973306e+00  
28      1.52789462e-03   9.44210754e-01   9.44210754e-01   1.47210538e+00   -3.63636068e+00  
29      1.59274977e-03   8.14500460e-01   8.14500460e-01   1.40725023e+00   -3.92933877e+00  
30      1.65760492e-03   6.84790165e-01   6.84790165e-01   1.34239508e+00   -4.18866735e+00  
31      1.72246006e-03   5.55079871e-01   5.55079871e-01   1.27753994e+00   -4.41434640e+00  
32      1.78731521e-03   4.25369577e-01   4.25369577e-01   1.21268479e+00   -4.60637593e+00  
33      1.85217036e-03   2.95659283e-01   2.95659283e-01   1.14782964e+00   -4.76475595e+00  
34      1.91702551e-03   1.65948989e-01   1.65948989e-01   1.08297449e+00   -4.88948644e+00  
35      1.98188065e-03   3.62386949e-02   3.62386949e-02   1.01811935e+00   -4.98056741e+00  
36      2.00000000e-03   0.00000000e+00   0.00000000e+00   1.00000000e+00   -5.00000000e+00  
End of Xyce(TM) Simulation
