Index   TIME           V(1)           V(2)           V(3)           V(4)           
0       0.00000000e+00   1.00000000e+02   1.00000000e+00   2.00000000e+00   -1.38974390e-16  
1       5.00000000e-03   1.04500000e+02   1.00500000e+00   2.01911629e+00   2.16606176e-03   
2       6.17043054e-03   1.05553387e+02   1.00617043e+00   2.02347218e+00   2.67155008e-03   
3       7.34086108e-03   1.06606775e+02   1.00734086e+00   2.02778481e+00   3.17645073e-03   
4       9.68172217e-03   1.08713550e+02   1.00968172e+00   2.03628368e+00   4.18449449e-03   
5       1.43634443e-02   1.12927100e+02   1.01436344e+00   2.05279818e+00   6.19358970e-03   
6       2.17504673e-02   1.19575421e+02   1.02175047e+00   2.07764192e+00   9.34484500e-03   
7       3.65245132e-02   1.32872062e+02   1.03652451e+00   2.12343367e+00   1.55795773e-02   
8       6.60726049e-02   1.59465344e+02   1.06607260e+00   2.20266632e+00   2.77867833e-02   
9       1.16410584e-01   2.04769526e+02   1.11641058e+00   2.31126532e+00   4.78239452e-02   
10      1.44725698e-01   2.30253128e+02   1.14472570e+00   2.36220554e+00   5.87014323e-02   
11      1.73040811e-01   2.55736730e+02   1.17304081e+00   2.40779311e+00   6.93131218e-02   
12      2.01355924e-01   2.81220332e+02   1.20135592e+00   2.44904672e+00   7.96716944e-02   
13      2.44491011e-01   3.20041910e+02   1.24449101e+00   2.50520685e+00   9.49917640e-02   
14      3.14048343e-01   3.82643509e+02   1.31404834e+00   2.58279435e+00   1.18611343e-01   
15      3.82920598e-01   4.44628538e+02   1.38292060e+00   2.64799733e+00   1.40797245e-01   
16      4.51792853e-01   5.06613567e+02   1.45179285e+00   2.70467682e+00   1.61904654e-01   
17      5.20665107e-01   5.68598597e+02   1.52066511e+00   2.75480578e+00   1.82033581e-01   
18      6.10929904e-01   6.49836914e+02   1.61092990e+00   2.81280438e+00   2.07076644e-01   
19      7.31723295e-01   7.58550965e+02   1.73172329e+00   2.87998477e+00   2.38478499e-01   
20      8.52516685e-01   8.67265017e+02   1.85251669e+00   2.93815183e+00   2.67762128e-01   
21      9.73310076e-01   9.75979068e+02   1.97331008e+00   2.98944050e+00   2.95195333e-01   
22      1.00000000e+00   1.00000000e+03   2.00000000e+00   3.00000000e+00   3.01029996e-01   
23      1.00500000e+00   1.49500000e+03   2.00885000e+00   3.17464119e+00   3.02947509e-01   
24      1.00558813e+00   1.55322507e+03   2.00989099e+00   3.19123439e+00   3.03172504e-01   
25      1.00596289e+00   1.59032621e+03   2.01055432e+00   3.20148622e+00   3.03315810e-01   
