Index        V(1)             V(2)             V(3)             V(4)             V(5)
  0     0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00   
  1     1.00000000e-01   9.98334166e-02   9.95004165e-01   1.00334672e-01   1.00334672e-01   
  2     2.00000000e-01   1.98669331e-01   9.80066578e-01   2.02710036e-01   2.02710036e-01   
  3     3.00000000e-01   2.95520207e-01   9.55336489e-01   3.09336250e-01   3.09336250e-01   
  4     4.00000000e-01   3.89418342e-01   9.21060994e-01   4.22793219e-01   4.22793219e-01   
  5     5.00000000e-01   4.79425539e-01   8.77582562e-01   5.46302490e-01   5.46302490e-01   
  6     6.00000000e-01   5.64642473e-01   8.25335615e-01   6.84136808e-01   6.84136808e-01   
  7     7.00000000e-01   6.44217687e-01   7.64842187e-01   8.42288380e-01   8.42288380e-01   
  8     8.00000000e-01   7.17356091e-01   6.96706709e-01   1.02963856e+00   1.02963856e+00   
  9     9.00000000e-01   7.83326910e-01   6.21609968e-01   1.26015822e+00   1.26015822e+00   
 10     1.00000000e+00   8.41470985e-01   5.40302306e-01   1.55740772e+00   1.55740772e+00   
 11     1.10000000e+00   8.91207360e-01   4.53596121e-01   1.96475966e+00   1.96475966e+00   
 12     1.20000000e+00   9.32039086e-01   3.62357754e-01   2.57215162e+00   2.57215162e+00   
 13     1.30000000e+00   9.63558185e-01   2.67498829e-01   3.60210245e+00   3.60210245e+00   
 14     1.40000000e+00   9.85449730e-01   1.69967143e-01   5.79788372e+00   5.79788372e+00   
 15     1.50000000e+00   9.97494987e-01   7.07372017e-02   1.41014199e+01   1.41014199e+01   
 16     1.60000000e+00   9.99573603e-01   -2.91995223e-02   -3.42325327e+01   -3.42325327e+01   
 17     1.70000000e+00   9.91664810e-01   -1.28844494e-01   -7.69660214e+00   -7.69660214e+00   
 18     1.80000000e+00   9.73847631e-01   -2.27202095e-01   -4.28626167e+00   -4.28626167e+00   
 19     1.90000000e+00   9.46300088e-01   -3.23289567e-01   -2.92709751e+00   -2.92709751e+00   
 20     2.00000000e+00   9.09297427e-01   -4.16146837e-01   -2.18503986e+00   -2.18503986e+00   
 21     2.10000000e+00   8.63209367e-01   -5.04846105e-01   -1.70984654e+00   -1.70984654e+00   
 22     2.20000000e+00   8.08496404e-01   -5.88501117e-01   -1.37382306e+00   -1.37382306e+00   
 23     2.30000000e+00   7.45705212e-01   -6.66276021e-01   -1.11921364e+00   -1.11921364e+00   
 24     2.40000000e+00   6.75463181e-01   -7.37393716e-01   -9.16014290e-01   -9.16014290e-01   
 25     2.50000000e+00   5.98472144e-01   -8.01143616e-01   -7.47022297e-01   -7.47022297e-01   
 26     2.60000000e+00   5.15501372e-01   -8.56888753e-01   -6.01596613e-01   -6.01596613e-01   
 27     2.70000000e+00   4.27379880e-01   -9.04072142e-01   -4.72727629e-01   -4.72727629e-01   
 28     2.80000000e+00   3.34988150e-01   -9.42222341e-01   -3.55529832e-01   -3.55529832e-01   
 29     2.90000000e+00   2.39249329e-01   -9.70958165e-01   -2.46405394e-01   -2.46405394e-01   
 30     3.00000000e+00   1.41120008e-01   -9.89992497e-01   -1.42546543e-01   -1.42546543e-01   
 31     3.10000000e+00   4.15806624e-02   -9.99135150e-01   -4.16166546e-02   -4.16166546e-02   
 32     3.20000000e+00   -5.83741434e-02   -9.98294776e-01   5.84738545e-02   5.84738545e-02   
 33     3.30000000e+00   -1.57745694e-01   -9.87479770e-01   1.59745748e-01   1.59745748e-01   
 34     3.40000000e+00   -2.55541102e-01   -9.66798193e-01   2.64316901e-01   2.64316901e-01   
 35     3.50000000e+00   -3.50783228e-01   -9.36456687e-01   3.74585640e-01   3.74585640e-01   
 36     3.60000000e+00   -4.42520443e-01   -8.96758416e-01   4.93466730e-01   4.93466730e-01   
 37     3.70000000e+00   -5.29836141e-01   -8.48100032e-01   6.24733075e-01   6.24733075e-01   
 38     3.80000000e+00   -6.11857891e-01   -7.90967712e-01   7.73556091e-01   7.73556091e-01   
 39     3.90000000e+00   -6.87766159e-01   -7.25932304e-01   9.47424650e-01   9.47424650e-01   
 40     4.00000000e+00   -7.56802495e-01   -6.53643621e-01   1.15782128e+00   1.15782128e+00   
 41     4.10000000e+00   -8.18277111e-01   -5.74823947e-01   1.42352648e+00   1.42352648e+00   
 42     4.20000000e+00   -8.71575772e-01   -4.90260821e-01   1.77777977e+00   1.77777977e+00   
 43     4.30000000e+00   -9.16165937e-01   -4.00799172e-01   2.28584788e+00   2.28584788e+00   
 44     4.40000000e+00   -9.51602074e-01   -3.07332870e-01   3.09632378e+00   3.09632378e+00   
 45     4.50000000e+00   -9.77530118e-01   -2.10795799e-01   4.63733205e+00   4.63733205e+00   
 46     4.60000000e+00   -9.93691004e-01   -1.12152527e-01   8.86017490e+00   8.86017490e+00   
 47     4.70000000e+00   -9.99923258e-01   -1.23886635e-02   8.07127630e+01   8.07127630e+01   
 48     4.80000000e+00   -9.96164609e-01   8.74989834e-02   -1.13848707e+01   -1.13848707e+01   
 49     4.90000000e+00   -9.82452613e-01   1.86512369e-01   -5.26749307e+00   -5.26749307e+00   
 50     5.00000000e+00   -9.58924275e-01   2.83662185e-01   -3.38051501e+00   -3.38051501e+00   
 51     5.10000000e+00   -9.25814682e-01   3.77977743e-01   -2.44938942e+00   -2.44938942e+00   
 52     5.20000000e+00   -8.83454656e-01   4.68516671e-01   -1.88564188e+00   -1.88564188e+00   
 53     5.30000000e+00   -8.32267442e-01   5.54374336e-01   -1.50127340e+00   -1.50127340e+00   
 54     5.40000000e+00   -7.72764488e-01   6.34692876e-01   -1.21754082e+00   -1.21754082e+00   
 55     5.50000000e+00   -7.05540326e-01   7.08669774e-01   -9.95584052e-01   -9.95584052e-01   
 56     5.60000000e+00   -6.31266638e-01   7.75565879e-01   -8.13943284e-01   -8.13943284e-01   
 57     5.70000000e+00   -5.50685543e-01   8.34712785e-01   -6.59730572e-01   -6.59730572e-01   
