Index       TIME              V(1)       
0        0.00000000e+00    5.00000000e+00
1        5.00000000e-08    4.98973716e+00
2        1.50000000e-07    4.96178156e+00
3        2.39309576e-07    4.92703861e+00
4        3.19688195e-07    4.88660955e+00
5        3.92028951e-07    4.84187738e+00
6        4.57135632e-07    4.79418301e+00
7        5.15731645e-07    4.74474325e+00
8        5.74327658e-07    4.68869795e+00
9        6.32923671e-07    4.62562903e+00
10       6.85660082e-07    4.56251626e+00
11       7.38396494e-07    4.49307093e+00
12       7.91132905e-07    4.41698824e+00
13       8.38595676e-07    4.34258698e+00
14       8.86058446e-07    4.26234040e+00
15       9.33521217e-07    4.17602631e+00
16       9.76237710e-07    4.09297226e+00
17       1.01895420e-06    4.00503718e+00
18       1.06167070e-06    3.91496471e+00
19       1.14710368e-06    3.73015382e+00
20       1.31796966e-06    3.34187033e+00
21       1.48883563e-06    2.92870868e+00
22       1.64261501e-06    2.53559646e+00
23       1.79639438e-06    2.12234055e+00
24       1.95017376e-06    1.68894455e+00
25       2.08857520e-06    1.28141320e+00
26       2.21313649e-06    9.01525315e-01
27       2.32524166e-06    5.52100400e-01
28       2.43734682e-06    1.98394685e-01
29       2.54945199e-06   -1.56844653e-01
30       2.61464051e-06   -3.63032533e-01
31       2.67331018e-06   -5.47804338e-01
32       2.72494001e-06   -7.09455577e-01
33       2.77140685e-06   -8.53949390e-01
34       2.81787370e-06   -9.97300250e-01
35       2.86434055e-06   -1.13931252e+00
36       2.91080739e-06   -1.27979058e+00
37       2.95727424e-06   -1.41853879e+00
38       3.00374108e-06   -1.55536151e+00
39       3.05020793e-06   -1.69010738e+00
40       3.09667478e-06   -1.82278050e+00
41       3.14314162e-06   -1.95341870e+00
42       3.18960847e-06   -2.08205985e+00
43       3.28254216e-06   -2.33350238e+00
44       3.37547586e-06   -2.57741087e+00
45       3.46840955e-06   -2.81408814e+00
46       3.56134324e-06   -3.04383698e+00
47       3.65427693e-06   -3.26696019e+00
48       3.74721063e-06   -3.48376057e+00
49       3.84014432e-06   -3.69454093e+00
50       3.93307801e-06   -3.89960406e+00
51       4.02601170e-06   -4.09850903e+00
52       4.11894540e-06   -4.27845019e+00
53       4.21187909e-06   -4.43551677e+00
54       4.30481278e-06   -4.57078796e+00
55       4.39774647e-06   -4.68534298e+00
56       4.49068017e-06   -4.78026101e+00
57       4.58361386e-06   -4.85662125e+00
58       4.67654755e-06   -4.91550290e+00
59       4.76948124e-06   -4.95798516e+00
60       4.86241494e-06   -4.98514723e+00
61       4.95534863e-06   -4.99806830e+00
62       5.04828232e-06   -4.99777689e+00
63       5.14121601e-06   -4.98424117e+00
64       5.23414971e-06   -4.95642444e+00
65       5.32708340e-06   -4.91325043e+00
66       5.42001709e-06   -4.85364285e+00
67       5.51295079e-06   -4.77652544e+00
68       5.60588448e-06   -4.68082190e+00
69       5.69881817e-06   -4.56545597e+00
70       5.79175186e-06   -4.42935135e+00
71       5.88468556e-06   -4.27143178e+00
72       5.97761925e-06   -4.09062097e+00
73       6.07055294e-06   -3.89138192e+00
74       6.16348663e-06   -3.68616240e+00
75       6.25642033e-06   -3.47520914e+00
76       6.34935402e-06   -3.25821892e+00
77       6.44228771e-06   -3.03488854e+00
78       6.53522140e-06   -2.80491478e+00
79       6.62815510e-06   -2.56799444e+00
80       6.72108879e-06   -2.32382430e+00
81       6.81402248e-06   -2.07210116e+00
82       6.90695617e-06   -1.81252179e+00
83       6.99988987e-06   -1.54478300e+00
84       7.09282356e-06   -1.26889633e+00
85       7.18575725e-06   -9.86123209e-01
86       7.27869094e-06   -6.98035257e-01
87       7.37162464e-06   -4.06204079e-01
88       7.46455833e-06   -1.12201284e-01
89       7.55749202e-06    1.82401520e-01
90       7.64113235e-06    4.46758117e-01
91       7.71640864e-06    6.83059251e-01
92       7.79168493e-06    9.16959681e-01
93       7.86696122e-06    1.14762419e+00
94       7.94223751e-06    1.37421756e+00
95       8.01751380e-06    1.59592562e+00
96       8.09279009e-06    1.81265192e+00
97       8.16806638e-06    2.02454314e+00
98       8.24334267e-06    2.23159908e+00
99       8.31861897e-06    2.43381956e+00
100      8.39389526e-06    2.63120439e+00
101      8.46917155e-06    2.82375337e+00
102      8.54444784e-06    3.01146632e+00
103      8.61972413e-06    3.19434305e+00
104      8.69500042e-06    3.37238337e+00
105      8.77027671e-06    3.54558709e+00
106      8.84555300e-06    3.71395401e+00
107      8.92082929e-06    3.87748396e+00
108      8.99610558e-06    4.03617674e+00
109      9.07138188e-06    4.18488303e+00
110      9.14665817e-06    4.31787336e+00
111      9.22193446e-06    4.43601519e+00
112      9.29721075e-06    4.54019172e+00
113      9.37248704e-06    4.63128613e+00
114      9.44776333e-06    4.71018161e+00
115      9.52303962e-06    4.77776137e+00
116      9.59831591e-06    4.83490858e+00
117      9.67359220e-06    4.88250644e+00
118      9.74886849e-06    4.92143814e+00
119      9.82414479e-06    4.95258687e+00
120      9.89942108e-06    4.97683582e+00
121      9.97469737e-06    4.99506818e+00
122      1.00000000e-05    5.00000000e+00
End of Xyce(TM) Simulation
