Index       TIME              V(1)       
0        0.00000000e+00    5.00000000e+00
1        5.00000000e-08    4.99574333e+00
2        1.12859541e-07    4.98407477e+00
3        1.75719081e-07    4.96523577e+00
4        2.32292668e-07    4.94205943e+00
5        2.88866255e-07    4.91293087e+00
6        3.45439841e-07    4.87781498e+00
7        4.02013428e-07    4.83669580e+00
8        4.58587015e-07    4.78957517e+00
9        5.15160601e-07    4.73647154e+00
10       5.71734188e-07    4.67741877e+00
11       6.28307775e-07    4.61246506e+00
12       6.84881361e-07    4.54167203e+00
13       7.41454948e-07    4.46511371e+00
14       7.98028535e-07    4.38287577e+00
15       8.54602121e-07    4.29505471e+00
16       9.11175708e-07    4.20175713e+00
17       9.67749294e-07    4.10309907e+00
18       1.02432288e-06    3.99920539e+00
19       1.08089647e-06    3.89020917e+00
20       1.13747005e-06    3.77625121e+00
21       1.19404364e-06    3.65747950e+00
22       1.25061723e-06    3.53404878e+00
23       1.30719081e-06    3.40612009e+00
24       1.36376440e-06    3.27386035e+00
25       1.42033799e-06    3.13744204e+00
26       1.47691157e-06    2.99704275e+00
27       1.53348516e-06    2.85284493e+00
28       1.59005875e-06    2.70503551e+00
29       1.64663233e-06    2.55380560e+00
30       1.70320592e-06    2.39935023e+00
31       1.75977951e-06    2.24186802e+00
32       1.81635309e-06    2.08156095e+00
33       1.87292668e-06    1.91863408e+00
34       1.92950027e-06    1.75329527e+00
35       1.98607385e-06    1.58575497e+00
36       2.04264744e-06    1.41622594e+00
37       2.09922103e-06    1.24492301e+00
38       2.15579461e-06    1.07206286e+00
39       2.21236820e-06    8.97863762e-01
40       2.32551537e-06    5.46328294e-01
41       2.43866255e-06    1.92085527e-01
42       2.55180972e-06   -1.63085441e-01
43       2.66495689e-06   -5.17403060e-01
44       2.75642835e-06   -8.02004072e-01
45       2.84789981e-06   -1.08395379e+00
46       2.93937127e-06   -1.36232814e+00
47       3.03084273e-06   -1.63621425e+00
48       3.12231419e-06   -1.90471323e+00
49       3.21378565e-06   -2.16694300e+00
50       3.30525711e-06   -2.42204104e+00
51       3.39672857e-06   -2.66916720e+00
52       3.48820003e-06   -2.90750647e+00
53       3.57967149e-06   -3.13627166e+00
54       3.67114295e-06   -3.35470609e+00
55       3.76261441e-06   -3.56208619e+00
56       3.85408587e-06   -3.75772399e+00
57       3.94555733e-06   -3.94096957e+00
58       4.03702879e-06   -4.11121337e+00
59       4.12850025e-06   -4.26788836e+00
60       4.21997171e-06   -4.41047213e+00
61       4.31144317e-06   -4.53848876e+00
62       4.40291463e-06   -4.65151061e+00
63       4.49438609e-06   -4.74915989e+00
64       4.58585755e-06   -4.83111003e+00
65       4.67732901e-06   -4.89708695e+00
66       4.76880047e-06   -4.94687004e+00
67       4.86027193e-06   -4.98029296e+00
68       4.95174339e-06   -4.99724433e+00
69       5.04321485e-06   -4.99766804e+00
70       5.13468631e-06   -4.98156350e+00
71       5.22615777e-06   -4.94898558e+00
72       5.31762923e-06   -4.90004441e+00
73       5.40910069e-06   -4.83490491e+00
74       5.50057214e-06   -4.75378616e+00
75       5.59204360e-06   -4.65696051e+00
76       5.68351506e-06   -4.54475257e+00
77       5.77498652e-06   -4.41753795e+00
78       5.86645798e-06   -4.27574186e+00
79       5.95792944e-06   -4.11983747e+00
80       6.04940090e-06   -3.95034423e+00
81       6.14087236e-06   -3.76782592e+00
82       6.23234382e-06   -3.57288864e+00
83       6.32381528e-06   -3.36617861e+00
84       6.41528674e-06   -3.14837995e+00
85       6.50675820e-06   -2.92021226e+00
86       6.59822966e-06   -2.68242819e+00
87       6.68970112e-06   -2.43581090e+00
88       6.78117258e-06   -2.18117148e+00
89       6.87264404e-06   -1.91934633e+00
90       6.96411550e-06   -1.65119446e+00
91       7.05558696e-06   -1.37759486e+00
92       7.14705842e-06   -1.09944376e+00
93       7.23852988e-06   -8.17651947e-01
94       7.33000134e-06   -5.33142088e-01
95       7.42147280e-06   -2.46846028e-01
96       7.51294426e-06    4.02978688e-02
97       7.55867999e-06    1.83893388e-01
98       7.60441572e-06    3.27347374e-01
99       7.65015145e-06    4.70541878e-01
100      7.69588718e-06    6.13359039e-01
101      7.78735864e-06    8.97390830e-01
102      7.87883010e-06    1.17850477e+00
103      7.97030156e-06    1.45576958e+00
104      8.06177302e-06    1.72826340e+00
105      8.15324448e-06    1.99507649e+00
106      8.24471594e-06    2.25531409e+00
107      8.33618740e-06    2.50809935e+00
108      8.42765886e-06    2.75257638e+00
109      8.51913031e-06    2.98791361e+00
110      8.61060177e-06    3.21330726e+00
111      8.70207323e-06    3.42798523e+00
112      8.79354469e-06    3.63121126e+00
113      8.88501615e-06    3.82228963e+00
114      8.97648761e-06    4.00057032e+00
115      9.06795907e-06    4.16545484e+00
116      9.15943053e-06    4.31640271e+00
117      9.25090199e-06    4.45293888e+00
118      9.34237345e-06    4.57466200e+00
119      9.43384491e-06    4.68125385e+00
120      9.52531637e-06    4.77248995e+00
121      9.61678783e-06    4.84825161e+00
122      9.70825929e-06    4.90853952e+00
123      9.79973075e-06    4.95348910e+00
124      9.89120221e-06    4.98338774e+00
125      9.98267367e-06    4.99869430e+00
126      1.00000000e-05    5.00000000e+00
End of Xyce(TM) Simulation
