Index       TIME              V(1)       
0        0.00000000e+00    5.00000000e+00
1        5.00000000e-08    4.97048868e+00
2        1.50000000e-07    4.91036750e+00
3        2.50000000e-07    4.84695067e+00
4        3.50000000e-07    4.77804109e+00
5        4.50000000e-07    4.70144167e+00
6        5.50000000e-07    4.61495530e+00
7        6.50000000e-07    4.51638489e+00
8        7.50000000e-07    4.40353334e+00
9        8.50000000e-07    4.27420355e+00
10       9.50000000e-07    4.12619842e+00
11       1.05000000e-06    3.95740239e+00
12       1.15000000e-06    3.76757522e+00
13       1.25000000e-06    3.55835199e+00
14       1.35000000e-06    3.33144933e+00
15       1.45000000e-06    3.08858386e+00
16       1.55000000e-06    2.83147219e+00
17       1.65000000e-06    2.56183096e+00
18       1.75000000e-06    2.28137678e+00
19       1.85000000e-06    1.99182627e+00
20       1.95000000e-06    1.69489605e+00
21       2.05000000e-06    1.39228927e+00
22       2.15000000e-06    1.08539904e+00
23       2.25000000e-06    7.75308411e-01
24       2.35000000e-06    4.63086991e-01
25       2.45000000e-06    1.49804367e-01
26       2.52724001e-06   -9.22249645e-02
27       2.60448002e-06   -3.33756408e-01
28       2.67399603e-06   -5.50301644e-01
29       2.74351204e-06   -7.65685042e-01
30       2.81302805e-06   -9.79547288e-01
31       2.88254405e-06   -1.19152907e+00
32       2.95206006e-06   -1.40127108e+00
33       3.02157607e-06   -1.60841400e+00
34       3.09109208e-06   -1.81259849e+00
35       3.16060809e-06   -2.01346520e+00
36       3.23012410e-06   -2.21065474e+00
37       3.29964011e-06   -2.40380775e+00
38       3.36915611e-06   -2.59256485e+00
39       3.43867212e-06   -2.77656668e+00
40       3.50818813e-06   -2.95545386e+00
41       3.57770414e-06   -3.12886702e+00
42       3.64722015e-06   -3.29644679e+00
43       3.71673616e-06   -3.45783380e+00
44       3.78625217e-06   -3.61266868e+00
45       3.85576817e-06   -3.76059205e+00
46       3.92528418e-06   -3.90124455e+00
47       3.99480019e-06   -4.03426680e+00
48       4.06431620e-06   -4.15933004e+00
49       4.13383221e-06   -4.27625882e+00
50       4.20334822e-06   -4.38492561e+00
51       4.27286423e-06   -4.48520289e+00
52       4.34238023e-06   -4.57696315e+00
53       4.41189624e-06   -4.66007888e+00
54       4.48141225e-06   -4.73442256e+00
55       4.55092826e-06   -4.79986667e+00
56       4.62044427e-06   -4.85628371e+00
57       4.68996028e-06   -4.90354615e+00
58       4.75947629e-06   -4.94152648e+00
59       4.82899230e-06   -4.97009719e+00
60       4.89850830e-06   -4.98913076e+00
61       4.96802431e-06   -4.99849968e+00
62       5.03754032e-06   -4.99808314e+00
63       5.10705633e-06   -4.98788913e+00
64       5.17657234e-06   -4.96804165e+00
65       5.24608835e-06   -4.93866886e+00
66       5.31560436e-06   -4.89989889e+00
67       5.38512036e-06   -4.85185990e+00
68       5.45463637e-06   -4.79468003e+00
69       5.52415238e-06   -4.72848745e+00
70       5.59366839e-06   -4.65341028e+00
71       5.66318440e-06   -4.56957670e+00
72       5.73270041e-06   -4.47711483e+00
73       5.80221642e-06   -4.37615284e+00
74       5.87173242e-06   -4.26681887e+00
75       5.94124843e-06   -4.14924107e+00
76       6.01076444e-06   -4.02354772e+00
77       6.08028045e-06   -3.88992551e+00
78       6.14979646e-06   -3.74870905e+00
79       6.21931247e-06   -3.60025610e+00
80       6.28882848e-06   -3.44492440e+00
81       6.35834449e-06   -3.28307170e+00
82       6.42786049e-06   -3.11505573e+00
83       6.49737650e-06   -2.94123424e+00
84       6.56689251e-06   -2.76196498e+00
85       6.63640852e-06   -2.57760568e+00
86       6.70592453e-06   -2.38851409e+00
87       6.77544054e-06   -2.19504796e+00
88       6.84495655e-06   -1.99756502e+00
89       6.91447255e-06   -1.79642302e+00
90       6.98398856e-06   -1.59197971e+00
91       7.05350457e-06   -1.38459311e+00
92       7.12302058e-06   -1.17462360e+00
93       7.19253659e-06   -9.62432713e-01
94       7.26205260e-06   -7.48381969e-01
95       7.33156861e-06   -5.32832902e-01
96       7.40108461e-06   -3.16147044e-01
97       7.47060062e-06   -9.86859250e-02
98       7.54011663e-06    1.19188924e-01
99       7.62473345e-06    3.84427366e-01
100      7.70935027e-06    6.49091128e-01
101      7.79396709e-06    9.12528191e-01
102      7.87858391e-06    1.17408653e+00
103      7.96320073e-06    1.43311414e+00
104      8.04781755e-06    1.68894743e+00
105      8.13243437e-06    1.94072353e+00
106      8.21705119e-06    2.18741146e+00
107      8.30166801e-06    2.42797497e+00
108      8.38628483e-06    2.66137778e+00
109      8.47090165e-06    2.88658366e+00
110      8.55551847e-06    3.10255633e+00
111      8.64013529e-06    3.30825954e+00
112      8.72475211e-06    3.50265704e+00
113      8.80936893e-06    3.68471256e+00
114      8.89398575e-06    3.85338985e+00
115      8.97860257e-06    4.00765265e+00
116      9.06321939e-06    4.14662915e+00
117      9.14783621e-06    4.27089259e+00
118      9.23245303e-06    4.38176616e+00
119      9.31706985e-06    4.48057942e+00
120      9.40168667e-06    4.56866195e+00
121      9.48630349e-06    4.64734331e+00
122      9.57092031e-06    4.71795306e+00
123      9.65553713e-06    4.78182078e+00
124      9.74015395e-06    4.84027602e+00
125      9.90938759e-06    4.94626735e+00
126      1.00000000e-05    5.00000000e+00
End of Xyce(TM) Simulation
