Index       TIME              V(1)       
0        0.00000000e+00    1.00003850e-01
1        2.50345384e-05    1.00003855e-01
2        7.51036152e-05    1.00003866e-01
3        1.75241769e-04    1.00003888e-01
4        3.75518076e-04    1.00003932e-01
5        7.76070690e-04    1.00004021e-01
6        1.57717592e-03    1.00004198e-01
7        3.17938638e-03    1.00004551e-01
8        5.00690768e-03    1.00004955e-01
9        5.32734977e-03    1.00005048e-01
10       5.96823395e-03    1.00005233e-01
11       7.25000232e-03    1.00005603e-01
12       9.81353905e-03    1.00006343e-01
13       9.93550677e-03    1.00006378e-01
14       1.00574745e-02    1.00006421e-01
15       1.03014099e-02    1.00006507e-01
16       1.07892808e-02    1.00006678e-01
17       1.17650226e-02    1.00007021e-01
18       1.37165061e-02    1.00007707e-01
19       1.51506304e-02    1.00008211e-01
20       1.55409272e-02    1.00008392e-01
21       1.63215206e-02    1.00008755e-01
22       1.78827074e-02    1.00009480e-01
23       2.02465178e-02    1.00010579e-01
24       2.05587551e-02    1.00010749e-01
25       2.11832299e-02    1.00011090e-01
26       2.24321793e-02    1.00011771e-01
27       2.49300782e-02    1.00013133e-01
28       2.58086452e-02    1.00013613e-01
29       2.63082250e-02    1.00013991e-01
30       2.73073845e-02    1.00014748e-01
31       2.93057037e-02    1.00016261e-01
32       3.09715150e-02    1.00017523e-01
33       3.13711788e-02    1.00017897e-01
34       3.21705065e-02    1.00018646e-01
35       3.37691618e-02    1.00020142e-01
36       3.63720265e-02    1.00022579e-01
37       3.66917576e-02    1.00022936e-01
38       3.73312197e-02    1.00023651e-01
39       3.86101440e-02    1.00025081e-01
40       4.11679925e-02    1.00027941e-01
41       4.21570855e-02    1.00029046e-01
42       4.26686552e-02    1.00029857e-01
43       4.36917946e-02    1.00031480e-01
44       4.57380734e-02    1.00034724e-01
45       4.74218370e-02    1.00037394e-01
46       4.78310927e-02    1.00038178e-01
47       4.86496043e-02    1.00039746e-01
48       5.02866273e-02    1.00042882e-01
49       5.30463146e-02    1.00048168e-01
50       5.33737192e-02    1.00048925e-01
51       5.40285284e-02    1.00050440e-01
52       5.53381468e-02    1.00053470e-01
53       5.79573837e-02    1.00059530e-01
54       5.90175256e-02    1.00061982e-01
55       5.95413729e-02    1.00063640e-01
56       6.05890677e-02    1.00066955e-01
57       6.26844572e-02    1.00073586e-01
58       6.46446350e-02    1.00079789e-01
59       6.50637129e-02    1.00081442e-01
60       6.59018687e-02    1.00084747e-01
61       6.75781803e-02    1.00091357e-01
62       7.04575487e-02    1.00102711e-01
63       7.07928111e-02    1.00104371e-01
64       7.14633357e-02    1.00107691e-01
65       7.28043850e-02    1.00114332e-01
