Index       TIME              V(1)       
0        0.00000000e+00    5.00000000e+00
1        5.00000000e-08    4.95222530e+00
2        1.50000000e-07    4.85667590e+00
3        3.50000000e-07    4.66557710e+00
4        7.50000000e-07    4.28337951e+00
5        9.50000000e-07    4.09228071e+00
6        9.75000000e-07    4.06839336e+00
7        1.00395081e-06    4.03462777e+00
8        1.01479807e-06    4.00750631e+00
9        1.02453570e-06    3.98315926e+00
10       1.04401095e-06    3.93446517e+00
11       1.08296146e-06    3.83707698e+00
12       1.16086247e-06    3.64230061e+00
13       1.31666450e-06    3.25274786e+00
14       1.62826855e-06    2.47364237e+00
15       1.78407058e-06    2.08408962e+00
16       1.89105118e-06    1.81660538e+00
17       1.95651534e-06    1.65292495e+00
18       1.99839142e-06    1.54822194e+00
19       2.00507863e-06    1.52851404e+00
20       2.01176583e-06    1.50785979e+00
21       2.02514024e-06    1.46655130e+00
22       2.03851466e-06    1.42524280e+00
23       2.06526348e-06    1.34262580e+00
24       2.11876112e-06    1.17739181e+00
25       2.22575642e-06    8.46923832e-01
26       2.43974700e-06    1.85987870e-01
27       2.86772817e-06   -1.13588406e+00
28       2.92122581e-06   -1.30111805e+00
29       2.97463671e-06   -1.46608411e+00
30       3.00795271e-06   -1.56429934e+00
31       3.02022586e-06   -1.59497581e+00
32       3.03127170e-06   -1.62258464e+00
33       3.05336337e-06   -1.67780230e+00
34       3.09754671e-06   -1.78823762e+00
35       3.18591340e-06   -2.00910825e+00
36       3.36264678e-06   -2.45084953e+00
37       3.71611353e-06   -3.33433207e+00
38       3.89284691e-06   -3.77607334e+00
39       3.98121360e-06   -3.99694397e+00
40       3.99225943e-06   -4.02455280e+00
41       4.01435111e-06   -4.05761451e+00
42       4.03275413e-06   -4.07520096e+00
43       4.06956017e-06   -4.11037387e+00
44       4.10146537e-06   -4.14086340e+00
45       4.16527579e-06   -4.20184247e+00
46       4.29289662e-06   -4.32380059e+00
47       4.54813828e-06   -4.56771685e+00
48       4.73200016e-06   -4.74342054e+00
49       4.83548045e-06   -4.84230927e+00
50       4.92568013e-06   -4.92850668e+00
51       4.97585256e-06   -4.97645289e+00
52       5.00894062e-06   -4.99098172e+00
53       5.02122700e-06   -4.97923603e+00
54       5.03228475e-06   -4.96866492e+00
55       5.05440025e-06   -4.94752268e+00
56       5.09863123e-06   -4.90523821e+00
57       5.18709321e-06   -4.82066927e+00
58       5.36401717e-06   -4.65153139e+00
59       5.71786508e-06   -4.31325563e+00
60       5.89478904e-06   -4.14411774e+00
61       5.98325102e-06   -4.05954880e+00
62       5.99430876e-06   -4.04897769e+00
63       6.01642426e-06   -4.00249144e+00
64       6.03407542e-06   -3.95837985e+00
65       6.06937774e-06   -3.87015666e+00
66       6.10114982e-06   -3.79075580e+00
67       6.16469399e-06   -3.63195408e+00
68       6.29178234e-06   -3.31435063e+00
69       6.54595902e-06   -2.67914373e+00
70       6.80816036e-06   -2.02388263e+00
71       6.93926102e-06   -1.69625208e+00
72       7.00481136e-06   -1.52959717e+00
73       7.01192840e-06   -1.50761072e+00
74       7.01904544e-06   -1.48562426e+00
75       7.02616248e-06   -1.46363780e+00
76       7.04039656e-06   -1.41966489e+00
77       7.06886472e-06   -1.33171906e+00
78       7.12580105e-06   -1.15582740e+00
79       7.23967371e-06   -8.04044087e-01
80       7.46741902e-06   -1.00477459e-01
81       7.92290963e-06    1.30665580e+00
82       7.97984596e-06    1.48254746e+00
83       7.98816515e-06    1.50824767e+00
84       8.00480353e-06    1.55681487e+00
85       8.02144191e-06    1.59840160e+00
86       8.03808028e-06    1.63998834e+00
87       8.05471866e-06    1.68157507e+00
88       8.08799542e-06    1.76474853e+00
89       8.15454893e-06    1.93109546e+00
90       8.28765595e-06    2.26378933e+00
91       8.55386999e-06    2.92917705e+00
92       8.69472457e-06    3.28123552e+00
93       8.97643373e-06    3.98535246e+00
94       9.01164737e-06    4.05538702e+00
95       9.04686102e-06    4.08904228e+00
96       9.07702053e-06    4.11786707e+00
97       9.10718004e-06    4.14669187e+00
98       9.16749905e-06    4.20434147e+00
99       9.28813709e-06    4.31964066e+00
100      9.52941317e-06    4.55023904e+00
101      1.00000000e-05    5.00000000e+00
End of Xyce(TM) Simulation
