Index       TIME              V(1)       
0        0.00000000e+00    5.00000000e+00
1        5.00000000e-09    4.99522253e+00
2        1.50000000e-08    4.98566759e+00
3        3.50000000e-08    4.96655771e+00
4        7.50000000e-08    4.92833795e+00
5        1.55000000e-07    4.85189843e+00
6        3.15000000e-07    4.69901939e+00
7        6.35000000e-07    4.39326132e+00
8        1.00000000e-06    4.04450601e+00
9        1.00400000e-06    4.03450479e+00
10       1.01200000e-06    4.01450234e+00
11       1.02800000e-06    3.97449744e+00
12       1.06000000e-06    3.89448765e+00
13       1.12400000e-06    3.73446806e+00
14       1.25200000e-06    3.41442890e+00
15       1.50800000e-06    2.77435056e+00
16       2.00000000e-06    1.54420000e+00
17       2.00320000e-06    1.53431641e+00
18       2.00640000e-06    1.52443282e+00
19       2.01280000e-06    1.50466564e+00
20       2.02560000e-06    1.46513128e+00
21       2.05120000e-06    1.38606257e+00
22       2.10240000e-06    1.22792514e+00
23       2.20480000e-06    9.11650274e-01
24       2.40960000e-06    2.79100548e-01
25       2.81920000e-06   -9.85998905e-01
26       3.00000000e-06   -1.54442171e+00
27       3.00512000e-06   -1.55721904e+00
28       3.01024000e-06   -1.57001637e+00
29       3.02048000e-06   -1.59561103e+00
30       3.04096000e-06   -1.64680035e+00
31       3.08192000e-06   -1.74917899e+00
32       3.16384000e-06   -1.95393626e+00
33       3.32768000e-06   -2.36345082e+00
34       3.65536000e-06   -3.18247992e+00
35       4.00000000e-06   -4.04390018e+00
36       4.01980626e-06   -4.06282761e+00
37       4.03578730e-06   -4.07809955e+00
38       4.06774939e-06   -4.10864344e+00
39       4.13167357e-06   -4.16973122e+00
40       4.25952192e-06   -4.29190678e+00
41       4.51521864e-06   -4.53625789e+00
42       5.00000000e-06   -4.99952888e+00
43       5.01944953e-06   -4.98093528e+00
44       5.03560655e-06   -4.96548931e+00
45       5.06792057e-06   -4.93459736e+00
46       5.13254863e-06   -4.87281346e+00
47       5.26180473e-06   -4.74924566e+00
48       5.52031694e-06   -4.50211006e+00
49       6.00000000e-06   -4.04353691e+00
50       6.00323140e-06   -4.03546139e+00
51       6.00969421e-06   -4.01931035e+00
52       6.02261982e-06   -3.98700826e+00
53       6.04847104e-06   -3.92240409e+00
54       6.10017348e-06   -3.79319575e+00
55       6.20357836e-06   -3.53477907e+00
56       6.41038813e-06   -3.01794571e+00
57       6.82400767e-06   -1.98427899e+00
58       7.00000000e-06   -1.54446075e+00
59       7.00517024e-06   -1.52848847e+00
60       7.01034049e-06   -1.51251620e+00
61       7.02068098e-06   -1.48057164e+00
62       7.04136195e-06   -1.41668253e+00
63       7.08272391e-06   -1.28890431e+00
64       7.16544781e-06   -1.03334787e+00
65       7.33089563e-06   -5.22234991e-01
66       7.66179126e-06    4.99990767e-01
67       8.00000000e-06    1.54480871e+00
68       8.00413620e-06    1.55514691e+00
69       8.00827239e-06    1.56548511e+00
70       8.01654478e-06    1.58616150e+00
71       8.03308956e-06    1.62751430e+00
72       8.06617913e-06    1.71021989e+00
73       8.13235825e-06    1.87563106e+00
74       8.26471650e-06    2.20645342e+00
75       8.52943301e-06    2.86809812e+00
76       9.00000000e-06    4.04425510e+00
77       9.01780162e-06    4.06126891e+00
78       9.03235161e-06    4.07517499e+00
79       9.06145159e-06    4.10298714e+00
80       9.11965155e-06    4.15861145e+00
81       9.23605146e-06    4.26986007e+00
82       9.46885128e-06    4.49235732e+00
83       9.93445092e-06    4.93735180e+00
84       1.00000000e-05    5.00000000e+00
End of Xyce(TM) Simulation
