Index        FREQ           Re(V(1))         Im(V(1))
0       1.00000000e+03   2.86944181e-01   -8.94429531e-01  
1       1.04618344e+03   2.37771359e-01   -9.09281413e-01  
2       1.09449980e+03   1.85462674e-01   -9.22692826e-01  
3       1.14504757e+03   1.29718275e-01   -9.34363304e-01  
4       1.19792981e+03   7.01931934e-02   -9.43903449e-01  
5       1.25325434e+03   6.50000996e-03   -9.50803567e-01  
6       1.31113394e+03   -6.17807185e-02  -9.54394023e-01  
7       1.37168662e+03   -1.35077580e-01  -9.53796879e-01  
8       1.43503583e+03   -2.13786489e-01  -9.47869894e-01  
9       1.50131073e+03   -2.98201691e-01  -9.35146940e-01  
10      1.57064643e+03   -3.88410566e-01  -9.13783790e-01  
11      1.64318429e+03   -4.84145092e-01  -8.81525415e-01  
12      1.71907220e+03   -5.84590316e-01  -8.35718980e-01  
13      1.79846488e+03   -6.88166321e-01  -7.73401200e-01  
14      1.88152418e+03   -7.92324994e-01  -6.91479700e-01  
15      1.96841945e+03   -8.93426413e-01  -5.86990691e-01  
16      2.05932784e+03   -9.86751280e-01  -4.57337461e-01  
17      2.15443469e+03   -1.06660734e+00  -3.00307847e-01  
18      2.25393390e+03   -1.12621706e+00  -1.13601408e-01  
19      2.35802834e+03   -1.15652318e+00  1.06254269e-01   
20      2.46693021e+03   -1.14205818e+00  3.64848529e-01   
21      2.58086154e+03   -1.05076948e+00  6.66501440e-01   
22      2.70005462e+03   -8.18553018e-01  9.90909032e-01   
23      2.82475244e+03   -3.71183838e-01  1.22159105e+00   
24      2.95520924e+03   1.91149014e-01   1.12813844e+00   
25      3.09169098e+03   5.18048243e-01   7.25842002e-01   
26      3.23447591e+03   5.27992922e-01   3.48165411e-01   
27      3.38385515e+03   4.15264297e-01   1.31173381e-01   
28      3.54013324e+03   2.99655188e-01   2.89561211e-02   
29      3.70362879e+03   2.10644954e-01   -1.43082145e-02  
30      3.87467512e+03   1.47386798e-01   -3.00402764e-02  
31      4.05362096e+03   1.03445334e-01   -3.34243134e-02  
32      4.24083114e+03   7.30194983e-02   -3.15623504e-02  
33      4.43668733e+03   5.18687987e-02   -2.77524224e-02  
34      4.64158883e+03   3.70711771e-02   -2.35031319e-02  
35      4.85595339e+03   2.66455337e-02   -1.94730052e-02  
36      5.08021805e+03   1.92497306e-02   -1.59153413e-02  
37      5.31484001e+03   1.39696984e-02   -1.28928396e-02  
38      5.56029763e+03   1.01782088e-02   -1.03825083e-02  
39      5.81709133e+03   7.44135072e-03   -8.32705775e-03  
40      6.08574464e+03   5.45653357e-03   -6.65971353e-03  
41      6.36680529e+03   4.01113793e-03   -5.31569225e-03  
42      6.66084629e+03   2.95470966e-03   -4.23698400e-03  
43      6.96846712e+03   2.18009580e-03   -3.37382735e-03  
44      7.29029493e+03   1.61053310e-03   -2.68461413e-03  
45      7.62698586e+03   1.19073572e-03   -2.13511371e-03  
46      7.97922634e+03   8.80694067e-04   -1.69746580e-03  
47      8.34773449e+03   6.51327786e-04   -1.34916016e-03  
48      8.73326162e+03   4.81417574e-04   -1.07210115e-03  
49      9.13659373e+03   3.55425786e-04   -8.51793567e-04  
50      9.55855309e+03   2.61939378e-04   -6.76655424e-04  
51      1.00000000e+04   1.92551522e-04   -5.37448777e-04  
52      1.04618344e+04   1.41054389e-04   -4.26814501e-04  
53      1.09449980e+04   1.02853927e-04   -3.38895233e-04  
54      1.14504757e+04   7.45438532e-05   -2.69031664e-04  
55      1.19792981e+04   5.35944105e-05   -2.13518933e-04  
56      1.25325434e+04   3.81241962e-05   -1.69411836e-04  
57      1.31113394e+04   2.67323878e-05   -1.34369402e-04  
58      1.37168662e+04   1.83750381e-05   -1.06531057e-04  
59      1.43503583e+04   1.22736366e-05   -8.44180745e-05  
60      1.50131073e+04   7.84737246e-06   -6.68551917e-05  
61      1.57064643e+04   4.66285385e-06   -5.29083059e-05  
62      1.64318429e+04   2.39672034e-06   -4.18349591e-05  
63      1.71907220e+04   8.07798630e-07   -3.30449947e-05  
64      1.79846488e+04   -2.83662343e-07  -2.60692988e-05  
65      1.88152418e+04   -1.01149472e-06  -2.05349643e-05  
66      1.96841945e+04   -1.47519801e-06  -1.61455565e-05 
