Index        FREQ           Re(V(3))         Im(V(3))
0       1.00000000e+02   -2.38326508e-02  1.12247799e-06   
1       1.25892541e+02   -2.38326485e-02  9.36195173e-07   
2       1.58489319e+02   -2.38326469e-02  7.99759294e-07   
3       1.99526231e+02   -2.38326460e-02  7.05909052e-07   
4       2.51188643e+02   -2.38326453e-02  6.49648771e-07   
5       3.16227766e+02   -2.38326449e-02  6.27983452e-07   
6       3.98107171e+02   -2.38326445e-02  6.39759803e-07   
7       5.01187234e+02   -2.38326441e-02  6.85605056e-07   
8       6.30957344e+02   -2.38326437e-02  7.67960423e-07   
9       7.94328235e+02   -2.38326431e-02  8.91210982e-07   
10      1.00000000e+03   -2.38326422e-02  1.06191889e-06   
11      1.25892541e+03   -2.38326409e-02  1.28917214e-06   
12      1.58489319e+03   -2.38326388e-02  1.58506715e-06   
13      1.99526231e+03   -2.38326354e-02  1.96535011e-06   
14      2.51188643e+03   -2.38326301e-02  2.45024993e-06   
15      3.16227766e+03   -2.38326217e-02  3.06554437e-06   
16      3.98107171e+03   -2.38326084e-02  3.84391043e-06   
17      5.01187234e+03   -2.38325873e-02  4.82662026e-06   
18      6.30957344e+03   -2.38325539e-02  6.06565061e-06   
19      7.94328235e+03   -2.38325011e-02  7.62627532e-06   
20      1.00000000e+04   -2.38324175e-02  9.59019325e-06   
21      1.25892541e+04   -2.38322854e-02  1.20591914e-05   
22      1.58489319e+04   -2.38320771e-02  1.51592143e-05   
23      1.99526231e+04   -2.38317494e-02  1.90444426e-05   
24      2.51188643e+04   -2.38312362e-02  2.39004614e-05   
25      3.16227766e+04   -2.38304381e-02  2.99447019e-05   
26      3.98107171e+04   -2.38292099e-02  3.74210064e-05   
27      5.01187234e+04   -2.38273503e-02  4.65838459e-05   
28      6.30957344e+04   -2.38246032e-02  5.76683005e-05   
29      7.94328235e+04   -2.38206884e-02  7.08491029e-05   
30      1.00000000e+05   -2.38153858e-02  8.62125108e-05   
31      1.25892541e+05   -2.38086744e-02  1.03796144e-04   
32      1.58489319e+05   -2.38008668e-02  1.23759688e-04   
33      1.99526231e+05   -2.37926108e-02  1.46674018e-04   
34      2.51188643e+05   -2.37846815e-02  1.73779445e-04   
35      3.16227766e+05   -2.37776670e-02  2.07041259e-04   
36      3.98107171e+05   -2.37717658e-02  2.49014472e-04   
37      5.01187234e+05   -2.37667848e-02  3.02702414e-04   
38      6.30957344e+05   -2.37622447e-02  3.71556684e-04   
39      7.94328235e+05   -2.37574621e-02  4.59629438e-04   
40      1.00000000e+06   -2.37515427e-02  5.71821269e-04   
41      1.25892541e+06   -2.37432716e-02  7.14179330e-04   
42      1.58489319e+06   -2.37308959e-02  8.94229739e-04   
43      1.99526231e+06   -2.37117728e-02  1.12134233e-03   
44      2.51188643e+06   -2.36818230e-02  1.40711943e-03   
45      3.16227766e+06   -2.36346948e-02  1.76577299e-03   
46      3.98107171e+06   -2.35604931e-02  2.21439568e-03   
47      5.01187234e+06   -2.34438896e-02  2.77291988e-03   
48      6.30957344e+06   -2.32614138e-02  3.46335368e-03   
49      7.94328235e+06   -2.29778289e-02  4.30753941e-03   
50      1.00000000e+07   -2.25419103e-02  5.32218542e-03   
51      1.25892541e+07   -2.18830280e-02  6.50944675e-03   
52      1.58489319e+07   -2.09121123e-02  7.84158116e-03   
53      1.99526231e+07   -1.95336496e-02  9.24089424e-03   
54      2.51188643e+07   -1.76765368e-02  1.05635828e-02   
55      3.16227766e+07   -1.53437492e-02  1.16068876e-02   
56      3.98107171e+07   -1.26581078e-02  1.21602371e-02   
57      5.01187234e+07   -9.85973105e-03  1.20924990e-02   
58      6.30957344e+07   -7.23114456e-03  1.14201569e-02   
59      7.94328235e+07   -4.99191194e-03  1.02981837e-02   
60      1.00000000e+08   -3.23776652e-03  8.94195047e-03   
61      1.25892541e+08   -1.95174135e-03  7.54436420e-03   
62      1.58489319e+08   -1.05403212e-03  6.23473694e-03   
63      1.99526231e+08   -4.48667263e-04  5.07848366e-03   
64      2.51188643e+08   -4.99613033e-05  4.09533617e-03   
65      3.16227766e+08   2.08464477e-04   3.27878688e-03   
66      3.98107171e+08   3.74063161e-04   2.61013946e-03   
67      5.01187234e+08   4.79133071e-04   2.06683628e-03   
68      6.30957344e+08   5.44950932e-04   1.62671660e-03   
69      7.94328235e+08   5.85166050e-04   1.26985935e-03   
70      1.00000000e+09   6.08258996e-04   9.79155551e-04
