Index       FREQ            Re(V(3))          Im(V(3))     
0  1.000000e+02  -3.833977e-01  -8.795912e-07  
1  1.258925e+02  -3.833977e-01  -5.318081e-07  
2  1.584893e+02  -3.833977e-01  -2.123457e-07  
3  1.995262e+02  -3.833977e-01  9.580851e-08  
4  2.511886e+02  -3.833977e-01  4.090649e-07  
5  3.162278e+02  -3.833977e-01  7.441054e-07  
6  3.981072e+02  -3.833977e-01  1.118772e-06  
7  5.011872e+02  -3.833977e-01  1.553018e-06  
8  6.309573e+02  -3.833977e-01  2.069967e-06  
9  7.943282e+02  -3.833977e-01  2.697150e-06  
10  1.000000e+03  -3.833977e-01  3.467966e-06  
11  1.258925e+03  -3.833977e-01  4.423464e-06  
12  1.584893e+03  -3.833977e-01  5.614527e-06  
13  1.995262e+03  -3.833977e-01  7.104584e-06  
14  2.511886e+03  -3.833977e-01  8.972986e-06  
15  3.162278e+03  -3.833977e-01  1.131923e-05  
16  3.981072e+03  -3.833977e-01  1.426827e-05  
17  5.011872e+03  -3.833977e-01  1.797714e-05  
18  6.309573e+03  -3.833977e-01  2.264337e-05  
19  7.943282e+03  -3.833977e-01  2.851543e-05  
20  1.000000e+04  -3.833977e-01  3.590605e-05  
21  1.258925e+04  -3.833977e-01  4.520879e-05  
22  1.584893e+04  -3.833976e-01  5.691907e-05  
23  1.995262e+04  -3.833976e-01  7.166049e-05  
24  2.511886e+04  -3.833976e-01  9.021809e-05  
25  3.162278e+04  -3.833976e-01  1.135801e-04  
26  3.981072e+04  -3.833976e-01  1.429907e-04  
27  5.011872e+04  -3.833976e-01  1.800161e-04  
28  6.309573e+04  -3.833975e-01  2.266280e-04  
29  7.943282e+04  -3.833974e-01  2.853086e-04  
30  1.000000e+05  -3.833973e-01  3.591828e-04  
31  1.258925e+05  -3.833971e-01  4.521847e-04  
32  1.584893e+05  -3.833968e-01  5.692668e-04  
33  1.995262e+05  -3.833963e-01  7.166640e-04  
34  2.511886e+05  -3.833956e-01  9.022250e-04  
35  3.162278e+05  -3.833944e-01  1.135831e-03  
36  3.981072e+05  -3.833924e-01  1.429919e-03  
37  5.011872e+05  -3.833894e-01  1.800148e-03  
38  6.309573e+05  -3.833845e-01  2.266224e-03  
39  7.943282e+05  -3.833768e-01  2.852950e-03  
40  1.000000e+06  -3.833646e-01  3.591540e-03  
41  1.258925e+06  -3.833453e-01  4.521257e-03  
42  1.584893e+06  -3.833147e-01  5.691480e-03  
43  1.995262e+06  -3.832662e-01  7.164259e-03  
44  2.511886e+06  -3.831894e-01  9.017494e-03  
45  3.162278e+06  -3.830677e-01  1.134881e-02  
46  3.981072e+06  -3.828749e-01  1.428026e-02  
47  5.011872e+06  -3.825698e-01  1.796372e-02  
48  6.309573e+06  -3.820873e-01  2.258700e-02  
49  7.943282e+06  -3.813249e-01  2.837967e-02  
50  1.000000e+07  -3.801227e-01  3.561738e-02  
51  1.258925e+07  -3.782326e-01  4.462088e-02  
52  1.584893e+07  -3.752744e-01  5.574336e-02  
53  1.995262e+07  -3.706777e-01  6.933363e-02  
54  2.511886e+07  -3.636145e-01  8.565490e-02  
55  3.162278e+07  -3.529452e-01  1.047315e-01  
56  3.981072e+07  -3.372375e-01  1.261007e-01  
57  5.011872e+07  -3.149662e-01  1.484904e-01  
58  6.309573e+07  -2.850168e-01  1.695670e-01  
59  7.943282e+07  -2.474859e-01  1.860669e-01  
60  1.000000e+08  -2.044012e-01  1.946377e-01  
61  1.258925e+08  -1.596476e-01  1.932408e-01  
62  1.584893e+08  -1.177387e-01  1.822158e-01  
63  1.995262e+08  -8.213610e-02  1.640921e-01  
64  2.511886e+08  -5.430966e-02  1.423212e-01  
65  3.162278e+08  -3.394526e-02  1.199638e-01  
66  3.981072e+08  -1.974926e-02  9.905492e-02  
67  5.011872e+08  -1.018742e-02  8.061327e-02  
68  6.309573e+08  -3.898209e-03  6.493661e-02  
69  7.943282e+08  1.689770e-04  5.191097e-02  
70  1.000000e+09  2.762399e-03  4.123262e-02  
