Index        FREQ           Re(V(8))         Im(V(8))
0       1.00000000e+02   9.97741592e-01   -3.31399857e-05  
1       1.25892541e+02   9.97741633e-01   -4.17209637e-05  
2       1.58489319e+02   9.97741698e-01   -5.25239675e-05  
3       1.99526231e+02   9.97741800e-01   -6.61245277e-05  
4       2.51188643e+02   9.97741963e-01   -8.32473851e-05  
5       3.16227766e+02   9.97742221e-01   -1.04805315e-04  
6       3.98107171e+02   9.97742630e-01   -1.31948191e-04  
7       5.01187234e+02   9.97743279e-01   -1.66125134e-04  
8       6.30957344e+02   9.97744306e-01   -2.09163494e-04  
9       7.94328235e+02   9.97745933e-01   -2.63369779e-04  
10      1.00000000e+03   9.97748509e-01   -3.31659686e-04  
11      1.25892541e+03   9.97752587e-01   -4.17727666e-04  
12      1.58489319e+03   9.97759036e-01   -5.26272021e-04  
13      1.99526231e+03   9.97769225e-01   -6.63301114e-04  
14      2.51188643e+03   9.97785291e-01   -8.36563314e-04  
15      3.16227766e+03   9.97810549e-01   -1.05617356e-03  
16      3.98107171e+03   9.97850072e-01   -1.33556202e-03  
17      5.01187234e+03   9.97911465e-01   -1.69295616e-03  
18      6.30957344e+03   9.98005754e-01   -2.15373076e-03  
19      7.94328235e+03   9.98148052e-01   -2.75408385e-03  
20      1.00000000e+04   9.98357195e-01   -3.54646499e-03  
21      1.25892541e+04   9.98652780e-01   -4.60661225e-03  
22      1.58489319e+04   9.99047757e-01   -6.04042240e-03  
23      1.99526231e+04   9.99536353e-01   -7.98643198e-03  
24      2.51188643e+04   1.00008218e+00   -1.06092909e-02  
25      3.16227766e+04   1.00061639e+00   -1.40859496e-02  
26      3.98107171e+04   1.00105122e+00   -1.85971864e-02  
27      5.01187234e+04   1.00129930e+00   -2.43383220e-02  
28      6.30957344e+04   1.00128022e+00   -3.15479861e-02  
29      7.94328235e+04   1.00090628e+00   -4.05404492e-02  
30      1.00000000e+05   1.00005196e+00   -5.17302190e-02  
31      1.25892541e+05   9.98513490e-01   -6.56475781e-02  
32      1.58489319e+05   9.95957003e-01   -8.29469662e-02  
33      1.99526231e+05   9.91847903e-01   -1.04405307e-01  
34      2.51188643e+05   9.85351296e-01   -1.30897894e-01  
35      3.16227766e+05   9.75196498e-01   -1.63325782e-01  
36      3.98107171e+05   9.59511418e-01   -2.02449665e-01  
37      5.01187234e+05   9.35667930e-01   -2.48564344e-01  
38      6.30957344e+05   9.00254564e-01   -3.00945756e-01  
39      7.94328235e+05   8.49411759e-01   -3.57076012e-01  
40      1.00000000e+06   7.79852855e-01   -4.11894162e-01  
41      1.25892541e+06   6.90707150e-01   -4.57745319e-01  
42      1.58489319e+06   5.85555719e-01   -4.85934679e-01  
43      1.99526231e+06   4.73008167e-01   -4.90003526e-01  
44      2.51188643e+06   3.64404295e-01   -4.68953264e-01  
45      3.16227766e+06   2.69596444e-01   -4.27796735e-01  
46      3.98107171e+06   1.93804216e-01   -3.74933623e-01  
47      5.01187234e+06   1.37364184e-01   -3.18609809e-01  
48      6.30957344e+06   9.75171790e-02   -2.64758016e-01  
49      7.94328235e+06   7.04320517e-02   -2.16633640e-01  
50      1.00000000e+07   5.24928468e-02   -1.75438673e-01  
51      1.25892541e+07   4.08143065e-02   -1.41132882e-01  
52      1.58489319e+07   3.32963705e-02   -1.13064279e-01  
53      1.99526231e+07   2.84913256e-02   -9.03597331e-02  
54      2.51188643e+07   2.54336670e-02   -7.21325987e-02  
55      3.16227766e+07   2.34924424e-02   -5.75773721e-02  
56      3.98107171e+07   2.22603338e-02   -4.60028232e-02  
57      5.01187234e+07   2.14760848e-02   -3.68349018e-02  
58      6.30957344e+07   2.09723047e-02   -2.96065675e-02  
59      7.94328235e+07   2.06410381e-02   -2.39432390e-02  
60      1.00000000e+08   2.04111719e-02   -1.95479280e-02  
