Index        FREQ           Re(V(5))         Im(V(5))
0       1.00000000e+00   6.92219419e+01   -2.08835365e-05  
1       2.00000000e+00   6.92219419e+01   -4.17670730e-05  
2       3.00000000e+00   6.92219419e+01   -6.26506094e-05  
3       4.00000000e+00   6.92219419e+01   -8.35341459e-05  
4       5.00000000e+00   6.92219419e+01   -1.04417682e-04  
5       6.00000000e+00   6.92219419e+01   -1.25301219e-04  
6       7.00000000e+00   6.92219419e+01   -1.46184755e-04  
7       8.00000000e+00   6.92219419e+01   -1.67068292e-04  
8       9.00000000e+00   6.92219419e+01   -1.87951828e-04  
9       1.00000000e+01   6.92219419e+01   -2.08835365e-04  
10      1.10000000e+01   6.92219419e+01   -2.29718901e-04  
11      1.20000000e+01   6.92219419e+01   -2.50602438e-04  
12      1.30000000e+01   6.92219419e+01   -2.71485974e-04  
13      1.40000000e+01   6.92219419e+01   -2.92369511e-04  
14      1.50000000e+01   6.92219419e+01   -3.13253047e-04  
15      1.60000000e+01   6.92219419e+01   -3.34136584e-04  
16      1.70000000e+01   6.92219419e+01   -3.55020120e-04  
17      1.80000000e+01   6.92219419e+01   -3.75903657e-04  
18      1.90000000e+01   6.92219419e+01   -3.96787193e-04  
19      2.00000000e+01   6.92219419e+01   -4.17670730e-04  
20      2.10000000e+01   6.92219419e+01   -4.38554266e-04  
21      2.20000000e+01   6.92219419e+01   -4.59437803e-04  
22      2.30000000e+01   6.92219419e+01   -4.80321339e-04  
23      2.40000000e+01   6.92219419e+01   -5.01204875e-04  
24      2.50000000e+01   6.92219419e+01   -5.22088412e-04  
25      2.60000000e+01   6.92219419e+01   -5.42971948e-04  
26      2.70000000e+01   6.92219419e+01   -5.63855485e-04  
27      2.80000000e+01   6.92219419e+01   -5.84739021e-04  
28      2.90000000e+01   6.92219419e+01   -6.05622558e-04  
29      3.00000000e+01   6.92219419e+01   -6.26506094e-04  
30      3.10000000e+01   6.92219419e+01   -6.47389631e-04  
31      3.20000000e+01   6.92219419e+01   -6.68273167e-04  
32      3.30000000e+01   6.92219419e+01   -6.89156704e-04  
33      3.40000000e+01   6.92219419e+01   -7.10040240e-04  
34      3.50000000e+01   6.92219419e+01   -7.30923777e-04  
35      3.60000000e+01   6.92219419e+01   -7.51807313e-04  
36      3.70000000e+01   6.92219419e+01   -7.72690850e-04  
37      3.80000000e+01   6.92219419e+01   -7.93574386e-04  
38      3.90000000e+01   6.92219419e+01   -8.14457923e-04  
39      4.00000000e+01   6.92219419e+01   -8.35341459e-04  
40      4.10000000e+01   6.92219419e+01   -8.56224996e-04  
41      4.20000000e+01   6.92219419e+01   -8.77108532e-04  
42      4.30000000e+01   6.92219419e+01   -8.97992068e-04  
43      4.40000000e+01   6.92219419e+01   -9.18875605e-04  
44      4.50000000e+01   6.92219419e+01   -9.39759141e-04  
45      4.60000000e+01   6.92219419e+01   -9.60642678e-04  
46      4.70000000e+01   6.92219419e+01   -9.81526214e-04  
47      4.80000000e+01   6.92219419e+01   -1.00240975e-03  
48      4.90000000e+01   6.92219419e+01   -1.02329329e-03  
49      5.00000000e+01   6.92219419e+01   -1.04417682e-03  
50      5.10000000e+01   6.92219419e+01   -1.06506036e-03  
51      5.20000000e+01   6.92219419e+01   -1.08594390e-03  
52      5.30000000e+01   6.92219419e+01   -1.10682743e-03  
53      5.40000000e+01   6.92219419e+01   -1.12771097e-03  
54      5.50000000e+01   6.92219419e+01   -1.14859451e-03  
55      5.60000000e+01   6.92219419e+01   -1.16947804e-03  
56      5.70000000e+01   6.92219419e+01   -1.19036158e-03  
57      5.80000000e+01   6.92219419e+01   -1.21124512e-03  
58      5.90000000e+01   6.92219419e+01   -1.23212865e-03  
59      6.00000000e+01   6.92219419e+01   -1.25301219e-03  
60      6.10000000e+01   6.92219419e+01   -1.27389572e-03  
61      6.20000000e+01   6.92219419e+01   -1.29477926e-03  
62      6.30000000e+01   6.92219419e+01   -1.31566280e-03  
63      6.40000000e+01   6.92219419e+01   -1.33654633e-03  
64      6.50000000e+01   6.92219419e+01   -1.35742987e-03  
65      6.60000000e+01   6.92219419e+01   -1.37831341e-03  
66      6.70000000e+01   6.92219419e+01   -1.39919694e-03  
67      6.80000000e+01   6.92219419e+01   -1.42008048e-03  
68      6.90000000e+01   6.92219419e+01   -1.44096402e-03  
69      7.00000000e+01   6.92219419e+01   -1.46184755e-03  
70      7.10000000e+01   6.92219419e+01   -1.48273109e-03  
71      7.20000000e+01   6.92219419e+01   -1.50361463e-03  
72      7.30000000e+01   6.92219419e+01   -1.52449816e-03  
73      7.40000000e+01   6.92219419e+01   -1.54538170e-03  
74      7.50000000e+01   6.92219419e+01   -1.56626524e-03  
75      7.60000000e+01   6.92219419e+01   -1.58714877e-03  
76      7.70000000e+01   6.92219419e+01   -1.60803231e-03  
77      7.80000000e+01   6.92219419e+01   -1.62891584e-03  
78      7.90000000e+01   6.92219419e+01   -1.64979938e-03  
79      8.00000000e+01   6.92219419e+01   -1.67068292e-03  
80      8.10000000e+01   6.92219419e+01   -1.69156645e-03  
81      8.20000000e+01   6.92219419e+01   -1.71244999e-03  
82      8.30000000e+01   6.92219419e+01   -1.73333353e-03  
83      8.40000000e+01   6.92219419e+01   -1.75421706e-03  
84      8.50000000e+01   6.92219419e+01   -1.77510060e-03  
85      8.60000000e+01   6.92219419e+01   -1.79598414e-03  
86      8.70000000e+01   6.92219419e+01   -1.81686767e-03  
87      8.80000000e+01   6.92219419e+01   -1.83775121e-03  
88      8.90000000e+01   6.92219419e+01   -1.85863475e-03  
89      9.00000000e+01   6.92219419e+01   -1.87951828e-03  
90      9.10000000e+01   6.92219419e+01   -1.90040182e-03  
91      9.20000000e+01   6.92219419e+01   -1.92128535e-03  
92      9.30000000e+01   6.92219419e+01   -1.94216889e-03  
93      9.40000000e+01   6.92219419e+01   -1.96305243e-03  
94      9.50000000e+01   6.92219419e+01   -1.98393596e-03  
95      9.60000000e+01   6.92219419e+01   -2.00481950e-03  
96      9.70000000e+01   6.92219419e+01   -2.02570304e-03  
97      9.80000000e+01   6.92219419e+01   -2.04658657e-03  
98      9.90000000e+01   6.92219419e+01   -2.06747011e-03  
99      1.00000000e+02   6.92219419e+01   -2.08835365e-03  
