Index        FREQ           Re(V(6))         Im(V(6))
0       1.00000000e+00   9.99858895e-01   -3.70646885e-05  
1       1.58489319e+00   9.99858895e-01   -5.87435726e-05  
2       2.51188643e+00   9.99858894e-01   -9.31022886e-05  
3       3.98107171e+00   9.99858893e-01   -1.47557185e-04  
4       6.30957344e+00   9.99858890e-01   -2.33862382e-04  
5       1.00000000e+01   9.99858882e-01   -3.70646917e-04  
6       1.58489319e+01   9.99858863e-01   -5.87435855e-04  
7       2.51188643e+01   9.99858814e-01   -9.31023400e-04  
8       3.98107171e+01   9.99858690e-01   -1.47557389e-03  
9       6.30957344e+01   9.99858380e-01   -2.33863197e-03  
10      1.00000000e+02   9.99857601e-01   -3.70650162e-03  
11      1.58489319e+02   9.99855644e-01   -5.87448770e-03  
12      2.51188643e+02   9.99850725e-01   -9.31074815e-03  
13      3.98107171e+02   9.99838357e-01   -1.47577858e-02  
14      6.30957344e+02   9.99807199e-01   -2.33944683e-02  
15      1.00000000e+03   9.99728367e-01   -3.70974554e-02  
16      1.58489319e+03   9.99526769e-01   -5.88740117e-02  
17      2.51188643e+03   9.98997652e-01   -9.36214825e-02  
18      3.98107171e+03   9.97523172e-01   -1.49622922e-01  
19      6.30957344e+03   9.92870103e-01   -2.42066943e-01  
20      1.00000000e+04   9.74692404e-01   -4.02920460e-01  
21      1.58489319e+04   8.81078912e-01   -7.06144609e-01  
22      2.51188643e+04   3.41297476e-01   -1.14981852e+00  
23      3.98107171e+04   -5.08532928e-01  -5.91211882e-01  
24      6.30957344e+04   -3.06720186e-01  -5.04396183e-02  
25      1.00000000e+05   -1.23808301e-01  3.56091452e-02   
26      1.58489319e+05   -4.85138601e-02  3.61171567e-02   
27      2.51188643e+05   -1.88414773e-02  2.58598348e-02   
28      3.98107171e+05   -7.11382429e-03  1.70187152e-02   
29      6.30957344e+05   -2.46876904e-03  1.08546942e-02   
30      1.00000000e+06   -6.43642294e-04  6.79284222e-03   
31      1.58489319e+06   3.39347377e-05   4.15379472e-03   
32      2.51188643e+06   2.09950563e-04   2.45166896e-03   
33      3.98107171e+06   1.50488150e-04   1.40502932e-03   
34      6.30957344e+06   3.66102729e-05   8.40276186e-04   
35      1.00000000e+07   -7.15946722e-06  5.56746781e-04   
