Index        FREQ           Re(V(3))         Im(V(3))
0       1.00000000e+02   -1.03594310e-01  5.99375751e-09   
1       1.25892541e+02   -1.03594310e-01  7.54569364e-09   
2       1.58489319e+02   -1.03594310e-01  9.49946547e-09   
3       1.99526231e+02   -1.03594310e-01  1.19591185e-08   
4       2.51188643e+02   -1.03594310e-01  1.50556382e-08   
5       3.16227766e+02   -1.03594310e-01  1.89539255e-08   
6       3.98107171e+02   -1.03594310e-01  2.38615784e-08   
7       5.01187234e+02   -1.03594310e-01  3.00399474e-08   
8       6.30957344e+02   -1.03594310e-01  3.78180532e-08   
9       7.94328235e+02   -1.03594310e-01  4.76101082e-08   
10      1.00000000e+03   -1.03594310e-01  5.99375751e-08   
11      1.25892541e+03   -1.03594310e-01  7.54569364e-08   
12      1.58489319e+03   -1.03594310e-01  9.49946547e-08   
13      1.99526231e+03   -1.03594310e-01  1.19591185e-07   
14      2.51188643e+03   -1.03594310e-01  1.50556382e-07   
15      3.16227766e+03   -1.03594310e-01  1.89539255e-07   
16      3.98107171e+03   -1.03594310e-01  2.38615784e-07   
17      5.01187234e+03   -1.03594310e-01  3.00399474e-07   
18      6.30957344e+03   -1.03594310e-01  3.78180532e-07   
19      7.94328235e+03   -1.03594310e-01  4.76101082e-07   
20      1.00000000e+04   -1.03594310e-01  5.99375751e-07   
21      1.25892541e+04   -1.03594310e-01  7.54569364e-07   
22      1.58489319e+04   -1.03594310e-01  9.49946547e-07   
23      1.99526231e+04   -1.03594310e-01  1.19591185e-06   
24      2.51188643e+04   -1.03594310e-01  1.50556382e-06   
25      3.16227766e+04   -1.03594310e-01  1.89539255e-06   
26      3.98107171e+04   -1.03594310e-01  2.38615784e-06   
27      5.01187234e+04   -1.03594310e-01  3.00399474e-06   
28      6.30957344e+04   -1.03594310e-01  3.78180532e-06   
29      7.94328235e+04   -1.03594310e-01  4.76101081e-06   
30      1.00000000e+05   -1.03594310e-01  5.99375749e-06   
31      1.25892541e+05   -1.03594310e-01  7.54569360e-06   
32      1.58489319e+05   -1.03594310e-01  9.49946539e-06   
33      1.99526231e+05   -1.03594309e-01  1.19591183e-05   
34      2.51188643e+05   -1.03594308e-01  1.50556378e-05   
35      3.16227766e+05   -1.03594307e-01  1.89539248e-05   
36      3.98107171e+05   -1.03594305e-01  2.38615772e-05   
37      5.01187234e+05   -1.03594302e-01  3.00399449e-05   
38      6.30957344e+05   -1.03594297e-01  3.78180482e-05   
39      7.94328235e+05   -1.03594289e-01  4.76100981e-05   
40      1.00000000e+06   -1.03594276e-01  5.99375550e-05   
41      1.25892541e+06   -1.03594255e-01  7.54568964e-05   
42      1.58489319e+06   -1.03594223e-01  9.49945748e-05   
43      1.99526231e+06   -1.03594172e-01  1.19591025e-04   
44      2.51188643e+06   -1.03594092e-01  1.50556064e-04   
45      3.16227766e+06   -1.03593964e-01  1.89538620e-04   
46      3.98107171e+06   -1.03593761e-01  2.38614518e-04   
47      5.01187234e+06   -1.03593439e-01  3.00396948e-04   
48      6.30957344e+06   -1.03592930e-01  3.78175492e-04   
49      7.94328235e+06   -1.03592122e-01  4.76091026e-04   
50      1.00000000e+07   -1.03590843e-01  5.99355687e-04   
51      1.25892541e+07   -1.03588814e-01  7.54529332e-04   
52      1.58489319e+07   -1.03585600e-01  9.49866676e-04   
53      1.99526231e+07   -1.03580506e-01  1.19575249e-03   
54      2.51188643e+07   -1.03572434e-01  1.50524588e-03   
55      3.16227766e+07   -1.03559643e-01  1.89475827e-03   
56      3.98107171e+07   -1.03539378e-01  2.38489254e-03   
57      5.01187234e+07   -1.03507275e-01  3.00147091e-03   
58      6.30957344e+07   -1.03456436e-01  3.77677208e-03   
59      7.94328235e+07   -1.03375964e-01  4.75097601e-03   
60      1.00000000e+08   -1.03248681e-01  5.97376007e-03   
61      1.25892541e+08   -1.03047591e-01  7.50587122e-03   
62      1.58489319e+08   -1.02730485e-01  9.42025381e-03   
63      1.99526231e+08   -1.02231884e-01  1.18018375e-02   
64      2.51188643e+08   -1.01451494e-01  1.47442169e-02   
65      3.16227766e+08   -1.00238772e-01  1.83399860e-02   
66      3.98107171e+08   -9.83750211e-02  2.26593842e-02   
67      5.01187234e+08   -9.55590773e-02  2.77099162e-02   
68      6.30957344e+08   -9.14119980e-02  3.33707883e-02   
69      7.94328235e+08   -8.55291890e-02  3.93076987e-02   
70      1.00000000e+09   -7.76130023e-02  4.49053151e-02   
