Index        FREQ           Re(V(6))         Im(V(6))
0       1.00000000e+00   3.46434996e+03   -4.52602448e+02  
1       1.58489319e+00   3.37864708e+03   -6.99585578e+02  
2       2.51188643e+00   3.18097555e+03   -1.04391606e+03  
3       3.98107171e+00   2.77337459e+03   -1.44255351e+03  
4       6.30957344e+00   2.09800069e+03   -1.72971532e+03  
5       1.00000000e+01   1.30155238e+03   -1.70116025e+03  
6       1.58489319e+01   6.65942016e+02   -1.38040944e+03  
7       2.51188643e+01   2.98690746e+02   -9.82918158e+02  
8       3.98107171e+01   1.24797696e+02   -6.53621490e+02  
9       6.30957344e+01   5.02359052e+01   -4.21453989e+02  
10      1.00000000e+02   1.96338355e+01   -2.68261020e+02  
11      1.58489319e+02   7.30033686e+00   -1.69854765e+02  
12      2.51188643e+02   2.36610517e+00   -1.07317860e+02  
13      3.98107171e+02   3.97947588e-01   -6.77450616e+01  
14      6.30957344e+02   -3.86072937e-01  -4.27445973e+01  
15      1.00000000e+03   -6.97968915e-01  -2.69578959e+01  
16      1.58489319e+03   -8.21336404e-01  -1.69869165e+01  
17      2.51188643e+03   -8.68411343e-01  -1.06819077e+01  
18      3.98107171e+03   -8.82079324e-01  -6.68293137e+00  
19      6.30957344e+03   -8.75105404e-01  -4.12850608e+00  
20      1.00000000e+04   -8.43080139e-01  -2.47300188e+00  
21      1.58489319e+04   -7.67278686e-01  -1.37792032e+00  
22      2.51188643e+04   -6.24629643e-01  -6.55540872e-01  
23      3.98107171e+04   -4.25468506e-01  -2.25684621e-01  
24      6.30957344e+04   -2.36054439e-01  -2.96894518e-02  
25      1.00000000e+05   -1.11196394e-01  2.81323917e-02   
26      1.58489319e+05   -4.74730943e-02  3.28340995e-02   
27      2.51188643e+05   -1.91630861e-02  2.49337220e-02   
28      3.98107171e+05   -7.36658555e-03  1.68227311e-02   
29      6.30957344e+05   -2.58521255e-03  1.08648669e-02   
30      1.00000000e+06   -6.74437923e-04  6.87418039e-03   
31      1.58489319e+06   7.20226865e-05   4.27537192e-03   
32      2.51188643e+06   3.33316906e-04   2.58945351e-03   
33      3.98107171e+06   3.70202318e-04   1.49814488e-03   
34      6.30957344e+06   2.93810975e-04   8.18081747e-04   
35      1.00000000e+07   1.86010199e-04   4.34159855e-04   
