Index        TIME               V(VOUT)              V(IN)               V(1)           N(M:XINV1:N1_T)     N(M:XINV1:P1_T)  
0        0.0000000000e+00    4.2658905925e-10    1.9999999920e+00    2.0000000000e+00    3.7983564148e-17    9.3735152108e-36
1        5.0000000000e-13    5.6774190180e-04    2.0020273966e+00    2.0000000000e+00    3.7370275835e-11    2.1849830601e-27
2        1.5000000000e-12    1.8537148500e-03    2.0091767010e+00    2.0000000000e+00    8.3454953374e-10    3.3894348994e-26
3        2.4000000000e-12    3.0320019818e-03    2.0169863175e+00    2.0000000000e+00    2.7556822220e-09    9.5796010897e-26
4        3.3000000000e-12    4.2012631342e-03    2.0252730491e+00    2.0000000000e+00    5.5624789283e-09    1.7808341414e-25
5        5.1000000000e-12    6.3816267830e-03    2.0432024298e+00    2.0000000000e+00    1.7797953860e-08    5.2283976369e-25
6        8.7000000000e-12    9.7845472816e-03    2.0783356053e+00    2.0000000000e+00    7.5306211563e-08    3.1889874020e-24
7        1.2300000000e-11    1.1991354685e-02    2.1101163364e+00    2.0000000000e+00    1.7684423465e-07    1.4279111322e-23
8        1.5900000000e-11    1.3301306759e-02    2.1385461138e+00    2.0000000000e+00    3.1365263516e-07    5.8784501696e-23
9        2.3100000000e-11    1.4245830821e-02    2.1871300111e+00    2.0000000000e+00    6.4084259883e-07    1.3052446945e-21
10       3.0300000000e-11    1.3823329440e-02    2.2260589337e+00    2.0000000000e+00    9.8399158461e-07    2.3921841865e-20
11       3.7500000000e-11    1.2656654919e-02    2.2550266567e+00    2.0000000000e+00    1.2928764983e-06    5.1288025240e-19
12       4.4700000000e-11    1.1212123058e-02    2.2751398814e+00    2.0000000000e+00    1.5462491997e-06    1.2366480398e-17
13       5.1900000000e-11    9.7312764017e-03    2.2876092451e+00    2.0000000000e+00    1.7427330798e-06    3.4412954453e-16
14       5.9100000000e-11    8.1716366829e-03    2.2912244620e+00    2.0000000000e+00    1.8872407829e-06    1.1246345650e-14
15       6.6300000000e-11    6.5411696147e-03    2.2851948223e+00    2.0000000000e+00    1.9854670118e-06    4.3920742769e-13
16       7.3500000000e-11    4.9777170753e-03    2.2706617557e+00    2.0000000000e+00    2.0460174889e-06    1.9486291042e-11
17       8.0700000000e-11    3.7602513511e-03    2.2516500148e+00    2.0000000000e+00    2.0808102897e-06    8.9102596479e-10
18       9.5100000000e-11    9.2925448313e-03    2.2213274185e+00    2.0000000000e+00    2.2579460905e-06    2.1943677905e-06
19       1.0000000000e-10    2.8558081647e-02    2.2272528544e+00    2.0000000000e+00    2.7873046563e-06    7.5961228685e-06
20       1.0089564034e-10    3.4078782328e-02    2.2233748207e+00    2.0000000000e+00    3.0341023512e-06    9.4287399264e-06
21       1.0170171664e-10    3.9177729534e-02    2.2189387845e+00    2.0000000000e+00    3.3255370698e-06    1.1163213700e-05
22       1.0250779295e-10    4.4334350072e-02    2.2143475240e+00    2.0000000000e+00    3.6564820883e-06    1.2937820809e-05
23       1.0411994556e-10    5.4901220394e-02    2.2052944243e+00    2.0000000000e+00    4.5865422378e-06    1.6709765337e-05
24       1.0734425078e-10    7.6593064865e-02    2.1890801203e+00    2.0000000000e+00    7.8195467550e-06    2.5039260960e-05
25       1.1056855600e-10    9.8556967403e-02    2.1748258425e+00    2.0000000000e+00    1.3331214232e-05    3.4279619718e-05
26       1.1701716644e-10    1.4152136708e-01    2.1506919452e+00    2.0000000000e+00    3.3376491879e-05    5.4800063234e-05
27       1.2991438733e-10    2.1899187954e-01    2.1140414409e+00    2.0000000000e+00    1.1751752545e-04    1.0095838525e-04
