Index       TIME             V(GATE)           V(OUT)      
0        0.00000000e+00    0.00000000e+00    1.49999995e+00
1        5.00000000e-13    0.00000000e+00    1.49999995e+00
2        1.50000000e-12    0.00000000e+00    1.49999995e+00
3        3.50000000e-12    0.00000000e+00    1.49999995e+00
4        7.50000000e-12    0.00000000e+00    1.49999995e+00
5        1.55000000e-11    0.00000000e+00    1.49999995e+00
6        2.55000000e-11    0.00000000e+00    1.49999995e+00
7        3.55000000e-11    0.00000000e+00    1.49999995e+00
8        4.55000000e-11    0.00000000e+00    1.49999995e+00
9        5.55000000e-11    0.00000000e+00    1.49999995e+00
10       6.55000000e-11    0.00000000e+00    1.49999995e+00
11       7.55000000e-11    0.00000000e+00    1.49999995e+00
12       8.55000000e-11    0.00000000e+00    1.49999995e+00
13       9.55000000e-11    0.00000000e+00    1.49999995e+00
14       1.00000000e-10    0.00000000e+00    1.49999995e+00
15       1.00329260e-10    9.87780385e-03    1.50452011e+00
16       1.00594090e-10    1.78226969e-02    1.50805837e+00
17       1.00858920e-10    2.57675899e-02    1.51155266e+00
18       1.01388579e-10    4.16573759e-02    1.51826439e+00
19       1.02447898e-10    7.34369480e-02    1.53067682e+00
20       1.04566536e-10    1.36996092e-01    1.55214380e+00
21       1.06685175e-10    2.00555236e-01    1.57008689e+00
22       1.08803813e-10    2.64114380e-01    1.58558223e+00
23       1.10922451e-10    3.27673525e-01    1.59941974e+00
24       1.13041089e-10    3.91232669e-01    1.61215498e+00
25       1.15159727e-10    4.54791813e-01    1.62423289e+00
26       1.17278365e-10    5.18350957e-01    1.63583825e+00
27       1.21515642e-10    6.45469245e-01    1.65791358e+00
28       1.25752918e-10    7.72587534e-01    1.68166451e+00
29       1.29566466e-10    8.86993993e-01    1.70279756e+00
30       1.33380015e-10    1.00140045e+00    1.71126103e+00
31       1.34238064e-10    1.02714191e+00    1.70549589e+00
32       1.35096112e-10    1.05288336e+00    1.68685397e+00
33       1.35190799e-10    1.05572398e+00    1.68270193e+00
34       1.35380174e-10    1.06140523e+00    1.67188710e+00
35       1.35569549e-10    1.06708648e+00    1.65636959e+00
36       1.35758924e-10    1.07276772e+00    1.63486367e+00
37       1.35948299e-10    1.07844897e+00    1.60793607e+00
38       1.36137674e-10    1.08413022e+00    1.57781544e+00
39       1.36516424e-10    1.09549271e+00    1.51402054e+00
40       1.36895174e-10    1.10685521e+00    1.44842842e+00
41       1.37652673e-10    1.12958019e+00    1.31345234e+00
42       1.39167672e-10    1.17503017e+00    1.02851376e+00
43       1.40682672e-10    1.22048015e+00    7.21753848e-01
44       1.41422710e-10    1.24268129e+00    5.80772406e-01
45       1.41697659e-10    1.25092977e+00    5.34594424e-01
46       1.41972608e-10    1.25917825e+00    4.93710234e-01
