Index       V(D)              V(G)             I(V_D)          N(M:X1:1_T)   
0        1.00000000e-01   -1.60000000e+00    4.45560111e-16    1.03509664e-27
1        2.00000000e-01   -1.60000000e+00    1.33445168e-15    4.95440916e-27
2        3.00000000e-01   -1.60000000e+00    3.43298756e-15    1.68164666e-26
3        4.00000000e-01   -1.60000000e+00    8.22817616e-15    4.86555965e-26
4        5.00000000e-01   -1.60000000e+00    1.85871838e-14    1.26671546e-25
5        6.00000000e-01   -1.60000000e+00    3.97473131e-14    3.03995712e-25
6        7.00000000e-01   -1.60000000e+00    8.07287247e-14    6.81719361e-25
7        8.00000000e-01   -1.60000000e+00    1.56193648e-13    1.44092863e-24
8        9.00000000e-01   -1.60000000e+00    2.88678260e-13    2.88902851e-24
9        1.00000000e+00   -1.60000000e+00    5.11018228e-13    5.52409415e-24
10       1.10000000e+00   -1.60000000e+00    8.68711826e-13    1.01208904e-23
11       1.20000000e+00   -1.60000000e+00    1.42194206e-12    1.78438376e-23
12       1.30000000e+00   -1.60000000e+00    2.24701442e-12    3.03910336e-23
13       1.40000000e+00   -1.60000000e+00    3.43704275e-12    5.01789150e-23
14       1.50000000e+00   -1.60000000e+00    5.10180915e-12    8.05715183e-23
15       1.00000000e-01    4.00000000e-01    1.26012168e-08    6.67115059e-06
16       2.00000000e-01    4.00000000e-01    2.12318126e-08    2.24804663e-05
17       3.00000000e-01    4.00000000e-01    3.38327543e-08    5.37337116e-05
18       4.00000000e-01    4.00000000e-01    5.20632020e-08    1.10250120e-04
19       5.00000000e-01    4.00000000e-01    7.77243923e-08    2.05738472e-04
20       6.00000000e-01    4.00000000e-01    1.12908055e-07    3.58644601e-04
21       7.00000000e-01    4.00000000e-01    1.60040015e-07    5.93081904e-04
22       8.00000000e-01    4.00000000e-01    2.22058678e-07    9.40471616e-04
23       9.00000000e-01    4.00000000e-01    3.02997714e-07    1.44367583e-03
24       1.00000000e+00    4.00000000e-01    4.09616201e-07    2.16852661e-03
25       1.10000000e+00    4.00000000e-01    5.55391043e-07    3.23428922e-03
26       1.20000000e+00    4.00000000e-01    7.67845207e-07    4.87799683e-03
27       1.30000000e+00    4.00000000e-01    1.09218165e-06    7.51662752e-03
28       1.40000000e+00    4.00000000e-01    1.57846183e-06    1.16988186e-02
29       1.50000000e+00    4.00000000e-01    2.26878305e-06    1.80156718e-02
30       1.00000000e-01    1.60000000e+00    3.55393738e-05    1.88147190e-02
31       2.00000000e-01    1.60000000e+00    6.49218388e-05    6.87398848e-02
32       3.00000000e-01    1.60000000e+00    8.90068211e-05    1.41361961e-01
33       4.00000000e-01    1.60000000e+00    1.08523777e-04    2.29812121e-01
34       5.00000000e-01    1.60000000e+00    1.11091483e-04    2.94061952e-01
35       6.00000000e-01    1.60000000e+00    1.22200066e-04    3.88159978e-01
36       7.00000000e-01    1.60000000e+00    1.31128001e-04    4.85938718e-01
37       8.00000000e-01    1.60000000e+00    1.38537989e-04    5.86741406e-01
38       9.00000000e-01    1.60000000e+00    1.44582869e-04    6.88885633e-01
39       1.00000000e+00    1.60000000e+00    1.50632860e-04    7.97454256e-01
40       1.10000000e+00    1.60000000e+00    1.55856027e-04    9.07608023e-01
41       1.20000000e+00    1.60000000e+00    1.60353979e-04    1.01867984e+00
42       1.30000000e+00    1.60000000e+00    1.65529054e-04    1.13905113e+00
43       1.40000000e+00    1.60000000e+00    1.69776942e-04    1.25790056e+00
44       1.50000000e+00    1.60000000e+00    1.74639479e-04    1.38481905e+00
End of Xyce(TM) Simulation
