Index        TIME               V(VOUT)              V(IN)               V(1)           N(M:XINV1:N1_T)     N(M:XINV1:P1_T)  
0        0.0000000000e+00    1.4642517327e-30    2.0000000000e+00    2.0000000000e+00   -4.8760775590e-60   -1.2033097611e-78
1        5.0000000000e-13    5.6773246505e-04    2.0020274019e+00    2.0000000000e+00    3.7365543577e-11    2.1848577957e-27
2        1.5000000000e-12    1.8537101034e-03    2.0091767104e+00    2.0000000000e+00    8.3449533519e-10    3.3893351766e-26
3        2.5000000000e-12    3.1586741814e-03    2.0179353192e+00    2.0000000000e+00    3.1513644435e-09    1.0742352795e-25
4        3.5000000000e-12    4.4484769206e-03    2.0272301248e+00    2.0000000000e+00    6.6102457578e-09    2.0750593677e-25
5        5.5000000000e-12    6.8146945553e-03    2.0472015764e+00    2.0000000000e+00    2.2042279984e-08    6.5557024876e-25
6        9.5000000000e-12    1.0366441645e-02    2.0856837945e+00    2.0000000000e+00    9.4190871569e-08    4.6288006652e-24
7        1.3500000000e-11    1.2518464309e-02    2.1199341038e+00    2.0000000000e+00    2.1884445207e-07    2.3671641554e-23
8        1.7500000000e-11    1.3673189210e-02    2.1502293110e+00    2.0000000000e+00    3.8213280501e-07    1.1273303788e-22
9        2.1500000000e-11    1.4144841053e-02    2.1771151707e+00    2.0000000000e+00    5.6728867526e-07    5.3466485936e-22
10       2.9500000000e-11    1.3908825526e-02    2.2222101649e+00    2.0000000000e+00    9.4738680169e-07    1.8336438898e-20
11       3.7500000000e-11    1.2659814544e-02    2.2550329263e+00    2.0000000000e+00    1.2927548582e-06    5.5489175329e-19
12       4.5500000000e-11    1.1053094697e-02    2.2769365671e+00    2.0000000000e+00    1.5709244700e-06    1.9247735432e-17
13       5.3500000000e-11    9.3986627300e-03    2.2892837976e+00    2.0000000000e+00    1.7795597362e-06    7.9908674423e-16
14       6.1500000000e-11    7.6391759950e-03    2.2903850255e+00    2.0000000000e+00    1.9255092707e-06    4.0740256044e-14
15       6.9500000000e-11    5.8279802186e-03    2.2797304290e+00    2.0000000000e+00    2.0174786814e-06    2.5583585140e-12
16       7.7500000000e-11    4.2420835721e-03    2.2604857783e+00    2.0000000000e+00    2.0691701450e-06    1.7848146546e-10
17       8.5500000000e-11    3.2471271491e-03    2.2387473248e+00    2.0000000000e+00    2.0974566964e-06    1.1976006040e-08
18       9.3500000000e-11    5.0027420387e-03    2.2221637977e+00    2.0000000000e+00    2.1324644896e-06    6.2106703745e-07
19       9.4607502775e-11    6.0212536834e-03    2.2213386264e+00    2.0000000000e+00    2.1423129238e-06    8.9384022111e-07
20       9.6822508325e-11    9.7823205131e-03    2.2215228541e+00    2.0000000000e+00    2.1780403905e-06    1.8662306390e-06
21       1.0000000000e-10    2.5309297110e-02    2.2276716217e+00    2.0000000000e+00    2.4594262727e-06    5.9357067301e-06
22       1.0044300111e-10    2.8149984398e-02    2.2261254491e+00    2.0000000000e+00    2.5433696202e-06    6.8257231724e-06
23       1.0088600222e-10    3.1036097207e-02    2.2239082909e+00    2.0000000000e+00    2.6449992570e-06    7.7441882080e-06
24       1.0132900333e-10    3.3942109579e-02    2.2215022648e+00    2.0000000000e+00    2.7563412837e-06    8.6758746593e-06
25       1.0221500555e-10    3.9841362147e-02    2.2163247078e+00    2.0000000000e+00    3.0427812153e-06    1.0611492454e-05
26       1.0398700999e-10    5.1843629418e-02    2.2064330509e+00    2.0000000000e+00    3.9241829391e-06    1.4741150541e-05
27       1.0753101887e-10    7.6217956893e-02    2.1887525842e+00    2.0000000000e+00    7.3268302741e-06    2.3919772869e-05
28       1.1461903663e-10    1.2453940350e-01    2.1595531757e+00    2.0000000000e+00    2.3455488892e-05    4.5189620733e-05
29       1.2170705439e-10    1.7020821930e-01    2.1364037391e+00    2.0000000000e+00    5.5297619113e-05    6.9295809658e-05
30       1.2879507215e-10    2.1180905833e-01    2.1173635155e+00    2.0000000000e+00    1.0550778757e-04    9.5190960519e-05
31       1.3588308991e-10    2.4916057795e-01    2.1014161332e+00    2.0000000000e+00    1.7496205499e-04    1.2221852759e-04
32       1.4297110767e-10    2.8247589005e-01    2.0878962482e+00    2.0000000000e+00    2.6342683073e-04    1.4995169373e-04
33       1.5005912543e-10    3.1207801033e-01    2.0763570191e+00    2.0000000000e+00    3.7002964552e-04    1.7810609477e-04
34       1.5714714319e-10    3.3831836813e-01    2.0664451558e+00    2.0000000000e+00    4.9355764923e-04    2.0649202947e-04
35       1.7132317872e-10    3.8222870975e-01    2.0504389022e+00    2.0000000000e+00    7.8529097239e-04    2.6346751961e-04
36       1.8549921424e-10    4.1644926475e-01    2.0384401176e+00    2.0000000000e+00    1.1284547094e-03    3.2035664804e-04
37       1.9967524976e-10    4.4300757554e-01    2.0293694719e+00    2.0000000000e+00    1.5129233218e-03    3.7692060376e-04
38       2.1385128528e-10    4.5073087134e-01    2.0200305911e+00    2.0000000000e+00    1.9204295923e-03    4.3480809360e-04
39       2.2660971725e-10    4.4904690394e-01    2.0123376498e+00    2.0000000000e+00    2.2897227245e-03    4.9043815110e-04
40       2.3936814922e-10    4.5037474564e-01    2.0081967610e+00    2.0000000000e+00    2.6577930679e-03    5.4915700479e-04
41       2.5212658119e-10    4.4996168511e-01    2.0052285377e+00    2.0000000000e+00    3.0258598942e-03    6.0960423157e-04
42       2.6488501315e-10    4.5028386599e-01    2.0033450695e+00    2.0000000000e+00    3.3934575200e-03    6.7135038897e-04
43       2.7764344512e-10    4.5024709020e-01    2.0022175065e+00    2.0000000000e+00    3.7609825246e-03    7.3386185540e-04
44       2.9040187709e-10    4.5028585180e-01    2.0013604618e+00    2.0000000000e+00    4.1283376769e-03    7.9690244645e-04
45       3.0316030906e-10    4.5033140772e-01    2.0009427720e+00    2.0000000000e+00    4.4956349790e-03    8.6027712422e-04
46       3.1591874103e-10    4.5030462511e-01    2.0005503888e+00    2.0000000000e+00    4.8628713617e-03    9.2386379234e-04
47       3.2867717300e-10    4.5035335354e-01    2.0004024580e+00    2.0000000000e+00    5.2300710962e-03    9.8759560425e-04
48       3.4143560497e-10    4.5032045772e-01    2.0002209964e+00    2.0000000000e+00    5.5972481477e-03    1.0514107976e-03
49       3.5419403694e-10    4.5035680399e-01    2.0001726127e+00    2.0000000000e+00    5.9644026698e-03    1.1152891537e-03
50       3.7971090088e-10    4.5033121358e-01    2.0000473637e+00    2.0000000000e+00    6.6986802353e-03    1.2431311887e-03
51       4.0522776481e-10    4.5035931222e-01    2.0000370814e+00    2.0000000000e+00    7.4329164331e-03    1.3710441770e-03
52       4.5626149269e-10    4.5033560152e-01    1.9999899522e+00    2.0000000000e+00    8.9013152312e-03    1.6269166352e-03
53       5.0729522057e-10    4.5035945077e-01    2.0000110075e+00    2.0000000000e+00    1.0369617908e-02    1.8828045176e-03
54       6.0936267632e-10    4.5033718131e-01    1.9999893484e+00    2.0000000000e+00    1.3305967611e-02    2.3945344392e-03
55       7.1143013207e-10    4.5035975588e-01    2.0000101245e+00    2.0000000000e+00    1.6241966974e-02    2.9062100063e-03
56       9.1556504357e-10    4.5033890274e-01    1.9999899517e+00    2.0000000000e+00    2.2112929897e-02    3.9293802168e-03
57       1.1196999551e-09    4.5036122509e-01    2.0000097490e+00    2.0000000000e+00    2.7982501792e-02    4.9523205892e-03
58       1.5279697781e-09    4.5034173309e-01    1.9999902361e+00    2.0000000000e+00    3.9717487510e-02    6.9974953972e-03
59       1.9362396011e-09    4.5036458867e-01    2.0000095630e+00    2.0000000000e+00    5.1446921553e-02    9.0417402916e-03
60       2.7527792471e-09    4.5034709743e-01    1.9999903797e+00    2.0000000000e+00    7.4889156959e-02    1.3127425659e-02
61       3.5693188931e-09    4.5037152375e-01    2.0000094664e+00    2.0000000000e+00    9.8309223978e-02    1.7209385446e-02
62       5.2023981852e-09    4.5035766768e-01    1.9999904561e+00    2.0000000000e+00    1.4508294826e-01    2.5362126423e-02
63       6.8354774772e-09    4.5038546868e-01    2.0000094129e+00    2.0000000000e+00    1.9176825476e-01    3.3499994706e-02
64       1.0101636061e-08    4.5037865664e-01    1.9999905001e+00    2.0000000000e+00    2.8487433437e-01    4.9731216167e-02
65       1.3367794645e-08    4.5041326005e-01    2.0000093805e+00    2.0000000000e+00    3.7762874953e-01    6.5903260291e-02
66       1.9900111813e-08    4.5042024562e-01    1.9999905287e+00    2.0000000000e+00    5.6208840934e-01    9.8070761230e-02
