Index       TIME             V(GATE)           V(OUT)      
0        0.00000000e+00    0.00000000e+00    1.49999995e+00
1        5.00000000e-13    0.00000000e+00    1.49999995e+00
2        1.50000000e-12    0.00000000e+00    1.49999995e+00
3        3.50000000e-12    0.00000000e+00    1.49999995e+00
4        7.50000000e-12    0.00000000e+00    1.49999995e+00
5        1.55000000e-11    0.00000000e+00    1.49999995e+00
6        2.55000000e-11    0.00000000e+00    1.49999995e+00
7        3.55000000e-11    0.00000000e+00    1.49999995e+00
8        4.55000000e-11    0.00000000e+00    1.49999995e+00
9        5.55000000e-11    0.00000000e+00    1.49999995e+00
10       6.55000000e-11    0.00000000e+00    1.49999995e+00
11       7.55000000e-11    0.00000000e+00    1.49999995e+00
12       8.55000000e-11    0.00000000e+00    1.49999995e+00
13       9.55000000e-11    0.00000000e+00    1.49999995e+00
14       1.00000000e-10    0.00000000e+00    1.49999995e+00
15       1.00348400e-10    1.04519856e-02    1.50435401e+00
16       1.00630415e-10    1.89124609e-02    1.50777434e+00
17       1.00912431e-10    2.73729362e-02    1.51114720e+00
18       1.01476463e-10    4.42938869e-02    1.51759735e+00
19       1.02604526e-10    7.81357881e-02    1.52942086e+00
20       1.04860653e-10    1.45819591e-01    1.54950508e+00
21       1.07116780e-10    2.13503393e-01    1.56586230e+00
22       1.09372907e-10    2.81187196e-01    1.57964300e+00
23       1.11629033e-10    3.48870998e-01    1.59169831e+00
24       1.13885160e-10    4.16554801e-01    1.60255699e+00
25       1.16141287e-10    4.84238603e-01    1.61239693e+00
26       1.18397414e-10    5.51922406e-01    1.62102265e+00
27       1.22909667e-10    6.87290011e-01    1.63327356e+00
28       1.27421921e-10    8.22657616e-01    1.64034654e+00
29       1.31934174e-10    9.58025221e-01    1.64283126e+00
30       1.33621394e-10    1.00864181e+00    1.63762927e+00
31       1.34457231e-10    1.03371694e+00    1.63197736e+00
32       1.35293069e-10    1.05879206e+00    1.62106908e+00
33       1.36128906e-10    1.08386719e+00    1.59238253e+00
34       1.36216015e-10    1.08648044e+00    1.58678699e+00
35       1.36303123e-10    1.08909370e+00    1.58032684e+00
36       1.36477340e-10    1.09432020e+00    1.56424401e+00
37       1.36651557e-10    1.09954671e+00    1.54348909e+00
38       1.36825774e-10    1.10477321e+00    1.51867760e+00
39       1.36999991e-10    1.10999972e+00    1.49146242e+00
40       1.37348424e-10    1.12045273e+00    1.43314931e+00
41       1.37696858e-10    1.13090574e+00    1.37334811e+00
42       1.38393725e-10    1.15181176e+00    1.25078494e+00
43       1.39787460e-10    1.19362380e+00    9.93012089e-01
44       1.41181195e-10    1.23543584e+00    7.19113273e-01
45       1.41850441e-10    1.25551322e+00    5.94601294e-01
46       1.42102889e-10    1.26308667e+00    5.51837662e-01
