Index       TIME            V(OUT25)          V(OUT50)     
0        0.00000000e+00  -1.74924456e-119   -4.02627416e-07
1        5.00000000e-13    3.59386973e-04    3.17294840e-04
2        1.50000000e-12    1.07821968e-03    9.49176911e-04
3        3.50000000e-12    2.51610633e-03    2.20677275e-03
4        7.50000000e-12    5.39276297e-03    4.69142913e-03
5        1.55000000e-11    1.11495967e-02    9.58744893e-03
6        2.55000000e-11    1.83522034e-02    1.56433782e-02
7        3.55000000e-11    2.55620552e-02    2.16803681e-02
8        4.55000000e-11    3.27791043e-02    2.77190958e-02
9        5.55000000e-11    4.00033077e-02    3.37654359e-02
10       6.55000000e-11    4.72346279e-02    3.98210559e-02
11       7.55000000e-11    5.44729552e-02    4.58861427e-02
12       8.55000000e-11    6.17180103e-02    5.19609039e-02
13       9.55000000e-11    6.89698075e-02    5.80454983e-02
14       1.00000000e-10    7.22353122e-02    6.07868267e-02
15       1.01000000e-10    7.29611649e-02    6.14584712e-02
16       1.02000000e-10    7.36870848e-02    6.21307220e-02
17       1.04000000e-10    7.51391264e-02    6.34764282e-02
18       1.08000000e-10    7.80440163e-02    6.61734430e-02
19       1.16000000e-10    8.38570234e-02    7.15827886e-02
20       1.32000000e-10    9.54959586e-02    8.24365061e-02
21       1.64000000e-10    1.18825809e-01    1.04230471e-01
22       2.28000000e-10    1.65700172e-01    1.48219723e-01
23       2.88357915e-10    2.10209787e-01    1.90810280e-01
24       3.13076098e-10    2.28536749e-01    2.08961288e-01
25       3.37794281e-10    2.46934621e-01    2.27658269e-01
26       3.45994889e-10    2.53060385e-01    2.33940626e-01
27       3.54195497e-10    2.59196743e-01    2.40284776e-01
28       3.70596713e-10    2.71513293e-01    2.53138014e-01
29       3.86997929e-10    2.83901901e-01    2.66212628e-01
30       4.03399145e-10    2.96385476e-01    2.79482335e-01
31       4.08560305e-10    3.00340655e-01    2.83691752e-01
32       4.18882625e-10    3.08287352e-01    2.92167410e-01
33       4.39527264e-10    3.24391566e-01    3.09440916e-01
34       4.60171904e-10    3.40860180e-01    3.27249364e-01
35       4.80816544e-10    3.57807386e-01    3.45766367e-01
36       5.01461184e-10    3.75326514e-01    3.65078812e-01
37       5.20041359e-10    3.91599455e-01    3.83142562e-01
38       5.38621535e-10    4.08277599e-01    4.01806180e-01
39       5.55343693e-10    4.23502626e-01    4.19005993e-01
40       5.70393636e-10    4.37253778e-01    4.34678454e-01
41       5.85443578e-10    4.50954151e-01    4.50394552e-01
42       5.98988526e-10    4.63196904e-01    4.64462212e-01
43       6.12533474e-10    4.75344260e-01    4.78363846e-01
44       6.24603037e-10    4.86094565e-01    4.90560343e-01
45       6.36672599e-10    4.96782882e-01    5.02549942e-01
46       6.47535205e-10    5.06354602e-01    5.13156931e-01
47       6.58397811e-10    5.15880781e-01    5.23591018e-01
48       6.68174156e-10    5.24413584e-01    5.32839342e-01
49       6.77950502e-10    5.32904241e-01    5.41959008e-01
50       6.87726847e-10    5.41350269e-01    5.50957706e-01
51       6.96491918e-10    5.48884062e-01    5.58930161e-01
52       7.05256989e-10    5.56382615e-01    5.66820355e-01
53       7.13145553e-10    5.63103936e-01    5.73858589e-01
54       7.21034117e-10    5.69803557e-01    5.80845124e-01
55       7.28133824e-10    5.75818960e-01    5.87095657e-01
56       7.35233532e-10    5.81825785e-01    5.93317831e-01
57       7.42333239e-10    5.87829167e-01    5.99518637e-01
58       7.49432947e-10    5.93834488e-01    6.05705219e-01
59       7.55822683e-10    5.99245295e-01    6.11266802e-01
60       7.62212420e-10    6.04665892e-01    6.16827759e-01
61       7.68602157e-10    6.10099843e-01    6.22392757e-01
62       7.74991893e-10    6.15550386e-01    6.27966096e-01
63       7.81381630e-10    6.21020354e-01    6.33551631e-01
64       7.87771367e-10    6.26511938e-01    6.39152711e-01
65       7.94161104e-10    6.32025410e-01    6.44772154e-01
66       7.99911867e-10    6.37000865e-01    6.49847215e-01
67       8.05662630e-10    6.41963724e-01    6.54940313e-01
68       8.11413393e-10    6.46824397e-01    6.60052413e-01
69       8.17164156e-10    6.51306234e-01    6.65184185e-01
70       8.22339843e-10    6.54452320e-01    6.69819930e-01
71       8.27515529e-10    6.55578581e-01    6.74472070e-01
72       8.32691216e-10    6.52577421e-01    6.79140595e-01
73       8.37866903e-10    6.42324955e-01    6.83825376e-01
74       8.43042589e-10    6.21049876e-01    6.88526182e-01
75       8.48218276e-10    5.81939504e-01    6.93242695e-01
76       8.53393963e-10    5.24441962e-01    6.97974524e-01
77       8.58052081e-10    4.66997377e-01    7.02245900e-01
78       8.62710199e-10    4.12715163e-01    7.06528952e-01
79       8.67368317e-10    3.63769058e-01    7.10823291e-01
80       8.72026435e-10    3.20047858e-01    7.15128501e-01
81       8.76684553e-10    2.80494481e-01    7.19444152e-01
82       8.81342671e-10    2.44914355e-01    7.23769797e-01
83       8.86000789e-10    2.13211658e-01    7.28104978e-01
84       8.90658907e-10    1.85234544e-01    7.32449206e-01
85       8.95317026e-10    1.60825395e-01    7.36802018e-01
86       8.99975144e-10    1.39749867e-01    7.41162934e-01
87       9.04633262e-10    1.21700038e-01    7.45531430e-01
88       9.09291380e-10    1.06335247e-01    7.49906973e-01
89       9.13949498e-10    9.33125732e-02    7.54289080e-01
90       9.18607616e-10    8.23091136e-02    7.58677297e-01
91       9.23265734e-10    7.30310545e-02    7.63071197e-01
92       9.27923852e-10    6.52187679e-02    7.67470377e-01
93       9.32581970e-10    5.86472267e-02    7.71874481e-01
94       9.37240088e-10    5.31232207e-02    7.76283274e-01
95       9.41432394e-10    4.89123351e-02    7.80255272e-01
96       9.45624701e-10    4.53128041e-02    7.84231948e-01
97       9.49817007e-10    4.22361356e-02    7.88216067e-01
98       9.54009313e-10    3.96061763e-02    7.92215632e-01
99       9.58201619e-10    3.73574700e-02    7.96252160e-01
100      9.62393926e-10    3.54338314e-02    8.00380522e-01
101      9.66586232e-10    3.37870876e-02    8.04734073e-01
102      9.70778538e-10    3.23759945e-02    8.09620580e-01
103      9.74970844e-10    3.11652800e-02    8.15708824e-01
104      9.79163151e-10    3.01248225e-02    8.24346178e-01
105      9.83355457e-10    2.92289254e-02    8.37985293e-01
106      9.87547763e-10    2.84556973e-02    8.60498568e-01
107      9.91740069e-10    2.77865054e-02    8.96890051e-01
108      9.95513145e-10    2.72602188e-02    9.46097479e-01
109      9.99286221e-10    2.67954086e-02    1.01848491e+00
110      1.00000000e-09    2.67137888e-02    1.03658844e+00
111      1.00037731e-09    2.63166173e-02    1.04678839e+00
112      1.00075462e-09    2.59238031e-02    1.05761302e+00
113      1.00150923e-09    2.51470456e-02    1.08089646e+00
114      1.00301846e-09    2.36474914e-02    1.13192865e+00
115      1.00603692e-09    2.08677892e-02    1.22430495e+00
116      1.00905538e-09    1.83774732e-02    1.28572196e+00
117      1.01207384e-09    1.61629001e-02    1.32672382e+00
118      1.01811076e-09    1.24624602e-02    1.38099093e+00
119      1.02414768e-09    9.59369827e-03    1.41526151e+00
120      1.03018461e-09    7.38258082e-03    1.43852185e+00
121      1.03622153e-09    5.68235014e-03    1.45481637e+00
122      1.04225845e-09    4.37612756e-03    1.46621042e+00
123      1.05433229e-09    2.57850332e-03    1.48033945e+00
124      1.06640613e-09    1.52817407e-03    1.48782536e+00
125      1.07847997e-09    9.13710246e-04    1.49221827e+00
126      1.10262766e-09    3.16468618e-04    1.49682215e+00
127      1.12677534e-09    1.26531531e-04    1.49862083e+00
128      1.15092303e-09    6.40567891e-05    1.49936463e+00
129      1.19921839e-09    2.97819313e-05    1.49987328e+00
130      1.24751376e-09    2.52975100e-05    1.49995030e+00
131      1.34410450e-09    1.90102188e-05    1.49998970e+00
132      1.44069523e-09    1.53835624e-05    1.50002837e+00
133      1.53728597e-09    1.29713518e-05    1.49995740e+00
134      1.63387671e-09    1.12628349e-05    1.49997504e+00
135      1.73046744e-09    9.98066797e-06    1.49997093e+00
136      1.82705818e-09    8.98406505e-06    1.49998602e+00
137      2.02023965e-09    7.52690404e-06    1.49998965e+00
138      2.21342112e-09    6.51603145e-06    1.50000057e+00
139      2.59978407e-09    5.19934593e-06    1.50000641e+00
140      2.69944403e-09    4.95872158e-06    1.50000877e+00
141      2.75055067e-09    4.84592933e-06    1.50001159e+00
142      2.80165730e-09    4.73890034e-06    1.50001424e+00
143      2.85276394e-09    4.63625859e-06    1.50003340e+00
144      2.90387057e-09    4.53893436e-06    1.50005771e+00
145      2.95497721e-09    4.44655881e-06    1.50005428e+00
146      3.00608384e-09    4.35871112e-06    1.50001990e+00
147      3.00973735e-09    4.35259432e-06    1.50002430e+00
148      3.01704436e-09    4.34043262e-06    1.50003502e+00
149      3.02435137e-09    4.32835501e-06    1.50003905e+00
150      3.03165838e-09    4.31636123e-06    1.50003881e+00
151      3.03896539e-09    4.30445053e-06    1.50005358e+00
