Index       V(2)              V(1)             I(VDS)           N(M1:GM)          N(M1:VTH)        N(M1:VDSAT)        N(M1:VDS)         N(M1:VGS)         N(M1:VBS)     {N(M1:VDS)-N(M1:VDSAT)}
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.04361422e-01    3.82737400e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00   -3.82737400e-02
1        5.00000000e-02    0.00000000e+00   -3.05537186e-09    7.79198277e-08    3.03674771e-01    3.82726610e-02    5.00000000e-02    0.00000000e+00    0.00000000e+00    1.17273390e-02
2        1.00000000e-01    0.00000000e+00   -3.55018913e-09    9.05324274e-08    3.02988120e-01    3.82715853e-02    1.00000000e-01    0.00000000e+00    0.00000000e+00    6.17284147e-02
3        1.50000000e-01    0.00000000e+00   -3.81943855e-09    9.73878385e-08    3.02301469e-01    3.82705129e-02    1.50000000e-01    0.00000000e+00    0.00000000e+00    1.11729487e-01
4        2.00000000e-01    0.00000000e+00   -4.04386005e-09    1.03098380e-07    3.01614819e-01    3.82694438e-02    2.00000000e-01    0.00000000e+00    0.00000000e+00    1.61730556e-01
5        2.50000000e-01    0.00000000e+00   -4.24963716e-09    1.08332152e-07    3.00928168e-01    3.82683783e-02    2.50000000e-01    0.00000000e+00    0.00000000e+00    2.11731622e-01
6        3.00000000e-01    0.00000000e+00   -4.44576149e-09    1.13318552e-07    3.00241517e-01    3.82673163e-02    3.00000000e-01    0.00000000e+00    0.00000000e+00    2.61732684e-01
7        3.50000000e-01    0.00000000e+00   -4.63675053e-09    1.18172809e-07    2.99554867e-01    3.82662580e-02    3.50000000e-01    0.00000000e+00    0.00000000e+00    3.11733742e-01
8        4.00000000e-01    0.00000000e+00   -4.82530799e-09    1.22963871e-07    2.98868216e-01    3.82652034e-02    4.00000000e-01    0.00000000e+00    0.00000000e+00    3.61734797e-01
9        4.50000000e-01    0.00000000e+00   -5.01321665e-09    1.27737181e-07    2.98181565e-01    3.82641526e-02    4.50000000e-01    0.00000000e+00    0.00000000e+00    4.11735847e-01
10       5.00000000e-01    0.00000000e+00   -5.20173001e-09    1.32524672e-07    2.97494914e-01    3.82631058e-02    5.00000000e-01    0.00000000e+00    0.00000000e+00    4.61736894e-01
11       5.50000000e-01    0.00000000e+00   -5.39177323e-09    1.37349899e-07    2.96808264e-01    3.82620630e-02    5.50000000e-01    0.00000000e+00    0.00000000e+00    5.11737937e-01
12       6.00000000e-01    0.00000000e+00   -5.58405705e-09    1.42230941e-07    2.96121613e-01    3.82610242e-02    6.00000000e-01    0.00000000e+00    0.00000000e+00    5.61738976e-01
13       6.50000000e-01    0.00000000e+00   -5.77914669e-09    1.47182161e-07    2.95434962e-01    3.82599897e-02    6.50000000e-01    0.00000000e+00    0.00000000e+00    6.11740010e-01
14       7.00000000e-01    0.00000000e+00   -5.97750578e-09    1.52215328e-07    2.94748312e-01    3.82589595e-02    7.00000000e-01    0.00000000e+00    0.00000000e+00    6.61741040e-01
15       7.50000000e-01    0.00000000e+00   -6.17952544e-09    1.57340357e-07    2.94061661e-01    3.82579337e-02    7.50000000e-01    0.00000000e+00    0.00000000e+00    7.11742066e-01
16       8.00000000e-01    0.00000000e+00   -6.38554400e-09    1.62565813e-07    2.93375010e-01    3.82569124e-02    8.00000000e-01    0.00000000e+00    0.00000000e+00    7.61743088e-01
17       8.50000000e-01    0.00000000e+00   -6.59586098e-09    1.67899270e-07    2.92688359e-01    3.82558957e-02    8.50000000e-01    0.00000000e+00    0.00000000e+00    8.11744104e-01
18       9.00000000e-01    0.00000000e+00   -6.81074692e-09    1.73347557e-07    2.92001709e-01    3.82548838e-02    9.00000000e-01    0.00000000e+00    0.00000000e+00    8.61745116e-01
19       9.50000000e-01    0.00000000e+00   -7.03045073e-09    1.78916950e-07    2.91315058e-01    3.82538766e-02    9.50000000e-01    0.00000000e+00    0.00000000e+00    9.11746123e-01
20       1.00000000e+00    0.00000000e+00   -7.25520504e-09    1.84613305e-07    2.90628407e-01    3.82528744e-02    1.00000000e+00    0.00000000e+00    0.00000000e+00    9.61747126e-01
21       1.05000000e+00    0.00000000e+00   -7.48523028e-09    1.90442164e-07    2.89941757e-01    3.82518772e-02    1.05000000e+00    0.00000000e+00    0.00000000e+00    1.01174812e+00
22       1.10000000e+00    0.00000000e+00   -7.72073782e-09    1.96408836e-07    2.89255106e-01    3.82508852e-02    1.10000000e+00    0.00000000e+00    0.00000000e+00    1.06174911e+00
23       1.15000000e+00    0.00000000e+00   -7.96193240e-09    2.02518456e-07    2.88568455e-01    3.82498984e-02    1.15000000e+00    0.00000000e+00    0.00000000e+00    1.11175010e+00
