Index       V(2)              V(1)             I(VDS)           N(M1:GM)     
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1       -5.00000000e-02    0.00000000e+00    1.43540694e-08   -3.58060010e-07
2       -1.00000000e-01    0.00000000e+00    7.24399300e-08   -1.74973584e-06
3       -1.50000000e-01    0.00000000e+00    3.10179285e-07   -7.17415118e-06
4       -2.00000000e-01    0.00000000e+00    1.19206178e-06   -2.62752947e-05
5       -2.50000000e-01    0.00000000e+00    4.15214632e-06   -8.61830055e-05
6       -3.00000000e-01    0.00000000e+00    1.27620107e-05   -2.34452845e-04
7       -3.50000000e-01    0.00000000e+00    3.25107461e-05   -4.81268890e-04
8       -4.00000000e-01    0.00000000e+00    6.68720174e-05   -7.48889789e-04
9       -4.50000000e-01    0.00000000e+00    1.14642953e-04   -9.56367393e-04
10      -5.00000000e-01    0.00000000e+00    1.73360339e-04   -1.08831804e-03
11      -5.50000000e-01    0.00000000e+00    2.50174753e-04   -1.16681050e-03
12      -6.00000000e-01    0.00000000e+00    4.17131910e-04   -1.21540357e-03
13      -6.50000000e-01    0.00000000e+00    1.18671304e-03   -1.24874046e-03
14      -7.00000000e-01    0.00000000e+00    6.10894146e-03   -1.27419052e-03
15      -7.50000000e-01    0.00000000e+00    3.97238642e-02   -1.29508423e-03
16      -8.00000000e-01    0.00000000e+00    2.00293325e-01   -1.31285391e-03
17      -8.50000000e-01    0.00000000e+00    3.93681363e-01   -1.32812981e-03
18      -9.00000000e-01    0.00000000e+00    5.87069669e-01   -1.34123425e-03
19      -9.50000000e-01    0.00000000e+00    7.80458111e-01   -1.35238386e-03
20      -1.00000000e+00    0.00000000e+00    9.73846578e-01   -1.36176322e-03
21      -1.05000000e+00    0.00000000e+00    1.16723498e+00   -1.36954670e-03
22      -1.10000000e+00    0.00000000e+00    1.36062323e+00   -1.37590143e-03
23      -1.15000000e+00    0.00000000e+00    1.55401126e+00   -1.38098518e-03
24      -1.20000000e+00    0.00000000e+00    1.74739902e+00   -1.38494374e-03
25      -1.25000000e+00    0.00000000e+00    1.94078646e+00   -1.38790938e-03
26      -1.30000000e+00    0.00000000e+00    2.13417355e+00   -1.39000035e-03
27      -1.35000000e+00    0.00000000e+00    2.32756024e+00   -1.39132132e-03
28      -1.40000000e+00    0.00000000e+00    2.52094652e+00   -1.39196421e-03
29      -1.45000000e+00    0.00000000e+00    2.71433237e+00   -1.39200941e-03
30      -1.50000000e+00    0.00000000e+00    2.90771776e+00   -1.39152703e-03
31      -1.55000000e+00    0.00000000e+00    3.10110268e+00   -1.39057812e-03
32      -1.60000000e+00    0.00000000e+00    3.29448713e+00   -1.38921589e-03
33      -1.65000000e+00    0.00000000e+00    3.48787109e+00   -1.38748669e-03
34      -1.70000000e+00    0.00000000e+00    3.68125455e+00   -1.38543099e-03
35      -1.75000000e+00    0.00000000e+00    3.87463752e+00   -1.38308419e-03
36      -1.80000000e+00    0.00000000e+00    4.06801998e+00   -1.38047732e-03
37      -1.85000000e+00    0.00000000e+00    4.26140194e+00   -1.37763763e-03
38      -1.90000000e+00    0.00000000e+00    4.45478340e+00   -1.37458916e-03
39      -1.95000000e+00    0.00000000e+00    4.64816435e+00   -1.37135309e-03
40      -2.00000000e+00    0.00000000e+00    4.84154479e+00   -1.36794823e-03
41      -2.05000000e+00    0.00000000e+00    5.03492539e+00   -1.36443028e-03
42      -2.10000000e+00    0.00000000e+00    5.22830629e+00   -1.36081584e-03
43      -2.15000000e+00    0.00000000e+00    5.42168678e+00   -1.35707636e-03
44      -2.20000000e+00    0.00000000e+00    5.61506685e+00   -1.35322266e-03
45      -2.25000000e+00    0.00000000e+00    5.80844651e+00   -1.34926540e-03
46      -2.30000000e+00    0.00000000e+00    6.00182575e+00   -1.34521429e-03
47      -2.35000000e+00    0.00000000e+00    6.19520456e+00   -1.34107810e-03
48      -2.40000000e+00    0.00000000e+00    6.38858297e+00   -1.33686479e-03
49      -2.45000000e+00    0.00000000e+00    6.58196096e+00   -1.33258156e-03
50      -2.50000000e+00    0.00000000e+00    6.77533854e+00   -1.32823493e-03
51      -2.55000000e+00    0.00000000e+00    6.96871571e+00   -1.32383087e-03
52      -2.60000000e+00    0.00000000e+00    7.16209247e+00   -1.31937478e-03
53      -2.65000000e+00    0.00000000e+00    7.35546883e+00   -1.31487159e-03
54      -2.70000000e+00    0.00000000e+00    7.54884479e+00   -1.31032582e-03
55      -2.75000000e+00    0.00000000e+00    7.74222035e+00   -1.30574159e-03
56      -2.80000000e+00    0.00000000e+00    7.93559552e+00   -1.30112266e-03
57      -2.85000000e+00    0.00000000e+00    8.12897029e+00   -1.29647249e-03
58      -2.90000000e+00    0.00000000e+00    8.32234468e+00   -1.29179421e-03
59      -2.95000000e+00    0.00000000e+00    8.51571867e+00   -1.28709071e-03
60      -3.00000000e+00    0.00000000e+00    8.70909228e+00   -1.28236458e-03
61      -3.05000000e+00    0.00000000e+00    8.90246550e+00   -1.27761818e-03
62      -3.10000000e+00    0.00000000e+00    9.09583834e+00   -1.27285361e-03
63      -3.15000000e+00    0.00000000e+00    9.28921081e+00   -1.26807271e-03
64      -3.20000000e+00    0.00000000e+00    9.48258290e+00   -1.26327705e-03
65      -3.25000000e+00    0.00000000e+00    9.67595461e+00   -1.25846787e-03
66      -3.30000000e+00    0.00000000e+00    9.86932595e+00   -1.25364607e-03
67      -3.35000000e+00    0.00000000e+00    1.00626969e+01   -1.24881207e-03
68      -3.40000000e+00    0.00000000e+00    1.02560675e+01   -1.24396571e-03
69      -3.45000000e+00    0.00000000e+00    1.04494378e+01   -1.23910601e-03
70      -3.50000000e+00    0.00000000e+00    1.06428076e+01   -1.23423085e-03
71       0.00000000e+00    5.00000000e-01    0.00000000e+00    0.00000000e+00
72      -5.00000000e-02    5.00000000e-01    5.98822057e-05   -2.45205301e-04
73      -1.00000000e-01    5.00000000e-01    1.28855186e-04   -4.38299388e-04
74      -1.50000000e-01    5.00000000e-01    2.03043774e-04   -5.93806096e-04
75      -2.00000000e-01    5.00000000e-01    2.80064957e-04   -7.22815622e-04
76      -2.50000000e-01    5.00000000e-01    3.58547933e-04   -8.31053574e-04
77      -3.00000000e-01    5.00000000e-01    4.37761482e-04   -9.21014855e-04
78      -3.50000000e-01    5.00000000e-01    5.17354770e-04   -9.94447008e-04
79      -4.00000000e-01    5.00000000e-01    5.97181206e-04   -1.05373596e-03
80      -4.50000000e-01    5.00000000e-01    6.77333980e-04   -1.10172794e-03
81      -5.00000000e-01    5.00000000e-01    7.59235982e-04   -1.14098407e-03
82      -5.50000000e-01    5.00000000e-01    8.53508679e-04   -1.17344859e-03
83      -6.00000000e-01    5.00000000e-01    1.03436306e-03   -1.20051825e-03
84      -6.50000000e-01    5.00000000e-01    1.81544169e-03   -1.22320812e-03
85      -7.00000000e-01    5.00000000e-01    6.74737235e-03   -1.24228123e-03
86      -7.50000000e-01    5.00000000e-01    4.03705391e-02   -1.25833015e-03
87      -8.00000000e-01    5.00000000e-01    2.00947001e-01   -1.27182657e-03
88      -8.50000000e-01    5.00000000e-01    3.94340960e-01   -1.28315254e-03
89      -9.00000000e-01    5.00000000e-01    5.87734237e-01   -1.29262138e-03
90      -9.50000000e-01    5.00000000e-01    7.81126817e-01   -1.30049245e-03
91      -1.00000000e+00    5.00000000e-01    9.74518689e-01   -1.30698199e-03
92      -1.05000000e+00    5.00000000e-01    1.16790985e+00   -1.31227149e-03
93      -1.10000000e+00    5.00000000e-01    1.36130029e+00   -1.31651406e-03
94      -1.15000000e+00    5.00000000e-01    1.55469003e+00   -1.31983960e-03
95      -1.20000000e+00    5.00000000e-01    1.74807905e+00   -1.32235879e-03
96      -1.25000000e+00    5.00000000e-01    1.94146738e+00   -1.32416644e-03
97      -1.30000000e+00    5.00000000e-01    2.13485500e+00   -1.32534404e-03
98      -1.35000000e+00    5.00000000e-01    2.32824194e+00   -1.32596198e-03
99      -1.40000000e+00    5.00000000e-01    2.52162820e+00   -1.32608131e-03
100     -1.45000000e+00    5.00000000e-01    2.71501378e+00   -1.32575514e-03
101     -1.50000000e+00    5.00000000e-01    2.90839870e+00   -1.32502990e-03
102     -1.55000000e+00    5.00000000e-01    3.10178297e+00   -1.32394627e-03
103     -1.60000000e+00    5.00000000e-01    3.29516659e+00   -1.32254007e-03
104     -1.65000000e+00    5.00000000e-01    3.48854957e+00   -1.32084289e-03
105     -1.70000000e+00    5.00000000e-01    3.68193193e+00   -1.31888272e-03
106     -1.75000000e+00    5.00000000e-01    3.87531367e+00   -1.31668442e-03
107     -1.80000000e+00    5.00000000e-01    4.06869479e+00   -1.31427015e-03
108     -1.85000000e+00    5.00000000e-01    4.26207531e+00   -1.31165966e-03
109     -1.90000000e+00    5.00000000e-01    4.45545524e+00   -1.30887070e-03
110     -1.95000000e+00    5.00000000e-01    4.64883458e+00   -1.30591916e-03
111     -2.00000000e+00    5.00000000e-01    4.84221333e+00   -1.30281936e-03
112     -2.05000000e+00    5.00000000e-01    5.03559220e+00   -1.29960149e-03
113     -2.10000000e+00    5.00000000e-01    5.22897131e+00   -1.29627888e-03
114     -2.15000000e+00    5.00000000e-01    5.42234997e+00   -1.29284385e-03
115     -2.20000000e+00    5.00000000e-01    5.61572815e+00   -1.28930543e-03
116     -2.25000000e+00    5.00000000e-01    5.80910587e+00   -1.28567225e-03
117     -2.30000000e+00    5.00000000e-01    6.00248313e+00   -1.28195220e-03
118     -2.35000000e+00    5.00000000e-01    6.19585993e+00   -1.27815252e-03
119     -2.40000000e+00    5.00000000e-01    6.38923629e+00   -1.27427978e-03
120     -2.45000000e+00    5.00000000e-01    6.58261219e+00   -1.27033998e-03
121     -2.50000000e+00    5.00000000e-01    6.77598766e+00   -1.26633861e-03
122     -2.55000000e+00    5.00000000e-01    6.96936269e+00   -1.26228064e-03
123     -2.60000000e+00    5.00000000e-01    7.16273729e+00   -1.25817056e-03
124     -2.65000000e+00    5.00000000e-01    7.35611147e+00   -1.25401243e-03
