Index       V(2)              V(1)             I(VDS)           N(M1:GM)     
0        0.00000000e+00   -2.00000000e-01   -8.13188345e-10    0.00000000e+00
1       -2.00000000e-02   -2.00000000e-01    2.35857800e-07    5.60274551e-06
2       -4.00000000e-02   -2.00000000e-01    3.42894312e-07    8.19599422e-06
3       -6.00000000e-02   -2.00000000e-01    3.85626845e-07    9.24328053e-06
4       -8.00000000e-02   -2.00000000e-01    4.06277195e-07    9.74377166e-06
5       -1.00000000e-01   -2.00000000e-01    4.19829606e-07    1.00670114e-05
6       -1.20000000e-01   -2.00000000e-01    4.30760724e-07    1.03250605e-05
7       -1.40000000e-01   -2.00000000e-01    4.40550949e-07    1.05549728e-05
8       -1.60000000e-01   -2.00000000e-01    4.49774075e-07    1.07710335e-05
9       -1.80000000e-01   -2.00000000e-01    4.58686356e-07    1.09795759e-05
10      -2.00000000e-01   -2.00000000e-01    4.67416155e-07    1.11837455e-05
11      -2.20000000e-01   -2.00000000e-01    4.76033946e-07    1.13852532e-05
12      -2.40000000e-01   -2.00000000e-01    4.84581387e-07    1.15850999e-05
13      -2.60000000e-01   -2.00000000e-01    4.93084613e-07    1.17839071e-05
14      -2.80000000e-01   -2.00000000e-01    5.01560841e-07    1.19820799e-05
15      -3.00000000e-01   -2.00000000e-01    5.10021874e-07    1.21798930e-05
16      -3.20000000e-01   -2.00000000e-01    5.18476075e-07    1.23775394e-05
17      -3.40000000e-01   -2.00000000e-01    5.26929528e-07    1.25751582e-05
18      -3.60000000e-01   -2.00000000e-01    5.35386764e-07    1.27728523e-05
19      -3.80000000e-01   -2.00000000e-01    5.43851214e-07    1.29706992e-05
20      -4.00000000e-01   -2.00000000e-01    5.52325517e-07    1.31687583e-05
21      -4.20000000e-01   -2.00000000e-01    5.60811727e-07    1.33670757e-05
22      -4.40000000e-01   -2.00000000e-01    5.69311459e-07    1.35656877e-05
23      -4.60000000e-01   -2.00000000e-01    5.77825991e-07    1.37646230e-05
24      -4.80000000e-01   -2.00000000e-01    5.86356338e-07    1.39639044e-05
25      -5.00000000e-01   -2.00000000e-01    5.94903312e-07    1.41635505e-05
26      -5.20000000e-01   -2.00000000e-01    6.03467562e-07    1.43635759e-05
27      -5.40000000e-01   -2.00000000e-01    6.12049605e-07    1.45639926e-05
28      -5.60000000e-01   -2.00000000e-01    6.20649854e-07    1.47648101e-05
29      -5.80000000e-01   -2.00000000e-01    6.29268636e-07    1.49660363e-05
30      -6.00000000e-01   -2.00000000e-01    6.37906210e-07    1.51676772e-05
31      -6.20000000e-01   -2.00000000e-01    6.46562778e-07    1.53697378e-05
32      -6.40000000e-01   -2.00000000e-01    6.55238494e-07    1.55722219e-05
33      -6.60000000e-01   -2.00000000e-01    6.63933477e-07    1.57751326e-05
34      -6.80000000e-01   -2.00000000e-01    6.72647818e-07    1.59784722e-05
35      -7.00000000e-01   -2.00000000e-01    6.81381582e-07    1.61822425e-05
36      -7.20000000e-01   -2.00000000e-01    6.90134818e-07    1.63864450e-05
37      -7.40000000e-01   -2.00000000e-01    6.98907563e-07    1.65910808e-05
38      -7.60000000e-01   -2.00000000e-01    7.07699847e-07    1.67961508e-05
39      -7.80000000e-01   -2.00000000e-01    7.16511697e-07    1.70016560e-05
40      -8.00000000e-01   -2.00000000e-01    7.25343137e-07    1.72075970e-05
