Index       V(2)              V(1)             I(VDS)           N(M1:GM)     
0        0.00000000e+00   -2.00000000e-01   -8.13188345e-10    0.00000000e+00
1        2.00000000e-02   -2.00000000e-01   -4.22413118e-07   -9.47197666e-06
2        4.00000000e-02   -2.00000000e-01   -1.07368044e-06   -2.32443283e-05
3        6.00000000e-02   -2.00000000e-01   -2.07521973e-06   -4.34215052e-05
4        8.00000000e-02   -2.00000000e-01   -3.67829061e-06   -7.42611097e-05
5        1.00000000e-01   -2.00000000e-01   -6.25951875e-06   -1.21508355e-04
6        1.20000000e-01   -2.00000000e-01   -1.03440865e-05   -1.91697772e-04
7        1.40000000e-01   -2.00000000e-01   -1.66183037e-05   -2.90758539e-04
8        1.60000000e-01   -2.00000000e-01   -2.58941048e-05   -4.21877743e-04
9        1.80000000e-01   -2.00000000e-01   -3.90182092e-05   -5.83660262e-04
10       2.00000000e-01   -2.00000000e-01   -5.67506902e-05   -7.69851272e-04
11       2.20000000e-01   -2.00000000e-01   -7.96591255e-05   -9.70946621e-04
12       2.40000000e-01   -2.00000000e-01   -1.08066088e-04   -1.17674468e-03
13       2.60000000e-01   -2.00000000e-01   -1.42057069e-04   -1.37850728e-03
14       2.80000000e-01   -2.00000000e-01   -1.81529086e-04   -1.57001447e-03
15       3.00000000e-01   -2.00000000e-01   -2.26252656e-04   -1.74759736e-03
16       3.20000000e-01   -2.00000000e-01   -2.75927349e-04   -1.90960876e-03
17       3.40000000e-01   -2.00000000e-01   -3.30222444e-04   -2.05575474e-03
18       3.60000000e-01   -2.00000000e-01   -3.88802368e-04   -2.18652086e-03
19       3.80000000e-01   -2.00000000e-01   -4.51340241e-04   -2.30276612e-03
20       4.00000000e-01   -2.00000000e-01   -5.17523514e-04   -2.40547176e-03
21       4.20000000e-01   -2.00000000e-01   -5.87055051e-04   -2.49560385e-03
22       4.40000000e-01   -2.00000000e-01   -6.59652177e-04   -2.57404863e-03
23       4.60000000e-01   -2.00000000e-01   -7.35045675e-04   -2.64158972e-03
24       4.80000000e-01   -2.00000000e-01   -8.12980947e-04   -2.69890681e-03
25       5.00000000e-01   -2.00000000e-01   -8.93224896e-04   -2.74658351e-03
26       5.20000000e-01   -2.00000000e-01   -9.75585723e-04   -2.78511780e-03
27       5.40000000e-01   -2.00000000e-01   -1.05996108e-03   -2.81493155e-03
28       5.60000000e-01   -2.00000000e-01   -1.14644805e-03   -2.83637744e-03
29       5.80000000e-01   -2.00000000e-01   -1.23558797e-03   -2.84974284e-03
30       6.00000000e-01   -2.00000000e-01   -1.32890439e-03   -2.85525021e-03
31       6.20000000e-01   -2.00000000e-01   -1.43007794e-03   -2.85305392e-03
32       6.40000000e-01   -2.00000000e-01   -1.54750388e-03   -2.84323315e-03
33       6.60000000e-01   -2.00000000e-01   -1.69984900e-03   -2.82578055e-03
34       6.80000000e-01   -2.00000000e-01   -1.92811282e-03   -2.80058611e-03
35       7.00000000e-01   -2.00000000e-01   -2.32178997e-03   -2.76741647e-03
36       7.20000000e-01   -2.00000000e-01   -3.07559891e-03   -2.72589178e-03
37       7.40000000e-01   -2.00000000e-01   -4.61246125e-03   -2.67546945e-03
38       7.60000000e-01   -2.00000000e-01   -7.85006860e-03   -2.61546397e-03
39       7.80000000e-01   -2.00000000e-01   -1.44559582e-02   -2.54518777e-03
40       8.00000000e-01   -2.00000000e-01   -2.22343602e-02   -2.46443031e-03
41       8.20000000e-01   -2.00000000e-01   -2.99994566e-02   -2.37467799e-03
42       8.40000000e-01   -2.00000000e-01   -3.77528040e-02   -2.28103525e-03
43       8.60000000e-01   -2.00000000e-01   -4.55008803e-02   -2.19206385e-03
44       8.80000000e-01   -2.00000000e-01   -5.32513078e-02   -2.11427231e-03
45       9.00000000e-01   -2.00000000e-01   -6.10073916e-02   -2.04809055e-03
46       9.20000000e-01   -2.00000000e-01   -6.87686465e-02   -1.99069861e-03
47       9.40000000e-01   -2.00000000e-01   -7.65335704e-02   -1.93928810e-03
48       9.60000000e-01   -2.00000000e-01   -8.43008734e-02   -1.89192048e-03
49       9.80000000e-01   -2.00000000e-01   -9.20696586e-02   -1.84737910e-03
50       1.00000000e+00   -2.00000000e-01   -9.98393344e-02   -1.80490949e-03
51       1.02000000e+00   -2.00000000e-01   -1.07609513e-01   -1.76403655e-03
52       1.04000000e+00   -2.00000000e-01   -1.15379940e-01   -1.72445411e-03
53       1.06000000e+00   -2.00000000e-01   -1.23150448e-01   -1.68596019e-03
54       1.08000000e+00   -2.00000000e-01   -1.30920927e-01   -1.64841857e-03
55       1.10000000e+00   -2.00000000e-01   -1.38691311e-01   -1.61173553e-03
56       1.12000000e+00   -2.00000000e-01   -1.46461563e-01   -1.57584540e-03
57       1.14000000e+00   -2.00000000e-01   -1.54231667e-01   -1.54070131e-03
58       1.16000000e+00   -2.00000000e-01   -1.62001629e-01   -1.50626919e-03
59       1.18000000e+00   -2.00000000e-01   -1.69771470e-01   -1.47252371e-03
60       1.20000000e+00   -2.00000000e-01   -1.77541224e-01   -1.43944562e-03
61       0.00000000e+00   -4.00000000e-01   -6.59785143e-09    0.00000000e+00
62       2.00000000e-02   -4.00000000e-01   -1.30524951e-05   -1.46113578e-04
63       4.00000000e-02   -4.00000000e-01   -3.00385451e-05   -3.15257528e-04
64       6.00000000e-02   -4.00000000e-01   -5.13876429e-05   -5.00188773e-04
65       8.00000000e-02   -4.00000000e-01   -7.74009052e-05   -6.92041261e-04
66       1.00000000e-01   -4.00000000e-01   -1.08208590e-04   -8.82755221e-04
67       1.20000000e-01   -4.00000000e-01   -1.43780474e-04   -1.06637137e-03
68       1.40000000e-01   -4.00000000e-01   -1.83966982e-04   -1.23919575e-03
69       1.60000000e-01   -4.00000000e-01   -2.28545016e-04   -1.39936351e-03
70       1.80000000e-01   -4.00000000e-01   -2.77255141e-04   -1.54625474e-03
71       2.00000000e-01   -4.00000000e-01   -3.29826807e-04   -1.67999172e-03
72       2.20000000e-01   -4.00000000e-01   -3.85993213e-04   -1.80108346e-03
73       2.40000000e-01   -4.00000000e-01   -4.45498792e-04   -1.91020414e-03
74       2.60000000e-01   -4.00000000e-01   -5.08102059e-04   -2.00806909e-03
75       2.80000000e-01   -4.00000000e-01   -5.73575812e-04   -2.09537288e-03
76       3.00000000e-01   -4.00000000e-01   -6.41705970e-04   -2.17276365e-03
77       3.20000000e-01   -4.00000000e-01   -7.12289807e-04   -2.24083632e-03
78       3.40000000e-01   -4.00000000e-01   -7.85133983e-04   -2.30013483e-03
79       3.60000000e-01   -4.00000000e-01   -8.60052561e-04   -2.35115764e-03
80       3.80000000e-01   -4.00000000e-01   -9.36865113e-04   -2.39436370e-03
81       4.00000000e-01   -4.00000000e-01   -1.01539494e-03   -2.43017762e-03
82       4.20000000e-01   -4.00000000e-01   -1.09546754e-03   -2.45899374e-03
83       4.40000000e-01   -4.00000000e-01   -1.17690949e-03   -2.48117886e-03
84       4.60000000e-01   -4.00000000e-01   -1.25954844e-03   -2.49707390e-03
85       4.80000000e-01   -4.00000000e-01   -1.34321558e-03   -2.50699473e-03
86       5.00000000e-01   -4.00000000e-01   -1.42775370e-03   -2.51123202e-03
87       5.20000000e-01   -4.00000000e-01   -1.51303789e-03   -2.51005054e-03
88       5.40000000e-01   -4.00000000e-01   -1.59902431e-03   -2.50368762e-03
89       5.60000000e-01   -4.00000000e-01   -1.68586034e-03   -2.49235092e-03
90       5.80000000e-01   -4.00000000e-01   -1.77412919e-03   -2.47621519e-03
91       6.00000000e-01   -4.00000000e-01   -1.86538729e-03   -2.45541790e-03
92       6.20000000e-01   -4.00000000e-01   -1.96333811e-03   -2.43005332e-03
93       6.40000000e-01   -4.00000000e-01   -2.07638807e-03   -2.40016451e-03
94       6.60000000e-01   -4.00000000e-01   -2.22320125e-03   -2.36573283e-03
95       6.80000000e-01   -4.00000000e-01   -2.44475761e-03   -2.32666415e-03
96       7.00000000e-01   -4.00000000e-01   -2.83051170e-03   -2.28277182e-03
97       7.20000000e-01   -4.00000000e-01   -3.57511724e-03   -2.23375780e-03
98       7.40000000e-01   -4.00000000e-01   -5.10140374e-03   -2.17919902e-03
99       7.60000000e-01   -4.00000000e-01   -8.32694706e-03   -2.11856145e-03
100      7.80000000e-01   -4.00000000e-01   -1.49191706e-02   -2.05130811e-03
101      8.00000000e-01   -4.00000000e-01   -2.26822783e-02   -1.97727093e-03
102      8.20000000e-01   -4.00000000e-01   -3.04307323e-02   -1.89760242e-03
103      8.40000000e-01   -4.00000000e-01   -3.81670181e-02   -1.81627547e-03
104      8.60000000e-01   -4.00000000e-01   -4.58991561e-02   -1.73993509e-03
105      8.80000000e-01   -4.00000000e-01   -5.36359304e-02   -1.67353097e-03
106      9.00000000e-01   -4.00000000e-01   -6.13807098e-02   -1.61716919e-03
107      9.20000000e-01   -4.00000000e-01   -6.91324962e-02   -1.56841413e-03
108      9.40000000e-01   -4.00000000e-01   -7.68892886e-02   -1.52489641e-03
109      9.60000000e-01   -4.00000000e-01   -8.46494660e-02   -1.48498286e-03
110      9.80000000e-01   -4.00000000e-01   -9.24119393e-02   -1.44764309e-03
111      1.00000000e+00   -4.00000000e-01   -1.00176016e-01   -1.41223173e-03
112      1.02000000e+00   -4.00000000e-01   -1.07941266e-01   -1.37833639e-03
113      1.04000000e+00   -4.00000000e-01   -1.15707430e-01   -1.34568598e-03
114      1.06000000e+00   -4.00000000e-01   -1.23474357e-01   -1.31318586e-03
115      1.08000000e+00   -4.00000000e-01   -1.31241971e-01   -1.28150281e-03
116      1.10000000e+00   -4.00000000e-01   -1.39010270e-01   -1.25073961e-03
117      1.12000000e+00   -4.00000000e-01   -1.46779302e-01   -1.22082469e-03
118      1.14000000e+00   -4.00000000e-01   -1.54549157e-01   -1.19170316e-03
119      1.16000000e+00   -4.00000000e-01   -1.62319960e-01   -1.16333179e-03
120      1.18000000e+00   -4.00000000e-01   -1.70091877e-01   -1.13567558e-03
121      1.20000000e+00   -4.00000000e-01   -1.77865110e-01   -1.10870547e-03
122      0.00000000e+00   -6.00000000e-01   -3.94790401e-08    0.00000000e+00
123      2.00000000e-02   -6.00000000e-01   -4.88328545e-05   -1.72662978e-04
124      4.00000000e-02   -6.00000000e-01   -1.01644159e-04   -3.33841738e-04
125      6.00000000e-02   -6.00000000e-01   -1.58111645e-04   -4.83809626e-04
126      8.00000000e-02   -6.00000000e-01   -2.17905308e-04   -6.23041841e-04
127      1.00000000e-01   -6.00000000e-01   -2.80725488e-04   -7.52103338e-04
128      1.20000000e-01   -6.00000000e-01   -3.46300372e-04   -8.71580844e-04
129      1.40000000e-01   -6.00000000e-01   -4.14383012e-04   -9.82045500e-04
130      1.60000000e-01   -6.00000000e-01   -4.84748309e-04   -1.08403484e-03
131      1.80000000e-01   -6.00000000e-01   -5.57190146e-04   -1.17804609e-03
132      2.00000000e-01   -6.00000000e-01   -6.31518805e-04   -1.26453543e-03
133      2.20000000e-01   -6.00000000e-01   -7.07558667e-04   -1.34392019e-03
134      2.40000000e-01   -6.00000000e-01   -7.85146186e-04   -1.41658201e-03
135      2.60000000e-01   -6.00000000e-01   -8.64128099e-04   -1.48287018e-03
136      2.80000000e-01   -6.00000000e-01   -9.44359823e-04   -1.54310453e-03
137      3.00000000e-01   -6.00000000e-01   -1.02570399e-03   -1.59757790e-03
138      3.20000000e-01   -6.00000000e-01   -1.10802907e-03   -1.64655801e-03
139      3.40000000e-01   -6.00000000e-01   -1.19120808e-03   -1.69028890e-03
140      3.60000000e-01   -6.00000000e-01   -1.27511726e-03   -1.72899187e-03
141      3.80000000e-01   -6.00000000e-01   -1.35963485e-03   -1.76286624e-03
142      4.00000000e-01   -6.00000000e-01   -1.44463977e-03   -1.79208971e-03
143      4.20000000e-01   -6.00000000e-01   -1.53001052e-03   -1.81681869e-03
144      4.40000000e-01   -6.00000000e-01   -1.61562443e-03   -1.83718851e-03
145      4.60000000e-01   -6.00000000e-01   -1.70135784e-03   -1.85331377e-03
146      4.80000000e-01   -6.00000000e-01   -1.78708879e-03   -1.86528872e-03
147      5.00000000e-01   -6.00000000e-01   -1.87270513e-03   -1.87318812e-03
148      5.20000000e-01   -6.00000000e-01   -1.95812539e-03   -1.87706848e-03
149      5.40000000e-01   -6.00000000e-01   -2.04334741e-03   -1.87696988e-03
150      5.60000000e-01   -6.00000000e-01   -2.12855847e-03   -1.87291857e-03
151      5.80000000e-01   -6.00000000e-01   -2.21437959e-03   -1.86493006e-03
152      6.00000000e-01   -6.00000000e-01   -2.30240245e-03   -1.85301266e-03
153      6.20000000e-01   -6.00000000e-01   -2.39636245e-03   -1.83717060e-03
154      6.40000000e-01   -6.00000000e-01   -2.50469346e-03   -1.81740569e-03
155      6.60000000e-01   -6.00000000e-01   -2.64608074e-03   -1.79371572e-03
156      6.80000000e-01   -6.00000000e-01   -2.86151667e-03   -1.76608738e-03
157      7.00000000e-01   -6.00000000e-01   -3.24045621e-03   -1.73448145e-03
158      7.20000000e-01   -6.00000000e-01   -3.97753761e-03   -1.69880935e-03
159      7.40000000e-01   -6.00000000e-01   -5.49555569e-03   -1.65890442e-03
160      7.60000000e-01   -6.00000000e-01   -8.71203356e-03   -1.61450355e-03
161      7.80000000e-01   -6.00000000e-01   -1.52943406e-02   -1.56528809e-03
162      8.00000000e-01   -6.00000000e-01   -2.30466882e-02   -1.51111277e-03
163      8.20000000e-01   -6.00000000e-01   -3.07837711e-02   -1.45267244e-03
164      8.40000000e-01   -6.00000000e-01   -3.85087970e-02   -1.39264116e-03
165      8.60000000e-01   -6.00000000e-01   -4.62309797e-02   -1.33481197e-03
166      8.80000000e-01   -6.00000000e-01   -5.39600250e-02   -1.28373679e-03
167      9.00000000e-01   -6.00000000e-01   -6.16994192e-02   -1.23988898e-03
168      9.20000000e-01   -6.00000000e-01   -6.94478503e-02   -1.20163003e-03
169      9.40000000e-01   -6.00000000e-01   -7.72030240e-02   -1.16729760e-03
170      9.60000000e-01   -6.00000000e-01   -8.49631678e-02   -1.13572545e-03
171      9.80000000e-01   -6.00000000e-01   -9.27271638e-02   -1.10616854e-03
172      1.00000000e+00   -6.00000000e-01   -1.00494379e-01   -1.07815484e-03
173      1.02000000e+00   -6.00000000e-01   -1.08264511e-01   -1.05137885e-03
174      1.04000000e+00   -6.00000000e-01   -1.16037480e-01   -1.02563680e-03
175      1.06000000e+00   -6.00000000e-01   -1.23813374e-01   -1.00078820e-03
176      1.08000000e+00   -6.00000000e-01   -1.31592410e-01   -9.76733044e-04
177      1.10000000e+00   -6.00000000e-01   -1.39374915e-01   -9.53397880e-04
178      1.12000000e+00   -6.00000000e-01   -1.47161326e-01   -9.30727129e-04
179      1.14000000e+00   -6.00000000e-01   -1.54952181e-01   -9.08677528e-04
180      1.16000000e+00   -6.00000000e-01   -1.62748127e-01   -8.87214479e-04
181      1.18000000e+00   -6.00000000e-01   -1.70549933e-01   -8.66309605e-04
182      1.20000000e+00   -6.00000000e-01   -1.78358494e-01   -8.45939081e-04
183      0.00000000e+00   -8.00000000e-01   -2.07280940e-07    0.00000000e+00
184      2.00000000e-02   -8.00000000e-01   -7.74045539e-05   -1.11548186e-04
185      4.00000000e-02   -8.00000000e-01   -1.56477685e-04   -2.14200440e-04
186      6.00000000e-02   -8.00000000e-01   -2.37219110e-04   -3.08699858e-04
187      8.00000000e-02   -8.00000000e-01   -3.19443574e-04   -3.95697691e-04
188      1.00000000e-01   -8.00000000e-01   -4.02984739e-04   -4.75769428e-04
189      1.20000000e-01   -8.00000000e-01   -4.87692400e-04   -5.49427777e-04
190      1.40000000e-01   -8.00000000e-01   -5.73430161e-04   -6.17133073e-04
191      1.60000000e-01   -8.00000000e-01   -6.60073495e-04   -6.79301621e-04
192      1.80000000e-01   -8.00000000e-01   -7.47508091e-04   -7.36312382e-04
193      2.00000000e-01   -8.00000000e-01   -8.35628430e-04   -7.88512361e-04
194      2.20000000e-01   -8.00000000e-01   -9.24336533e-04   -8.36220972e-04
195      2.40000000e-01   -8.00000000e-01   -1.01354085e-03   -8.79733606e-04
196      2.60000000e-01   -8.00000000e-01   -1.10315524e-03   -9.19324571e-04
197      2.80000000e-01   -8.00000000e-01   -1.19309801e-03   -9.55249547e-04
198      3.00000000e-01   -8.00000000e-01   -1.28329099e-03   -9.87747650e-04
199      3.20000000e-01   -8.00000000e-01   -1.37365867e-03   -1.01704319e-03
200      3.40000000e-01   -8.00000000e-01   -1.46412719e-03   -1.04334716e-03
201      3.60000000e-01   -8.00000000e-01   -1.55462350e-03   -1.06685854e-03
202      3.80000000e-01   -8.00000000e-01   -1.64507429e-03   -1.08776542e-03
203      4.00000000e-01   -8.00000000e-01   -1.73540503e-03   -1.10624586e-03
204      4.20000000e-01   -8.00000000e-01   -1.82553907e-03   -1.12246873e-03
205      4.40000000e-01   -8.00000000e-01   -1.91539704e-03   -1.13659417e-03
206      4.60000000e-01   -8.00000000e-01   -2.00489725e-03   -1.14877393e-03
207      4.80000000e-01   -8.00000000e-01   -2.09395849e-03   -1.15915133e-03
208      5.00000000e-01   -8.00000000e-01   -2.18250824e-03   -1.16786077e-03
209      5.20000000e-01   -8.00000000e-01   -2.27050361e-03   -1.17502655e-03
210      5.40000000e-01   -8.00000000e-01   -2.35797997e-03   -1.18076085e-03
211      5.60000000e-01   -8.00000000e-01   -2.44516105e-03   -1.18516021e-03
212      5.80000000e-01   -8.00000000e-01   -2.53270320e-03   -1.18830012e-03
213      6.00000000e-01   -8.00000000e-01   -2.62223219e-03   -1.19022660e-03
214      6.20000000e-01   -8.00000000e-01   -2.71751621e-03   -1.19094381e-03
215      6.40000000e-01   -8.00000000e-01   -2.82702055e-03   -1.19039618e-03
216      6.60000000e-01   -8.00000000e-01   -2.96945383e-03   -1.18762810e-03
217      6.80000000e-01   -8.00000000e-01   -3.18582520e-03   -1.18307951e-03
218      7.00000000e-01   -8.00000000e-01   -3.56561982e-03   -1.17652155e-03
219      7.20000000e-01   -8.00000000e-01   -4.30350953e-03   -1.16737578e-03
220      7.40000000e-01   -8.00000000e-01   -5.82232978e-03   -1.15490081e-03
221      7.60000000e-01   -8.00000000e-01   -9.03965778e-03   -1.13826944e-03
222      7.80000000e-01   -8.00000000e-01   -1.56229435e-02   -1.11673222e-03
223      8.00000000e-01   -8.00000000e-01   -2.33765402e-02   -1.08986248e-03
224      8.20000000e-01   -8.00000000e-01   -3.11154459e-02   -1.05793502e-03
225      8.40000000e-01   -8.00000000e-01   -3.88435202e-02   -1.02256413e-03
226      8.60000000e-01   -8.00000000e-01   -4.65710278e-02   -9.86920029e-04
227      8.80000000e-01   -8.00000000e-01   -5.43086511e-02   -9.53979509e-04
228      9.00000000e-01   -8.00000000e-01   -6.20603359e-02   -9.24655186e-04
229      9.20000000e-01   -8.00000000e-01   -6.98249480e-02   -8.98403637e-04
230      9.40000000e-01   -8.00000000e-01   -7.76004047e-02   -8.74423630e-04
231      9.60000000e-01   -8.00000000e-01   -8.53852833e-02   -8.52096213e-04
232      9.80000000e-01   -8.00000000e-01   -9.31789578e-02   -8.31008184e-04
233      1.00000000e+00   -8.00000000e-01   -1.00981421e-01   -8.10891208e-04
234      1.02000000e+00   -8.00000000e-01   -1.08793125e-01   -7.91568971e-04
235      1.04000000e+00   -8.00000000e-01   -1.16614883e-01   -7.72922645e-04
236      1.06000000e+00   -8.00000000e-01   -1.24447820e-01   -7.54869743e-04
237      1.08000000e+00   -8.00000000e-01   -1.32293353e-01   -7.37351240e-04
238      1.10000000e+00   -8.00000000e-01   -1.40153197e-01   -7.20323627e-04
239      1.12000000e+00   -8.00000000e-01   -1.48029375e-01   -7.03753901e-04
240      1.14000000e+00   -8.00000000e-01   -1.55924254e-01   -6.87616343e-04
241      1.16000000e+00   -8.00000000e-01   -1.63840572e-01   -6.71890390e-04
242      1.18000000e+00   -8.00000000e-01   -1.71781489e-01   -6.56559219e-04
243      1.20000000e+00   -8.00000000e-01   -1.79750636e-01   -6.41608770e-04
244      0.00000000e+00   -1.00000000e+00   -1.00991803e-06    0.00000000e+00
245      2.00000000e-02   -1.00000000e+00   -9.56081518e-05   -6.40871830e-05
246      4.00000000e-02   -1.00000000e+00   -1.90707545e-04   -1.22884437e-04
247      6.00000000e-02   -1.00000000e+00   -2.86216660e-04   -1.76800295e-04
248      8.00000000e-02   -1.00000000e+00   -3.82054156e-04   -2.26202284e-04
249      1.00000000e-01   -1.00000000e+00   -4.78147606e-04   -2.71422923e-04
250      1.20000000e-01   -1.00000000e+00   -5.74432508e-04   -3.12764638e-04
251      1.40000000e-01   -1.00000000e+00   -6.70851444e-04   -3.50503812e-04
252      1.60000000e-01   -1.00000000e+00   -7.67353381e-04   -3.84894182e-04
253      1.80000000e-01   -1.00000000e+00   -8.63893069e-04   -4.16169691e-04
254      2.00000000e-01   -1.00000000e+00   -9.60430542e-04   -4.44546924e-04
255      2.20000000e-01   -1.00000000e+00   -1.05693069e-03   -4.70227210e-04
256      2.40000000e-01   -1.00000000e+00   -1.15336291e-03   -4.93398454e-04
257      2.60000000e-01   -1.00000000e+00   -1.24970078e-03   -5.14236768e-04
258      2.80000000e-01   -1.00000000e+00   -1.34592182e-03   -5.32907923e-04
259      3.00000000e-01   -1.00000000e+00   -1.44200728e-03   -5.49568693e-04
260      3.20000000e-01   -1.00000000e+00   -1.53794191e-03   -5.64368091e-04
261      3.40000000e-01   -1.00000000e+00   -1.63371384e-03   -5.77448554e-04
262      3.60000000e-01   -1.00000000e+00   -1.72931440e-03   -5.88947084e-04
263      3.80000000e-01   -1.00000000e+00   -1.82473803e-03   -5.98996393e-04
264      4.00000000e-01   -1.00000000e+00   -1.91998221e-03   -6.07726059e-04
265      4.20000000e-01   -1.00000000e+00   -2.01504765e-03   -6.15263737e-04
266      4.40000000e-01   -1.00000000e+00   -2.10993887e-03   -6.21736447e-04
