Index       FREQ        {SQRT(ABS(ONOISE))} {SQRT(ABS(INOISE))}
0        1.00000000e+02    9.60027623e-09    1.57561021e-06
1        1.25892541e+02    9.60027623e-09    1.57561021e-06
2        1.58489319e+02    9.60027623e-09    1.57561021e-06
3        1.99526231e+02    9.60027623e-09    1.57561021e-06
4        2.51188643e+02    9.60027623e-09    1.57561021e-06
5        3.16227766e+02    9.60027622e-09    1.57561021e-06
6        3.98107171e+02    9.60027622e-09    1.57561021e-06
7        5.01187234e+02    9.60027622e-09    1.57561021e-06
8        6.30957344e+02    9.60027622e-09    1.57561021e-06
9        7.94328235e+02    9.60027622e-09    1.57561021e-06
10       1.00000000e+03    9.60027622e-09    1.57561021e-06
11       1.25892541e+03    9.60027622e-09    1.57561021e-06
12       1.58489319e+03    9.60027622e-09    1.57561021e-06
13       1.99526231e+03    9.60027622e-09    1.57561021e-06
14       2.51188643e+03    9.60027622e-09    1.57561021e-06
15       3.16227766e+03    9.60027621e-09    1.57561021e-06
16       3.98107171e+03    9.60027621e-09    1.57561022e-06
17       5.01187234e+03    9.60027620e-09    1.57561022e-06
18       6.30957344e+03    9.60027618e-09    1.57561022e-06
19       7.94328235e+03    9.60027616e-09    1.57561022e-06
20       1.00000000e+04    9.60027612e-09    1.57561022e-06
21       1.25892541e+04    9.60027605e-09    1.57561023e-06
22       1.58489319e+04    9.60027595e-09    1.57561024e-06
23       1.99526231e+04    9.60027579e-09    1.57561025e-06
24       2.51188643e+04    9.60027554e-09    1.57561028e-06
25       3.16227766e+04    9.60027514e-09    1.57561031e-06
26       3.98107171e+04    9.60027450e-09    1.57561037e-06
27       5.01187234e+04    9.60027350e-09    1.57561046e-06
28       6.30957344e+04    9.60027190e-09    1.57561061e-06
29       7.94328235e+04    9.60026937e-09    1.57561083e-06
30       1.00000000e+05    9.60026537e-09    1.57561120e-06
31       1.25892541e+05    9.60025902e-09    1.57561177e-06
32       1.58489319e+05    9.60024895e-09    1.57561268e-06
33       1.99526231e+05    9.60023300e-09    1.57561413e-06
34       2.51188643e+05    9.60020772e-09    1.57561642e-06
35       3.16227766e+05    9.60016766e-09    1.57562005e-06
36       3.98107171e+05    9.60010416e-09    1.57562580e-06
37       5.01187234e+05    9.60000352e-09    1.57563492e-06
38       6.30957344e+05    9.59984404e-09    1.57564937e-06
39       7.94328235e+05    9.59959131e-09    1.57567226e-06
40       1.00000000e+06    9.59919082e-09    1.57570856e-06
41       1.25892541e+06    9.59855628e-09    1.57576607e-06
42       1.58489319e+06    9.59755104e-09    1.57585723e-06
43       1.99526231e+06    9.59595899e-09    1.57600168e-06
44       2.51188643e+06    9.59343861e-09    1.57623060e-06
45       3.16227766e+06    9.58945121e-09    1.57659334e-06
46       3.98107171e+06    9.58314949e-09    1.57716804e-06
47       5.01187234e+06    9.57320658e-09    1.57807839e-06
48       6.30957344e+06    9.55755925e-09    1.57951999e-06
49       7.94328235e+06    9.53303502e-09    1.58180172e-06
50       1.00000000e+07    9.49484235e-09    1.58541041e-06
51       1.25892541e+07    9.43594892e-09    1.59111083e-06
52       1.58489319e+07    9.34650230e-09    1.60009827e-06
53       1.99526231e+07    9.21372104e-09    1.61422618e-06
54       2.51188643e+07    9.02310729e-09    1.63633362e-06
55       3.16227766e+07    8.76212209e-09    1.67068919e-06
56       3.98107171e+07    8.42676704e-09    1.72353532e-06
57       5.01187234e+07    8.02886562e-09    1.80364219e-06
58       6.30957344e+07    7.59844432e-09    1.92266373e-06
59       7.94328235e+07    7.17636325e-09    2.09498160e-06
60       1.00000000e+08    6.79985919e-09    2.33673538e-06
61       1.25892541e+08    6.49052688e-09    2.66390086e-06
62       1.58489319e+08    6.25157768e-09    3.08940572e-06
63       1.99526231e+08    6.07283584e-09    3.61918445e-06
64       2.51188643e+08    5.93767824e-09    4.24715361e-06
65       3.16227766e+08    5.82785503e-09    4.95019131e-06
66       3.98107171e+08    5.72537471e-09    5.68643556e-06
67       5.01187234e+08    5.61240518e-09    6.40133484e-06
68       6.30957344e+08    5.47052775e-09    7.04216909e-06
69       7.94328235e+08    5.28066643e-09    7.57404667e-06
70       1.00000000e+09    5.02500031e-09    7.98741097e-06
End of Xyce(TM) Simulation
