Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)         N(M1:VDS)         N(M1:VBS)         N(M1:VGS)        N(M1:VDSAT)   
0       -1.00000000e-01    0.00000000e+00   -2.24360205e-07   -6.04596075e-06   -6.04596000e-06    0.00000000e+00    1.60647594e-01   -2.00000000e-01   -9.99999998e-02   -9.99999998e-02    1.83765614e-01
1       -9.90000000e-02    0.00000000e+00   -2.17453032e-07   -5.88145679e-06   -5.88145617e-06    0.00000000e+00    1.60754552e-01   -1.98000000e-01   -9.89999998e-02   -9.89999998e-02    1.83642059e-01
2       -9.80000000e-02    0.00000000e+00   -2.10737263e-07   -5.72047675e-06   -5.72047592e-06    0.00000000e+00    1.60861459e-01   -1.96000000e-01   -9.79999998e-02   -9.79999998e-02    1.83521159e-01
3       -9.70000000e-02    0.00000000e+00   -2.04208747e-07   -5.56298754e-06   -5.56298696e-06    0.00000000e+00    1.60968317e-01   -1.94000000e-01   -9.69999998e-02   -9.69999998e-02    1.83402876e-01
4       -9.60000000e-02    0.00000000e+00   -1.97863362e-07   -5.40895595e-06   -5.40895534e-06    0.00000000e+00    1.61075126e-01   -1.92000000e-01   -9.59999998e-02   -9.59999998e-02    1.83287172e-01
5       -9.50000000e-02    0.00000000e+00   -1.91697016e-07   -5.25834616e-06   -5.25834561e-06    0.00000000e+00    1.61181886e-01   -1.90000000e-01   -9.49999998e-02   -9.49999998e-02    1.83174008e-01
6       -9.40000000e-02    0.00000000e+00   -1.85705653e-07   -5.11112141e-06   -5.11112076e-06    0.00000000e+00    1.61288600e-01   -1.88000000e-01   -9.39999998e-02   -9.39999998e-02    1.83063345e-01
7       -9.30000000e-02    0.00000000e+00   -1.79885248e-07   -4.96724299e-06   -4.96724234e-06    0.00000000e+00    1.61395267e-01   -1.86000000e-01   -9.29999998e-02   -9.29999998e-02    1.82955144e-01
8       -9.20000000e-02    0.00000000e+00   -1.74231815e-07   -4.82667110e-06   -4.82667049e-06    0.00000000e+00    1.61501889e-01   -1.84000000e-01   -9.19999998e-02   -9.19999998e-02    1.82849365e-01
9       -9.10000000e-02    0.00000000e+00   -1.68741405e-07   -4.68936447e-06   -4.68936401e-06    0.00000000e+00    1.61608466e-01   -1.82000000e-01   -9.09999998e-02   -9.09999998e-02    1.82745970e-01
10      -9.00000000e-02    0.00000000e+00   -1.63410108e-07   -4.55528100e-06   -4.55528039e-06    0.00000000e+00    1.61715000e-01   -1.80000000e-01   -8.99999998e-02   -8.99999998e-02    1.82644917e-01
11      -8.90000000e-02    0.00000000e+00   -1.58234054e-07   -4.42437647e-06   -4.42437592e-06    0.00000000e+00    1.61821491e-01   -1.78000000e-01   -8.89999998e-02   -8.89999998e-02    1.82546167e-01
12      -8.80000000e-02    0.00000000e+00   -1.53209417e-07   -4.29660632e-06   -4.29660573e-06    0.00000000e+00    1.61927941e-01   -1.76000000e-01   -8.79999998e-02   -8.79999998e-02    1.82449681e-01
13      -8.70000000e-02    0.00000000e+00   -1.48332415e-07   -4.17192446e-06   -4.17192388e-06    0.00000000e+00    1.62034349e-01   -1.74000000e-01   -8.69999999e-02   -8.69999999e-02    1.82355418e-01
14      -8.60000000e-02    0.00000000e+00   -1.43599313e-07   -4.05028400e-06   -4.05028343e-06    0.00000000e+00    1.62140719e-01   -1.72000000e-01   -8.59999999e-02   -8.59999999e-02    1.82263339e-01
15      -8.50000000e-02    0.00000000e+00   -1.39006422e-07   -3.93163698e-06   -3.93163652e-06    0.00000000e+00    1.62247049e-01   -1.70000000e-01   -8.49999999e-02   -8.49999999e-02    1.82173404e-01
16      -8.40000000e-02    0.00000000e+00   -1.34550104e-07   -3.81593504e-06   -3.81593447e-06    0.00000000e+00    1.62353343e-01   -1.68000000e-01   -8.39999999e-02   -8.39999999e-02    1.82085573e-01
17      -8.30000000e-02    0.00000000e+00   -1.30226773e-07   -3.70312830e-06   -3.70312785e-06    0.00000000e+00    1.62459600e-01   -1.66000000e-01   -8.29999999e-02   -8.29999999e-02    1.81999806e-01
18      -8.20000000e-02    0.00000000e+00   -1.26032894e-07   -3.59316701e-06   -3.59316654e-06    0.00000000e+00    1.62565822e-01   -1.64000000e-01   -8.19999999e-02   -8.19999999e-02    1.81916065e-01
19      -8.10000000e-02    0.00000000e+00   -1.21964987e-07   -3.48600036e-06   -3.48599990e-06    0.00000000e+00    1.62672010e-01   -1.62000000e-01   -8.09999999e-02   -8.09999999e-02    1.81834310e-01
20      -8.00000000e-02    0.00000000e+00   -1.18019631e-07   -3.38157712e-06   -3.38157675e-06    0.00000000e+00    1.62778166e-01   -1.60000000e-01   -7.99999999e-02   -7.99999999e-02    1.81754502e-01
21      -7.90000000e-02    0.00000000e+00   -1.14193460e-07   -3.27984600e-06   -3.27984558e-06    0.00000000e+00    1.62884290e-01   -1.58000000e-01   -7.89999999e-02   -7.89999999e-02    1.81676603e-01
22      -7.80000000e-02    0.00000000e+00   -1.10483168e-07   -3.18075497e-06   -3.18075451e-06    0.00000000e+00    1.62990384e-01   -1.56000000e-01   -7.79999999e-02   -7.79999999e-02    1.81600573e-01
23      -7.70000000e-02    0.00000000e+00   -1.06885511e-07   -3.08425185e-06   -3.08425151e-06    0.00000000e+00    1.63096449e-01   -1.54000000e-01   -7.69999999e-02   -7.69999999e-02    1.81526375e-01
24      -7.60000000e-02    0.00000000e+00   -1.03397306e-07   -2.99028468e-06   -2.99028436e-06    0.00000000e+00    1.63202487e-01   -1.52000000e-01   -7.59999999e-02   -7.59999999e-02    1.81453970e-01
25      -7.50000000e-02    0.00000000e+00   -1.00015432e-07   -2.89880124e-06   -2.89880083e-06    0.00000000e+00    1.63308499e-01   -1.50000000e-01   -7.49999999e-02   -7.49999999e-02    1.81383323e-01
26      -7.40000000e-02    0.00000000e+00   -9.67368344e-08   -2.80974909e-06   -2.80974871e-06    0.00000000e+00    1.63414486e-01   -1.48000000e-01   -7.39999999e-02   -7.39999999e-02    1.81314395e-01
27      -7.30000000e-02    0.00000000e+00   -9.35585207e-08   -2.72307619e-06   -2.72307589e-06    0.00000000e+00    1.63520451e-01   -1.46000000e-01   -7.29999999e-02   -7.29999999e-02    1.81247149e-01
28      -7.20000000e-02    0.00000000e+00   -9.04775651e-08   -2.63873079e-06   -2.63873045e-06    0.00000000e+00    1.63626394e-01   -1.44000000e-01   -7.19999999e-02   -7.19999999e-02    1.81181550e-01
29      -7.10000000e-02    0.00000000e+00   -8.74911073e-08   -2.55666104e-06   -2.55666071e-06    0.00000000e+00    1.63732318e-01   -1.42000000e-01   -7.09999999e-02   -7.09999999e-02    1.81117562e-01
30      -7.00000000e-02    0.00000000e+00   -8.45963529e-08   -2.47681563e-06   -2.47681531e-06    0.00000000e+00    1.63838223e-01   -1.40000000e-01   -6.99999999e-02   -6.99999999e-02    1.81055150e-01
31      -6.90000000e-02    0.00000000e+00   -8.17905731e-08   -2.39914358e-06   -2.39914325e-06    0.00000000e+00    1.63944112e-01   -1.38000000e-01   -6.89999999e-02   -6.89999999e-02    1.80994279e-01
32      -6.80000000e-02    0.00000000e+00   -7.90711053e-08   -2.32359419e-06   -2.32359397e-06    0.00000000e+00    1.64049986e-01   -1.36000000e-01   -6.79999999e-02   -6.79999999e-02    1.80934914e-01
33      -6.70000000e-02    0.00000000e+00   -7.64353521e-08   -2.25011764e-06   -2.25011735e-06    0.00000000e+00    1.64155847e-01   -1.34000000e-01   -6.69999999e-02   -6.69999999e-02    1.80877021e-01
34      -6.60000000e-02    0.00000000e+00   -7.38807811e-08   -2.17866406e-06   -2.17866380e-06    0.00000000e+00    1.64261698e-01   -1.32000000e-01   -6.59999999e-02   -6.59999999e-02    1.80820569e-01
35      -6.50000000e-02    0.00000000e+00   -7.14049243e-08   -2.10918457e-06   -2.10918429e-06    0.00000000e+00    1.64367539e-01   -1.30000000e-01   -6.49999999e-02   -6.49999999e-02    1.80765523e-01
36      -6.40000000e-02    0.00000000e+00   -6.90053772e-08   -2.04163062e-06   -2.04163035e-06    0.00000000e+00    1.64473373e-01   -1.28000000e-01   -6.39999999e-02   -6.39999999e-02    1.80711852e-01
37      -6.30000000e-02    0.00000000e+00   -6.66797978e-08   -1.97595443e-06   -1.97595414e-06    0.00000000e+00    1.64579202e-01   -1.26000000e-01   -6.29999999e-02   -6.29999999e-02    1.80659525e-01
38      -6.20000000e-02    0.00000000e+00   -6.44259059e-08   -1.91210869e-06   -1.91210846e-06    0.00000000e+00    1.64685028e-01   -1.24000000e-01   -6.19999999e-02   -6.19999999e-02    1.80608510e-01
39      -6.10000000e-02    0.00000000e+00   -6.22414816e-08   -1.85004697e-06   -1.85004675e-06    0.00000000e+00    1.64790854e-01   -1.22000000e-01   -6.09999999e-02   -6.09999999e-02    1.80558778e-01
40      -6.00000000e-02    0.00000000e+00   -6.01243644e-08   -1.78972340e-06   -1.78972313e-06    0.00000000e+00    1.64896681e-01   -1.20000000e-01   -5.99999999e-02   -5.99999999e-02    1.80510298e-01
41      -5.90000000e-02    0.00000000e+00   -5.80724516e-08   -1.73109267e-06   -1.73109242e-06    0.00000000e+00    1.65002512e-01   -1.18000000e-01   -5.89999999e-02   -5.89999999e-02    1.80463042e-01
42      -5.80000000e-02    0.00000000e+00   -5.60836973e-08   -1.67411030e-06   -1.67411010e-06    0.00000000e+00    1.65108349e-01   -1.16000000e-01   -5.79999999e-02   -5.79999999e-02    1.80416980e-01
43      -5.70000000e-02    0.00000000e+00   -5.41561107e-08   -1.61873262e-06   -1.61873240e-06    0.00000000e+00    1.65214194e-01   -1.14000000e-01   -5.69999999e-02   -5.69999999e-02    1.80372087e-01
44      -5.60000000e-02    0.00000000e+00   -5.22877549e-08   -1.56491640e-06   -1.56491620e-06    0.00000000e+00    1.65320051e-01   -1.12000000e-01   -5.59999999e-02   -5.59999999e-02    1.80328333e-01
45      -5.50000000e-02    0.00000000e+00   -5.04767455e-08   -1.51261937e-06   -1.51261914e-06    0.00000000e+00    1.65425922e-01   -1.10000000e-01   -5.49999999e-02   -5.49999999e-02    1.80285694e-01
46      -5.40000000e-02    0.00000000e+00   -4.87212490e-08   -1.46179978e-06   -1.46179955e-06    0.00000000e+00    1.65531809e-01   -1.08000000e-01   -5.40000000e-02   -5.40000000e-02    1.80244142e-01
47      -5.30000000e-02    0.00000000e+00   -4.70194814e-08   -1.41241665e-06   -1.41241644e-06    0.00000000e+00    1.65637716e-01   -1.06000000e-01   -5.30000000e-02   -5.30000000e-02    1.80203653e-01
