Index       V(D)              V(G)            {-I(VD)}     
0        0.00000000e+00    4.00000000e-01   -0.00000000e+00
1        1.00000000e-02    4.00000000e-01    1.33281162e-06
2        2.00000000e-02    4.00000000e-01    2.60585163e-06
3        3.00000000e-02    4.00000000e-01    3.81884773e-06
4        4.00000000e-02    4.00000000e-01    4.97161235e-06
5        5.00000000e-02    4.00000000e-01    6.06404556e-06
6        6.00000000e-02    4.00000000e-01    7.09614298e-06
7        7.00000000e-02    4.00000000e-01    8.06799979e-06
8        8.00000000e-02    4.00000000e-01    8.97981281e-06
9        9.00000000e-02    4.00000000e-01    9.83188253e-06
10       1.00000000e-01    4.00000000e-01    1.06246166e-05
11       1.10000000e-01    4.00000000e-01    1.13585366e-05
12       1.20000000e-01    4.00000000e-01    1.20342897e-05
13       1.30000000e-01    4.00000000e-01    1.26526676e-05
14       1.40000000e-01    4.00000000e-01    1.32146338e-05
15       1.50000000e-01    4.00000000e-01    1.37213612e-05
16       1.60000000e-01    4.00000000e-01    1.41742798e-05
17       1.70000000e-01    4.00000000e-01    1.45751328e-05
18       1.80000000e-01    4.00000000e-01    1.49260383e-05
19       1.90000000e-01    4.00000000e-01    1.52295454e-05
20       2.00000000e-01    4.00000000e-01    1.54886759e-05
21       2.10000000e-01    4.00000000e-01    1.57069337e-05
22       2.20000000e-01    4.00000000e-01    1.58882700e-05
23       2.30000000e-01    4.00000000e-01    1.60369949e-05
24       2.40000000e-01    4.00000000e-01    1.61576362e-05
25       2.50000000e-01    4.00000000e-01    1.62547544e-05
26       2.60000000e-01    4.00000000e-01    1.63327396e-05
27       2.70000000e-01    4.00000000e-01    1.63956260e-05
28       2.80000000e-01    4.00000000e-01    1.64469552e-05
29       2.90000000e-01    4.00000000e-01    1.64897052e-05
30       3.00000000e-01    4.00000000e-01    1.65262821e-05
31       3.10000000e-01    4.00000000e-01    1.65585609e-05
32       3.20000000e-01    4.00000000e-01    1.65879544e-05
33       3.30000000e-01    4.00000000e-01    1.66154955e-05
34       3.40000000e-01    4.00000000e-01    1.66419164e-05
35       3.50000000e-01    4.00000000e-01    1.66677214e-05
36       3.60000000e-01    4.00000000e-01    1.66932460e-05
37       3.70000000e-01    4.00000000e-01    1.67187052e-05
38       3.80000000e-01    4.00000000e-01    1.67442299e-05
39       3.90000000e-01    4.00000000e-01    1.67698938e-05
40       4.00000000e-01    4.00000000e-01    1.67957327e-05
41       4.10000000e-01    4.00000000e-01    1.68217588e-05
42       4.20000000e-01    4.00000000e-01    1.68479693e-05
43       4.30000000e-01    4.00000000e-01    1.68743534e-05
44       4.40000000e-01    4.00000000e-01    1.69008958e-05
45       4.50000000e-01    4.00000000e-01    1.69275796e-05
46       4.60000000e-01    4.00000000e-01    1.69543878e-05
47       4.70000000e-01    4.00000000e-01    1.69813042e-05
48       4.80000000e-01    4.00000000e-01    1.70083141e-05
49       4.90000000e-01    4.00000000e-01    1.70354040e-05
50       5.00000000e-01    4.00000000e-01    1.70625621e-05
51       5.10000000e-01    4.00000000e-01    1.70897781e-05
52       5.20000000e-01    4.00000000e-01    1.71170430e-05
53       5.30000000e-01    4.00000000e-01    1.71443490e-05
54       5.40000000e-01    4.00000000e-01    1.71716894e-05
55       5.50000000e-01    4.00000000e-01    1.71990586e-05
56       5.60000000e-01    4.00000000e-01    1.72264515e-05
57       5.70000000e-01    4.00000000e-01    1.72538642e-05
58       5.80000000e-01    4.00000000e-01    1.72812929e-05
59       5.90000000e-01    4.00000000e-01    1.73087348e-05
60       6.00000000e-01    4.00000000e-01    1.73361871e-05
61       6.10000000e-01    4.00000000e-01    1.73636477e-05
62       6.20000000e-01    4.00000000e-01    1.73911147e-05
63       6.30000000e-01    4.00000000e-01    1.74185865e-05
64       6.40000000e-01    4.00000000e-01    1.74460619e-05
65       6.50000000e-01    4.00000000e-01    1.74735395e-05
66       6.60000000e-01    4.00000000e-01    1.75010185e-05
67       6.70000000e-01    4.00000000e-01    1.75284979e-05
68       6.80000000e-01    4.00000000e-01    1.75559772e-05
69       6.90000000e-01    4.00000000e-01    1.75834557e-05
70       7.00000000e-01    4.00000000e-01    1.76109328e-05
71       7.10000000e-01    4.00000000e-01    1.76384083e-05
72       7.20000000e-01    4.00000000e-01    1.76658816e-05
73       7.30000000e-01    4.00000000e-01    1.76933526e-05
74       7.40000000e-01    4.00000000e-01    1.77208209e-05
75       7.50000000e-01    4.00000000e-01    1.77482863e-05
76       7.60000000e-01    4.00000000e-01    1.77757487e-05
77       7.70000000e-01    4.00000000e-01    1.78032079e-05
78       7.80000000e-01    4.00000000e-01    1.78306639e-05
79       7.90000000e-01    4.00000000e-01    1.78581164e-05
80       8.00000000e-01    4.00000000e-01    1.78855655e-05
81       8.10000000e-01    4.00000000e-01    1.79130111e-05
