Index       V(G)              V(B)              I(VD)      
0       -1.30000000e+00    0.00000000e+00    6.74045257e-06
1       -1.29000000e+00    0.00000000e+00    6.71570607e-06
2       -1.28000000e+00    0.00000000e+00    6.69057624e-06
3       -1.27000000e+00    0.00000000e+00    6.66505736e-06
4       -1.26000000e+00    0.00000000e+00    6.63914362e-06
5       -1.25000000e+00    0.00000000e+00    6.61282914e-06
6       -1.24000000e+00    0.00000000e+00    6.58610793e-06
7       -1.23000000e+00    0.00000000e+00    6.55897395e-06
8       -1.22000000e+00    0.00000000e+00    6.53142104e-06
9       -1.21000000e+00    0.00000000e+00    6.50344297e-06
10      -1.20000000e+00    0.00000000e+00    6.47503344e-06
11      -1.19000000e+00    0.00000000e+00    6.44618603e-06
12      -1.18000000e+00    0.00000000e+00    6.41689426e-06
13      -1.17000000e+00    0.00000000e+00    6.38715154e-06
14      -1.16000000e+00    0.00000000e+00    6.35695123e-06
15      -1.15000000e+00    0.00000000e+00    6.32628655e-06
16      -1.14000000e+00    0.00000000e+00    6.29515069e-06
17      -1.13000000e+00    0.00000000e+00    6.26353670e-06
18      -1.12000000e+00    0.00000000e+00    6.23143757e-06
19      -1.11000000e+00    0.00000000e+00    6.19884621e-06
20      -1.10000000e+00    0.00000000e+00    6.16575543e-06
21      -1.09000000e+00    0.00000000e+00    6.13215795e-06
22      -1.08000000e+00    0.00000000e+00    6.09804641e-06
23      -1.07000000e+00    0.00000000e+00    6.06341337e-06
24      -1.06000000e+00    0.00000000e+00    6.02825131e-06
25      -1.05000000e+00    0.00000000e+00    5.99255262e-06
26      -1.04000000e+00    0.00000000e+00    5.95630960e-06
27      -1.03000000e+00    0.00000000e+00    5.91951449e-06
28      -1.02000000e+00    0.00000000e+00    5.88215943e-06
29      -1.01000000e+00    0.00000000e+00    5.84423651e-06
30      -1.00000000e+00    0.00000000e+00    5.80573772e-06
31      -9.90000000e-01    0.00000000e+00    5.76665500e-06
32      -9.80000000e-01    0.00000000e+00    5.72698021e-06
33      -9.70000000e-01    0.00000000e+00    5.68670515e-06
