Index       TIME              V(VI)             V(1)              V(2)              V(3)              V(4)              V(VO)      
0        0.00000000e+00    5.00000000e-01    1.73061377e-01    9.89799497e-01    8.45991428e-03    9.99837222e-01    7.91548026e-03
1        1.00000000e-08    5.31395260e-01    1.67898889e-01    9.89073980e-01    8.35369900e-03    9.99819863e-01    7.91207898e-03
2        1.66118375e-08    5.52092921e-01    1.58807020e-01    9.87828092e-01    8.18081340e-03    9.99792452e-01    7.90735626e-03
3        2.25624912e-08    5.70644974e-01    1.47834293e-01    9.86736910e-01    8.14444422e-03    9.99797623e-01    7.91709906e-03
4        2.85131449e-08    5.89098280e-01    1.35855005e-01    9.85881457e-01    8.21286551e-03    9.99823142e-01    7.92922648e-03
5        3.44637986e-08    6.07427047e-01    1.23335690e-01    9.85423017e-01    8.37810700e-03    9.99861031e-01    7.93462081e-03
6        4.63651061e-08    6.43608694e-01    9.98504425e-02    9.85792949e-01    8.77055804e-03    9.99920905e-01    7.92604718e-03
7        5.82664135e-08    6.78987688e-01    8.04989667e-02    9.87364745e-01    9.02529081e-03    9.99930991e-01    7.90999657e-03
8        7.01677209e-08    7.13366291e-01    6.55623031e-02    9.89449810e-01    9.06806391e-03    9.99899365e-01    7.90061720e-03
9        9.39703358e-08    7.78360398e-01    4.52060834e-02    9.93271594e-01    8.81338537e-03    9.99819666e-01    7.90421258e-03
10       1.15392689e-07    8.31580314e-01    3.36489689e-02    9.95701138e-01    8.49431938e-03    9.99780117e-01    7.91416912e-03
11       1.36815043e-07    8.78801947e-01    2.57308478e-02    9.97218906e-01    8.25293833e-03    9.99777001e-01    7.92029516e-03
12       1.58237396e-07    9.19171056e-01    2.00581272e-02    9.98116752e-01    8.11173585e-03    9.99792495e-01    7.92125147e-03
13       1.79659749e-07    9.51957365e-01    1.58826963e-02    9.98649769e-01    8.03745863e-03    9.99810152e-01    7.91962767e-03
14       2.01082103e-07    9.76567770e-01    1.27605191e-02    9.98981609e-01    7.99814014e-03    9.99823049e-01    7.91778125e-03
15       2.43926809e-07    9.99636017e-01    8.66231868e-03    9.99399426e-01    7.95759622e-03    9.99835505e-01    7.91583877e-03
16       2.86771516e-07    9.86714128e-01    6.69882178e-03    9.99653577e-01    7.93781087e-03    9.99838771e-01    7.91530379e-03
17       3.29616223e-07    9.38732902e-01    7.02242138e-03    9.99895740e-01    7.92855482e-03    9.99839245e-01    7.91530178e-03
18       3.88804717e-07    8.21596328e-01    1.43058264e-02    1.00049178e+00    7.91785962e-03    9.99838837e-01    7.91534421e-03
19       4.42074362e-07    6.77987647e-01    3.61304073e-02    1.00176615e+00    7.90287443e-03    9.99838067e-01    7.91538335e-03
20       4.74700855e-07    5.79145315e-01    6.52733080e-02    1.00345466e+00    7.90291926e-03    9.99838963e-01    7.91550320e-03
21       5.04064699e-07    4.87231761e-01    1.16005790e-01    1.00620425e+00    7.90611824e-03    9.99839635e-01    7.91542240e-03
22       5.18995945e-07    4.40464069e-01    1.60332291e-01    1.00852223e+00    7.94576645e-03    9.99845712e-01    7.91639734e-03
23       5.30598122e-07    4.04464236e-01    2.13146768e-01    1.01067137e+00    7.93473408e-03    9.99841002e-01    7.91375809e-03
24       5.42200299e-07    3.68971876e-01    2.92452465e-01    1.00962303e+00    7.26341233e-03    9.99720326e-01    7.88451870e-03
25       5.52039362e-07    3.39411083e-01    3.76920687e-01    9.97279303e-01    4.86325693e-03    9.99319212e-01    7.80627301e-03
26       5.60799157e-07    3.13605733e-01    4.59580819e-01    9.68374350e-01    7.31358691e-04    9.98711589e-01    7.74997894e-03
27       5.68370027e-07    2.91754796e-01    5.29783144e-01    9.23264356e-01   -4.27745695e-03    9.98078381e-01    7.74761721e-03
28       5.75183810e-07    2.72490385e-01    5.89077995e-01    8.61975419e-01   -9.50869372e-03    9.97535131e-01    7.79678074e-03
29       5.81997593e-07    2.53642910e-01    6.45412932e-01    7.73225799e-01   -1.56289614e-02    9.96962663e-01    7.82021648e-03
30       5.86470518e-07    2.41513784e-01    6.83864642e-01    6.91417546e-01   -2.15240593e-02    9.96259250e-01    7.66498639e-03
31       5.90496151e-07    2.30771850e-01    7.19325943e-01    5.97483919e-01   -2.73908576e-02    9.95647791e-01    7.67646039e-03
32       5.94521783e-07    2.20202153e-01    7.49454435e-01    4.93181162e-01   -2.77983350e-02    9.96459488e-01    8.57469835e-03
33       5.97729142e-07    2.11908710e-01    7.66643522e-01    4.12019146e-01   -1.94994536e-02    9.99005985e-01    9.99431450e-03
34       6.00506117e-07    2.04822515e-01    7.77581547e-01    3.47884135e-01   -3.79393530e-03    1.00283457e+00    1.14379972e-02
35       6.03283091e-07    1.97826182e-01    7.86891786e-01    2.91189470e-01    2.15221330e-02    1.00830762e+00    1.29127886e-02
36       6.06060066e-07    1.90921841e-01    7.95595148e-01    2.40928193e-01    5.94497074e-02    1.01595878e+00    1.46877171e-02
37       6.08837040e-07    1.84111594e-01    8.03289885e-01    1.92129242e-01    1.15354293e-01    1.02709009e+00    1.74134913e-02
38       6.11336317e-07    1.78064536e-01    8.10037045e-01    1.51335167e-01    1.74859519e-01    1.03867380e+00    1.89056668e-02
39       6.13585667e-07    1.72690017e-01    8.17179601e-01    1.21754500e-01    2.29012279e-01    1.04824574e+00    1.81558756e-02
40       6.15610081e-07    1.67908818e-01    8.24746131e-01    1.01829908e-01    2.77094880e-01    1.05509000e+00    1.59692569e-02
41       6.17634495e-07    1.63181347e-01    8.33286608e-01    8.79032827e-02    3.23787041e-01    1.05929320e+00    1.25691909e-02
42       6.19658910e-07    1.58508371e-01    8.42422993e-01    7.86070056e-02    3.68564498e-01    1.06021949e+00    8.32388290e-03
43       6.21683324e-07    1.53890644e-01    8.51741898e-01    7.24053296e-02    4.11069273e-01    1.05749854e+00    3.59515739e-03
44       6.23707739e-07    1.49328915e-01    8.60925466e-01    6.80762799e-02    4.51060517e-01    1.05096086e+00   -1.33200706e-03
45       6.25732153e-07    1.44823921e-01    8.69768890e-01    6.47827020e-02    4.88401262e-01    1.04059430e+00   -6.24699957e-03
46       6.27756567e-07    1.40376391e-01    8.78157532e-01    6.19985124e-02    5.23036731e-01    1.02649896e+00   -1.10024710e-02
47       6.31805396e-07    1.31656592e-01    8.93433955e-01    5.69399332e-02    5.84582870e-01    9.87800611e-01   -1.97796170e-02
48       6.35854225e-07    1.23175161e-01    9.06765335e-01    5.20531026e-02    6.37019675e-01    9.35579557e-01   -2.78164098e-02
49       6.39903054e-07    1.14937587e-01    9.18343594e-01    4.72768739e-02    6.81899055e-01    8.68959311e-01   -3.58114546e-02
50       6.43951883e-07    1.06949201e-01    9.28518395e-01    4.32924244e-02    7.23072514e-01    7.83113207e-01   -4.62490870e-02
51       6.47595829e-07    9.99769839e-02    9.36750913e-01    4.10310556e-02    7.60908221e-01    6.81252158e-01   -6.10817893e-02
52       6.50788299e-07    9.40408116e-02    9.43022975e-01    3.87173537e-02    7.90594185e-01    5.79537167e-01   -6.79350961e-02
53       6.53368245e-07    8.93628113e-02    9.47309231e-01    3.56959259e-02    8.08501212e-01    4.98495436e-01   -6.02668618e-02
