Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)       N(M1:VDSSAT)   
0       -1.00000000e-01    0.00000000e+00    5.44320704e-08    1.76436128e-06    1.76435923e-06    0.00000000e+00    2.91413623e-01    7.50471194e-02
1       -9.90000000e-02    0.00000000e+00    5.24787410e-08    1.70182400e-06    1.70182433e-06    0.00000000e+00    2.91426937e-01    7.50397715e-02
2       -9.80000000e-02    0.00000000e+00    5.05939049e-08    1.64144198e-06    1.64144386e-06    0.00000000e+00    2.91440224e-01    7.50326735e-02
3       -9.70000000e-02    0.00000000e+00    4.87752195e-08    1.58314323e-06    1.58314613e-06    0.00000000e+00    2.91453482e-01    7.50258169e-02
4       -9.60000000e-02    0.00000000e+00    4.70204191e-08    1.52686597e-06    1.52686168e-06    0.00000000e+00    2.91466712e-01    7.50191941e-02
5       -9.50000000e-02    0.00000000e+00    4.53273127e-08    1.47252530e-06    1.47252326e-06    0.00000000e+00    2.91479912e-01    7.50127971e-02
6       -9.40000000e-02    0.00000000e+00    4.36937818e-08    1.42006658e-06    1.42006573e-06    0.00000000e+00    2.91493082e-01    7.50066186e-02
7       -9.30000000e-02    0.00000000e+00    4.21177780e-08    1.36942949e-06    1.36942599e-06    0.00000000e+00    2.91506222e-01    7.50006513e-02
8       -9.20000000e-02    0.00000000e+00    4.05973207e-08    1.32054016e-06    1.32054296e-06    0.00000000e+00    2.91519330e-01    7.49948883e-02
9       -9.10000000e-02    0.00000000e+00    3.91304950e-08    1.27335580e-06    1.27335752e-06    0.00000000e+00    2.91532405e-01    7.49893228e-02
10      -9.00000000e-02    0.00000000e+00    3.77154500e-08    1.22781121e-06    1.22781242e-06    0.00000000e+00    2.91545447e-01    7.49839481e-02
11      -8.90000000e-02    0.00000000e+00    3.63503960e-08    1.18385297e-06    1.18385223e-06    0.00000000e+00    2.91558455e-01    7.49787581e-02
12      -8.80000000e-02    0.00000000e+00    3.50336033e-08    1.14142453e-06    1.14142333e-06    0.00000000e+00    2.91571428e-01    7.49737464e-02
13      -8.70000000e-02    0.00000000e+00    3.37633999e-08    1.10047060e-06    1.10047378e-06    0.00000000e+00    2.91584365e-01    7.49689071e-02
14      -8.60000000e-02    0.00000000e+00    3.25381696e-08    1.06095181e-06    1.06095337e-06    0.00000000e+00    2.91597265e-01    7.49642346e-02
15      -8.50000000e-02    0.00000000e+00    3.13563504e-08    1.02281354e-06    1.02281346e-06    0.00000000e+00    2.91610127e-01    7.49597231e-02
16      -8.40000000e-02    0.00000000e+00    3.02164327e-08    9.86006612e-07    9.86007021e-07    0.00000000e+00    2.91622950e-01    7.49553673e-02
17      -8.30000000e-02    0.00000000e+00    2.91169575e-08    9.50490844e-07    9.50488534e-07    0.00000000e+00    2.91635734e-01    7.49511620e-02
18      -8.20000000e-02    0.00000000e+00    2.80565150e-08    9.16214217e-07    9.16213963e-07    0.00000000e+00    2.91648477e-01    7.49471020e-02
19      -8.10000000e-02    0.00000000e+00    2.70337426e-08    8.83138796e-07    8.83140707e-07    0.00000000e+00    2.91661177e-01    7.49431826e-02
20      -8.00000000e-02    0.00000000e+00    2.60473236e-08    8.51232083e-07    8.51227556e-07    0.00000000e+00    2.91673834e-01    7.49393989e-02
21      -7.90000000e-02    0.00000000e+00    2.50959859e-08    8.20434214e-07    8.20434646e-07    0.00000000e+00    2.91686447e-01    7.49357465e-02
22      -7.80000000e-02    0.00000000e+00    2.41785001e-08    7.90721784e-07    7.90723419e-07    0.00000000e+00    2.91699015e-01    7.49322207e-02
23      -7.70000000e-02    0.00000000e+00    2.32936784e-08    7.62054354e-07    7.62056582e-07    0.00000000e+00    2.91711535e-01    7.49288174e-02
24      -7.60000000e-02    0.00000000e+00    2.24403730e-08    7.34398554e-07    7.34398065e-07    0.00000000e+00    2.91724008e-01    7.49255324e-02
25      -7.50000000e-02    0.00000000e+00    2.16174752e-08    7.07710986e-07    7.07712986e-07    0.00000000e+00    2.91736431e-01    7.49223617e-02
26      -7.40000000e-02    0.00000000e+00    2.08239136e-08    6.81972383e-07    6.81967609e-07    0.00000000e+00    2.91748803e-01    7.49193014e-02
27      -7.30000000e-02    0.00000000e+00    2.00586529e-08    6.57129481e-07    6.57129312e-07    0.00000000e+00    2.91761122e-01    7.49163478e-02
28      -7.20000000e-02    0.00000000e+00    1.93206931e-08    6.33173602e-07    6.33166550e-07    0.00000000e+00    2.91773388e-01    7.49134971e-02
29      -7.10000000e-02    0.00000000e+00    1.86090681e-08    6.10046806e-07    6.10048815e-07    0.00000000e+00    2.91785599e-01    7.49107460e-02
30      -7.00000000e-02    0.00000000e+00    1.79228443e-08    5.87747488e-07    5.87746612e-07    0.00000000e+00    2.91797753e-01    7.49080909e-02
31      -6.90000000e-02    0.00000000e+00    1.72611199e-08    5.66233383e-07    5.66231417e-07    0.00000000e+00    2.91809848e-01    7.49055287e-02
32      -6.80000000e-02    0.00000000e+00    1.66230236e-08    5.45472615e-07    5.45475652e-07    0.00000000e+00    2.91821883e-01    7.49030562e-02
33      -6.70000000e-02    0.00000000e+00    1.60077135e-08    5.25455468e-07    5.25452651e-07    0.00000000e+00    2.91833856e-01    7.49006702e-02
34      -6.60000000e-02    0.00000000e+00    1.54143764e-08    5.06135119e-07    5.06136629e-07    0.00000000e+00    2.91845765e-01    7.48983678e-02
