Index        FREQ    VM(VOUT)      VP(VOUT)
0   1.0000e+03      1.4022    3.14159265350000000000
1   1.2589e+03      1.4022    3.14159265350000000000
2   1.5848e+03      1.4022    3.14159265350000000000
3   1.9952e+03      1.4022    3.14159265350000000000
4   2.5118e+03      1.4022    3.14159265350000000000
5   3.1622e+03      1.4022    3.14159265350000000000
6   3.9810e+03      1.4022    3.14159265350000000000
7   5.0118e+03      1.4022    3.14159265350000000000
8   6.3095e+03      1.4022    3.14159265350000000000
9   7.9432e+03      1.4022    3.14159090817074805555
10  1.0000e+04      1.4022    3.14159090817074805555
11  1.2589e+04      1.4022    3.14159090817074805555
12  1.5848e+04      1.4022    3.14159090817074805555
13  1.9952e+04      1.4022    3.14159090817074805555
14  2.5118e+04      1.4022    3.14158916284149611111
15  3.1622e+04      1.4022    3.14158916284149611111
16  3.9810e+04      1.4022    3.14158741751224416666
17  5.0118e+04      1.4022    3.14158741751224416666
18  6.3095e+04      1.4022    3.14158567218299222222
19  7.9432e+04      1.4022    3.14158218152448833333
20  1.0000e+05      1.4022    3.14158043619523638888
21  1.2589e+05      1.4022    3.14157694553673250000
22  1.5848e+05      1.4022    3.14157345487822861111
23  1.9952e+05      1.4022    3.14156821889047277777
24  2.5118e+05      1.4022    3.14156298290271694444
25  3.1622e+05      1.4022    3.14155425625645722222
26  3.9810e+05      1.4022    3.14154378428094555555
27  5.0118e+05      1.4022    3.14153156697618194444
28  6.3095e+05      1.4022    3.14151585901291444444
29  7.9432e+05      1.4022    3.14149666039114305555
30  1.0000e+06      1.4022    3.14147222578161583333
31  1.2589e+06      1.4022    3.14144080985508083333
32  1.5848e+06      1.4022    3.14140066728228611111
33  1.9952e+06      1.4022    3.14135005273397972222
34  2.5118e+06      1.4022    3.14128722088090972222
35  3.1622e+06      1.4022    3.14120868106457222222
36  3.9810e+06      1.4022    3.14110919729721138888
37  5.0118e+06      1.4022    3.14098527892032333333
38  6.3095e+06      1.4022    3.14082819928764833333
39  7.9432e+06      1.4022    3.14062923175292666666
40  1.0000e+07      1.4022    3.14037964966989861111
41  1.2589e+07      1.4022    3.14006549040454861111
42  1.5848e+07      1.4022    3.13967104599360916666
43  1.9952e+07      1.4022    3.13917188182755305555
44  2.5118e+07      1.4022    3.13854530862610500000
45  3.1622e+07      1.4022    3.13775816513347805555
46  3.9810e+07      1.4022    3.13676507278912166666
47  5.0118e+07      1.4022    3.13551367171547750000
48  6.3095e+07      1.4022    3.13394113005947555555
49  7.9432e+07      1.4022    3.13195843602926666666
50  1.0000e+08      1.4021    3.12946436052823805555
51  1.2589e+08      1.4021    3.12632451320399000000
52  1.5848e+08      1.4020    3.12237308777758777777
53  1.9952e+08      1.4018    3.11739889940954611111
54  2.5118e+08      1.4016    3.11113665805356944444
55  3.1622e+08      1.4012    3.10325824181029222222
56  3.9810e+08      1.4007    3.09334477165924777777
57  5.0118e+08      1.3997    3.08087963014186055555
58  6.3095e+08      1.3982    3.06521355477640722222
59  7.9432e+08      1.3959    3.04554194877774138888
60  1.0000e+09      1.3923    3.02088044644776638888
61  1.2589e+09      1.3865    2.99004047856590805555
62  1.5848e+09      1.3776    2.95161705508435111111
63  1.9952e+09      1.3637    2.90402716237158194444
64  2.5118e+09      1.3426    2.84560924697974944444
65  3.1622e+09      1.3110    2.77485534443517361111
66  3.9810e+09      1.2653    2.69082472227105638888
67  5.0118e+09      1.2017    2.59371634802211944444
68  6.3095e+09      1.1179    2.48546928248727305555
69  7.9432e+09      1.0150    2.37001575247114805555
70  1.0000e+10      0.8977    2.25278722260579555555
71  1.2589e+10      0.7740    2.13949091954507388888
72  1.5848e+10      0.6527    2.03470833257533722222
73  1.9952e+10      0.5405    1.94107141820851777777
74  2.5118e+10      0.4417    1.85922245760933111111
75  3.1622e+10      0.3576    1.78831845674908805555
76  3.9810e+10      0.2876     1.72663153966836361111
77  5.0118e+10      0.2304     1.67201669671651805555
78  6.3095e+10      0.1842     1.62218405591500027777
79  7.9432e+10      0.1470     1.57483327330974750000
80  1.0000e+11      0.1174     1.52767971290996444444
81  1.2589e+11    9.378e-02    1.47843873872485583333
82  1.5848e+11    7.509e-02    1.42481175212961083333
83  1.9952e+11    6.036e-02    1.36450189982867055555
84  2.5118e+11    4.880e-02    1.29532577492785250000
85  3.1622e+11    3.980e-02    1.21545601770037083333
86  3.9810e+11    3.288e-02    1.12385241191206666666
87  5.0118e+11    2.763e-02    1.02086227808407694444
88  6.3095e+11    2.372e-02    .90875279891467750000
89  7.9432e+11    2.089e-02    .79181050304664388888
90  1.0000e+12    1.888e-02    .67563615204946583333
End of Xyce(TM) Simulation
