Index     V(DRAIN)           V(GATE)        {-I(VDRAIN)}   
0        -0.10000    0.00000000e+00    -4.499e-10 
1      -9.9000e-02   0.00000000e+00    -4.342e-10 
2      -9.8000e-02   0.00000000e+00    -4.190e-10 
3      -9.7000e-02   0.00000000e+00    -4.043e-10 
4      -9.6000e-02   0.00000000e+00    -3.901e-10 
5      -9.5000e-02   0.00000000e+00    -3.764e-10 
6      -9.4000e-02   0.00000000e+00    -3.632e-10 
7      -9.3000e-02   0.00000000e+00    -3.505e-10 
8      -9.2000e-02   0.00000000e+00    -3.382e-10 
9      -9.1000e-02   0.00000000e+00    -3.263e-10 
10     -9.0000e-02   0.00000000e+00    -3.149e-10 
11     -8.9000e-02   0.00000000e+00    -3.038e-10 
12     -8.8000e-02   0.00000000e+00    -2.931e-10 
13     -8.7000e-02   0.00000000e+00    -2.828e-10 
14     -8.6000e-02   0.00000000e+00    -2.729e-10 
15     -8.5000e-02   0.00000000e+00    -2.633e-10 
16     -8.4000e-02   0.00000000e+00    -2.540e-10 
17     -8.3000e-02   0.00000000e+00    -2.451e-10 
18     -8.2000e-02   0.00000000e+00    -2.365e-10 
19     -8.1000e-02   0.00000000e+00    -2.281e-10 
20     -8.0000e-02   0.00000000e+00    -2.201e-10 
21     -7.9000e-02   0.00000000e+00    -2.124e-10 
22     -7.8000e-02   0.00000000e+00    -2.049e-10 
23     -7.7000e-02   0.00000000e+00    -1.976e-10 
24     -7.6000e-02   0.00000000e+00    -1.907e-10 
25     -7.5000e-02   0.00000000e+00    -1.840e-10 
26     -7.4000e-02   0.00000000e+00    -1.775e-10 
27     -7.3000e-02   0.00000000e+00    -1.712e-10 
28     -7.2000e-02   0.00000000e+00    -1.651e-10 
29     -7.1000e-02   0.00000000e+00    -1.593e-10 
30     -7.0000e-02   0.00000000e+00    -1.537e-10 
31     -6.9000e-02   0.00000000e+00    -1.483e-10 
32     -6.8000e-02   0.00000000e+00    -1.430e-10 
33     -6.7000e-02   0.00000000e+00    -1.380e-10 
34     -6.6000e-02   0.00000000e+00    -1.331e-10 
35     -6.5000e-02   0.00000000e+00    -1.284e-10 
36     -6.4000e-02   0.00000000e+00    -1.238e-10 
37     -6.3000e-02   0.00000000e+00    -1.194e-10 
38     -6.2000e-02   0.00000000e+00    -1.152e-10 
39     -6.1000e-02   0.00000000e+00    -1.111e-10 
40     -6.0000e-02   0.00000000e+00    -1.071e-10 
41     -5.9000e-02   0.00000000e+00    -1.033e-10 
42     -5.8000e-02   0.00000000e+00    -9.967e-11 
43     -5.7000e-02   0.00000000e+00    -9.613e-11 
44     -5.6000e-02   0.00000000e+00    -9.270e-11 
45     -5.5000e-02   0.00000000e+00    -8.939e-11 
46     -5.4000e-02   0.00000000e+00    -8.621e-11 
47     -5.3000e-02   0.00000000e+00    -8.313e-11 
48     -5.2000e-02   0.00000000e+00    -8.017e-11 
49     -5.1000e-02   0.00000000e+00    -7.730e-11 
50     -5.0000e-02   0.00000000e+00    -7.454e-11 
51     -4.9000e-02   0.00000000e+00    -7.189e-11 
52     -4.8000e-02   0.00000000e+00    -6.931e-11 
53     -4.7000e-02   0.00000000e+00    -6.683e-11 
54     -4.6000e-02   0.00000000e+00    -6.445e-11 
55     -4.5000e-02   0.00000000e+00    -6.215e-11 
56     -4.4000e-02   0.00000000e+00    -5.996e-11 
57     -4.3000e-02   0.00000000e+00    -5.784e-11 
58     -4.2000e-02   0.00000000e+00    -5.581e-11 
59     -4.1000e-02   0.00000000e+00    -5.388e-11 
60     -4.0000e-02   0.00000000e+00    -5.207e-11 
61     -3.9000e-02   0.00000000e+00    -5.043e-11 
62     -3.8000e-02   0.00000000e+00    -4.920e-11 
63     -3.7000e-02   0.00000000e+00    -4.744e-11 
64     -3.6000e-02   0.00000000e+00    -4.477e-11 
65     -3.5000e-02   0.00000000e+00    -4.265e-11 
66     -3.4000e-02   0.00000000e+00    -4.073e-11 
67     -3.3000e-02   0.00000000e+00    -3.892e-11 
68     -3.2000e-02   0.00000000e+00    -3.720e-11 
69     -3.1000e-02   0.00000000e+00    -3.556e-11 
70     -3.0000e-02   0.00000000e+00    -3.399e-11 
71     -2.9000e-02   0.00000000e+00    -3.246e-11 
72     -2.8000e-02   0.00000000e+00    -3.099e-11 
73     -2.7000e-02   0.00000000e+00    -2.958e-11 
74     -2.6000e-02   0.00000000e+00    -2.820e-11 
75     -2.5000e-02   0.00000000e+00    -2.687e-11 
76     -2.4000e-02   0.00000000e+00    -2.557e-11 
77     -2.3000e-02   0.00000000e+00    -2.431e-11 
78     -2.2000e-02   0.00000000e+00    -2.307e-11 
79     -2.1000e-02   0.00000000e+00    -2.187e-11 
80     -2.0000e-02   0.00000000e+00    -2.069e-11 
81     -1.9000e-02   0.00000000e+00    -1.954e-11 
82     -1.8000e-02   0.00000000e+00    -1.841e-11 
83     -1.7000e-02   0.00000000e+00    -1.730e-11 
84     -1.6000e-02   0.00000000e+00    -1.621e-11 
85     -1.5000e-02   0.00000000e+00    -1.513e-11 
86     -1.4000e-02   0.00000000e+00    -1.407e-11 
87     -1.3000e-02   0.00000000e+00    -1.302e-11 
88     -1.2000e-02   0.00000000e+00    -1.199e-11 
89     -1.1000e-02   0.00000000e+00    -1.096e-11 
90     -1.0000e-02   0.00000000e+00    -9.942e-12 
91     -9.0000e-03   0.00000000e+00    -8.928e-12 
92     -8.0000e-03   0.00000000e+00    -7.924e-12 
93     -7.0000e-03   0.00000000e+00    -6.922e-12 
94     -6.0000e-03   0.00000000e+00    -5.926e-12 
95     -5.0000e-03   0.00000000e+00    -4.933e-12 
96     -4.0000e-03   0.00000000e+00    -3.943e-12 
97     -3.0000e-03   0.00000000e+00    -2.955e-12 
98     -2.0000e-03   0.00000000e+00    -1.968e-12 
99     -1.0000e-03   0.00000000e+00    -9.835e-13 
100       0.         0.00000000e+00     3.276e-28 
101     1.0000e-03   0.00000000e+00     9.838e-13 
102     2.0000e-03   0.00000000e+00     1.968e-12 
103     3.0000e-03   0.00000000e+00     2.955e-12 
104     4.0000e-03   0.00000000e+00     3.942e-12 
105     5.0000e-03   0.00000000e+00     4.933e-12 
106     6.0000e-03   0.00000000e+00     5.926e-12 
107     7.0000e-03   0.00000000e+00     6.922e-12 
108     8.0000e-03   0.00000000e+00     7.924e-12 
109     9.0000e-03   0.00000000e+00     8.928e-12 
110     1.0000e-02   0.00000000e+00     9.940e-12 
111     1.1000e-02   0.00000000e+00     1.096e-11 
112     1.2000e-02   0.00000000e+00     1.199e-11 
113     1.3000e-02   0.00000000e+00     1.302e-11 
114     1.4000e-02   0.00000000e+00     1.407e-11 
115     1.5000e-02   0.00000000e+00     1.513e-11 
116     1.6000e-02   0.00000000e+00     1.621e-11 
117     1.7000e-02   0.00000000e+00     1.730e-11 
118     1.8000e-02   0.00000000e+00     1.841e-11 
119     1.9000e-02   0.00000000e+00     1.954e-11 
120     2.0000e-02   0.00000000e+00     2.069e-11 
121     2.1000e-02   0.00000000e+00     2.187e-11 
122     2.2000e-02   0.00000000e+00     2.307e-11 
123     2.3000e-02   0.00000000e+00     2.431e-11 
124     2.4000e-02   0.00000000e+00     2.557e-11 
125     2.5000e-02   0.00000000e+00     2.687e-11 
126     2.6000e-02   0.00000000e+00     2.820e-11 
127     2.7000e-02   0.00000000e+00     2.958e-11 
128     2.8000e-02   0.00000000e+00     3.100e-11 
129     2.9000e-02   0.00000000e+00     3.247e-11 
130     3.0000e-02   0.00000000e+00     3.399e-11 
131     3.1000e-02   0.00000000e+00     3.556e-11 
132     3.2000e-02   0.00000000e+00     3.720e-11 
133     3.3000e-02   0.00000000e+00     3.892e-11 
134     3.4000e-02   0.00000000e+00     4.073e-11 
135     3.5000e-02   0.00000000e+00     4.265e-11 
136     3.6000e-02   0.00000000e+00     4.478e-11 
137     3.7000e-02   0.00000000e+00     4.744e-11 
138     3.8000e-02   0.00000000e+00     4.920e-11 
139     3.9000e-02   0.00000000e+00     5.043e-11 
140     4.0000e-02   0.00000000e+00     5.207e-11 
141     4.1000e-02   0.00000000e+00     5.387e-11 
142     4.2000e-02   0.00000000e+00     5.581e-11 
143     4.3000e-02   0.00000000e+00     5.784e-11 
144     4.4000e-02   0.00000000e+00     5.996e-11 
145     4.5000e-02   0.00000000e+00     6.215e-11 
146     4.6000e-02   0.00000000e+00     6.445e-11 
147     4.7000e-02   0.00000000e+00     6.684e-11 
148     4.8000e-02   0.00000000e+00     6.932e-11 
149     4.9000e-02   0.00000000e+00     7.188e-11 
150     5.0000e-02   0.00000000e+00     7.454e-11 
151     5.1000e-02   0.00000000e+00     7.731e-11 
152     5.2000e-02   0.00000000e+00     8.017e-11 
153     5.3000e-02   0.00000000e+00     8.313e-11 
154     5.4000e-02   0.00000000e+00     8.621e-11 
155     5.5000e-02   0.00000000e+00     8.940e-11 
156     5.6000e-02   0.00000000e+00     9.270e-11 
157     5.7000e-02   0.00000000e+00     9.612e-11 
158     5.8000e-02   0.00000000e+00     9.967e-11 
159     5.9000e-02   0.00000000e+00     1.033e-10 
160     6.0000e-02   0.00000000e+00     1.071e-10 
161     6.1000e-02   0.00000000e+00     1.111e-10 
162     6.2000e-02   0.00000000e+00     1.152e-10 
163     6.3000e-02   0.00000000e+00     1.194e-10 
164     6.4000e-02   0.00000000e+00     1.238e-10 
165     6.5000e-02   0.00000000e+00     1.284e-10 
166     6.6000e-02   0.00000000e+00     1.331e-10 
167     6.7000e-02   0.00000000e+00     1.380e-10 
168     6.8000e-02   0.00000000e+00     1.430e-10 
169     6.9000e-02   0.00000000e+00     1.483e-10 
170     7.0000e-02   0.00000000e+00     1.537e-10 
171     7.1000e-02   0.00000000e+00     1.593e-10 
172     7.2000e-02   0.00000000e+00     1.652e-10 
173     7.3000e-02   0.00000000e+00     1.712e-10 
174     7.4000e-02   0.00000000e+00     1.775e-10 
175     7.5000e-02   0.00000000e+00     1.840e-10 
176     7.6000e-02   0.00000000e+00     1.907e-10 
177     7.7000e-02   0.00000000e+00     1.977e-10 
178     7.8000e-02   0.00000000e+00     2.049e-10 
179     7.9000e-02   0.00000000e+00     2.124e-10 
180     8.0000e-02   0.00000000e+00     2.201e-10 
181     8.1000e-02   0.00000000e+00     2.281e-10 
182     8.2000e-02   0.00000000e+00     2.365e-10 
183     8.3000e-02   0.00000000e+00     2.451e-10 
184     8.4000e-02   0.00000000e+00     2.540e-10 
185     8.5000e-02   0.00000000e+00     2.633e-10 
186     8.6000e-02   0.00000000e+00     2.729e-10 
187     8.7000e-02   0.00000000e+00     2.828e-10 
188     8.8000e-02   0.00000000e+00     2.931e-10 
189     8.9000e-02   0.00000000e+00     3.038e-10 
190     9.0000e-02   0.00000000e+00     3.149e-10 
191     9.1000e-02   0.00000000e+00     3.263e-10 
192     9.2000e-02   0.00000000e+00     3.382e-10 
193     9.3000e-02   0.00000000e+00     3.505e-10 
194     9.4000e-02   0.00000000e+00     3.632e-10 
195     9.5000e-02   0.00000000e+00     3.764e-10 
196     9.6000e-02   0.00000000e+00     3.901e-10 
197     9.7000e-02   0.00000000e+00     4.043e-10 
198     9.8000e-02   0.00000000e+00     4.190e-10 
199     9.9000e-02   0.00000000e+00     4.342e-10 
200       0.10000    0.00000000e+00     4.499e-10 
201      -0.10000   -2.00000000e-01    -3.130e-07 
202    -9.9000e-02  -2.00000000e-01    -3.030e-07 
203    -9.8000e-02  -2.00000000e-01    -2.933e-07 
204    -9.7000e-02  -2.00000000e-01    -2.838e-07 
