Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)         N(M1:VDS)         N(M1:VBS)         N(M1:VGS)        N(M1:VDSAT)   
0       -1.00000000e-01    0.00000000e+00    5.36069186e-08    1.73546488e-06    1.73546421e-06   -6.70144757e-13    3.03400357e-01    2.00000000e-01   -1.00000000e-01    1.00000000e-01    7.44970814e-02
1       -9.90000000e-02    0.00000000e+00    5.16855310e-08    1.67409911e-06    1.67409901e-06   -9.81730113e-14    3.03413671e-01    1.98000000e-01   -9.90000000e-02    9.90000000e-02    7.44897880e-02
2       -9.80000000e-02    0.00000000e+00    4.98313651e-08    1.61483827e-06    1.61483831e-06    4.36588346e-14    3.03426957e-01    1.96000000e-01   -9.80000000e-02    9.80000000e-02    7.44827424e-02
3       -9.70000000e-02    0.00000000e+00    4.80421319e-08    1.55761324e-06    1.55761271e-06   -5.37845980e-13    3.03440216e-01    1.94000000e-01   -9.70000000e-02    9.70000000e-02    7.44759364e-02
4       -9.60000000e-02    0.00000000e+00    4.63156172e-08    1.50235530e-06    1.50235495e-06   -3.48281937e-13    3.03453445e-01    1.92000000e-01   -9.60000000e-02    9.60000000e-02    7.44693622e-02
5       -9.50000000e-02    0.00000000e+00    4.46496790e-08    1.44900041e-06    1.44899987e-06   -5.38271108e-13    3.03466646e-01    1.90000000e-01   -9.50000000e-02    9.50000000e-02    7.44630122e-02
6       -9.40000000e-02    0.00000000e+00    4.30422456e-08    1.39748467e-06    1.39748429e-06   -3.75073301e-13    3.03479816e-01    1.88000000e-01   -9.40000000e-02    9.40000000e-02    7.44568789e-02
7       -9.30000000e-02    0.00000000e+00    4.14913132e-08    1.34774724e-06    1.34774703e-06   -2.10747003e-13    3.03492956e-01    1.86000000e-01   -9.30000000e-02    9.30000000e-02    7.44509552e-02
8       -9.20000000e-02    0.00000000e+00    3.99949438e-08    1.29972878e-06    1.29972878e-06    9.51879109e-16    3.03506063e-01    1.84000000e-01   -9.20000000e-02    9.20000000e-02    7.44452342e-02
9       -9.10000000e-02    0.00000000e+00    3.85512636e-08    1.25337209e-06    1.25337212e-06    3.60567651e-14    3.03519139e-01    1.82000000e-01   -9.10000000e-02    9.10000000e-02    7.44397091e-02
10      -9.00000000e-02    0.00000000e+00    3.71584601e-08    1.20862151e-06    1.20862142e-06   -8.71818143e-14    3.03532181e-01    1.80000000e-01   -9.00000000e-02    9.00000000e-02    7.44343735e-02
11      -8.90000000e-02    0.00000000e+00    3.58147813e-08    1.16542330e-06    1.16542281e-06   -4.96109801e-13    3.03545189e-01    1.78000000e-01   -8.90000000e-02    8.90000000e-02    7.44292209e-02
12      -8.80000000e-02    0.00000000e+00    3.45185329e-08    1.12372426e-06    1.12372410e-06   -1.56357887e-13    3.03558161e-01    1.76000000e-01   -8.80000000e-02    8.80000000e-02    7.44242455e-02
13      -8.70000000e-02    0.00000000e+00    3.32680768e-08    1.08347508e-06    1.08347478e-06   -2.97590914e-13    3.03571098e-01    1.74000000e-01   -8.70000000e-02    8.70000000e-02    7.44194411e-02
14      -8.60000000e-02    0.00000000e+00    3.20618294e-08    1.04462641e-06    1.04462594e-06   -4.69672055e-13    3.03583999e-01    1.72000000e-01   -8.60000000e-02    8.60000000e-02    7.44148022e-02
15      -8.50000000e-02    0.00000000e+00    3.08982598e-08    1.00713016e-06    1.00713022e-06    5.73175621e-14    3.03596861e-01    1.70000000e-01   -8.50000000e-02    8.50000000e-02    7.44103232e-02
16      -8.40000000e-02    0.00000000e+00    2.97758881e-08    9.70941912e-07    9.70941790e-07   -1.22329533e-13    3.03609684e-01    1.68000000e-01   -8.40000000e-02    8.40000000e-02    7.44059986e-02
17      -8.30000000e-02    0.00000000e+00    2.86932839e-08    9.36016220e-07    9.36016273e-07    5.24985296e-14    3.03622468e-01    1.66000000e-01   -8.30000000e-02    8.30000000e-02    7.44018234e-02
18      -8.20000000e-02    0.00000000e+00    2.76490643e-08    9.02310982e-07    9.02310726e-07   -2.55409553e-13    3.03635210e-01    1.64000000e-01   -8.20000000e-02    8.20000000e-02    7.43977925e-02
19      -8.10000000e-02    0.00000000e+00    2.66418931e-08    8.69783651e-07    8.69783589e-07   -6.18308762e-14    3.03647911e-01    1.62000000e-01   -8.10000000e-02    8.10000000e-02    7.43939011e-02
20      -8.00000000e-02    0.00000000e+00    2.56704784e-08    8.38394793e-07    8.38394641e-07   -1.51288544e-13    3.03660568e-01    1.60000000e-01   -8.00000000e-02    8.00000000e-02    7.43901444e-02
21      -7.90000000e-02    0.00000000e+00    2.47335720e-08    8.08105167e-07    8.08104964e-07   -2.02635578e-13    3.03673181e-01    1.58000000e-01   -7.90000000e-02    7.90000000e-02    7.43865180e-02
22      -7.80000000e-02    0.00000000e+00    2.38299674e-08    7.78876843e-07    7.78876900e-07    5.69911468e-14    3.03685748e-01    1.56000000e-01   -7.80000000e-02    7.80000000e-02    7.43830173e-02
23      -7.70000000e-02    0.00000000e+00    2.29584988e-08    7.50674224e-07    7.50674013e-07   -2.11137056e-13    3.03698269e-01    1.54000000e-01   -7.70000000e-02    7.70000000e-02    7.43796382e-02
24      -7.60000000e-02    0.00000000e+00    2.21180393e-08    7.23461236e-07    7.23461055e-07   -1.81564727e-13    3.03710741e-01    1.52000000e-01   -7.60000000e-02    7.60000000e-02    7.43763765e-02
25      -7.50000000e-02    0.00000000e+00    2.13075003e-08    6.97204274e-07    6.97203923e-07   -3.51389926e-13    3.03723164e-01    1.50000000e-01   -7.50000000e-02    7.50000000e-02    7.43732283e-02
26      -7.40000000e-02    0.00000000e+00    2.05258296e-08    6.71869543e-07    6.71869628e-07    8.48661858e-14    3.03735536e-01    1.48000000e-01   -7.40000000e-02    7.40000000e-02    7.43701896e-02
27      -7.30000000e-02    0.00000000e+00    1.97720107e-08    6.47426088e-07    6.47426261e-07    1.72952363e-13    3.03747856e-01    1.46000000e-01   -7.30000000e-02    7.30000000e-02    7.43672569e-02
28      -7.20000000e-02    0.00000000e+00    1.90450610e-08    6.23843081e-07    6.23842952e-07   -1.28829037e-13    3.03760122e-01    1.44000000e-01   -7.20000000e-02    7.20000000e-02    7.43644264e-02
