Index       TIME              V(3)              V(1)       
0        0.00000000e+00    4.33632481e+00    1.44000000e+00
1        5.00000000e-10    4.30825387e+00    1.47090170e+00
2        9.06005610e-10    4.27101866e+00    1.49390090e+00
3        1.27141066e-09    4.22988563e+00    1.51165550e+00
4        1.63681571e-09    4.18647146e+00    1.52564957e+00
5        2.36762581e-09    4.10084399e+00    1.53965431e+00
6        3.09843591e-09    4.04059018e+00    1.53301378e+00
7        3.82924600e-09    4.02921689e+00    1.50710369e+00
8        4.56005610e-09    4.07553262e+00    1.46729180e+00
9        5.29086620e-09    4.17154650e+00    1.42182590e+00
10       6.02167630e-09    4.29585647e+00    1.38012511e+00
11       6.75248640e-09    4.42058986e+00    1.35082853e+00
12       7.48329650e-09    4.52039550e+00    1.34000551e+00
13       8.21410659e-09    4.57836259e+00    1.34989823e+00
14       8.94491669e-09    4.58724946e+00    1.37845724e+00
15       9.67572679e-09    4.54666349e+00    1.41976599e+00
16       1.04065369e-08    4.46223473e+00    1.46526660e+00
17       1.11373470e-08    4.34726920e+00    1.50553276e+00
18       1.18681571e-08    4.22361377e+00    1.53222256e+00
19       1.25989672e-08    4.11810719e+00    1.53980673e+00
20       1.33297773e-08    4.05593147e+00    1.52671404e+00
21       1.40605874e-08    4.05294941e+00    1.49565690e+00
22       1.47913975e-08    4.11051374e+00    1.45306939e+00
23       1.55222076e-08    4.21451829e+00    1.40777430e+00
24       1.62530177e-08    4.33973544e+00    1.36915538e+00
25       1.69838278e-08    4.45765186e+00    1.34521325e+00
26       1.77146379e-08    4.54477593e+00    1.34090800e+00
27       1.84454480e-08    4.58718038e+00    1.35713152e+00
28       1.91762581e-08    4.57994144e+00    1.39052281e+00
29       1.99070682e-08    4.52442237e+00    1.43416424e+00
30       2.06378783e-08    4.42838409e+00    1.47901465e+00
31       2.13686884e-08    4.30791606e+00    1.51578245e+00
32       2.20994985e-08    4.18699560e+00    1.53685047e+00
33       2.28303086e-08    4.09276604e+00    1.53785410e+00
34       2.35611187e-08    4.04821728e+00    1.51858540e+00
35       2.42919288e-08    4.06501441e+00    1.48303625e+00
36       2.50227389e-08    4.13945707e+00    1.43857132e+00
37       2.57535490e-08    4.25323783e+00    1.39440238e+00
38       2.64843591e-08    4.37913320e+00    1.35967984e+00
39       2.72151692e-08    4.48943135e+00    1.34159714e+00
40       2.79459793e-08    4.56342229e+00    1.34390046e+00
41       2.86767893e-08    4.59030526e+00    1.36611260e+00
42       2.94075994e-08    4.56736726e+00    1.40363192e+00
43       3.01384095e-08    4.49782067e+00    1.44868557e+00
44       3.08692196e-08    4.39188379e+00    1.49193984e+00
45       3.16000297e-08    4.26840032e+00    1.52443379e+00
46       3.23308398e-08    4.15303148e+00    1.53943569e+00
47       3.30616499e-08    4.07245506e+00    1.53383761e+00
48       3.37924600e-08    4.04675198e+00    1.50879929e+00
49       3.45232701e-08    4.08295591e+00    1.46950790e+00
50       3.52540802e-08    4.17240647e+00    1.42410339e+00
51       3.59848903e-08    4.29316779e+00    1.38199217e+00
52       3.67157004e-08    4.41690942e+00    1.35189836e+00
53       3.74465105e-08    4.51748950e+00    1.34005647e+00
54       3.81773206e-08    4.57728768e+00    1.34891977e+00
55       3.89081307e-08    4.58839605e+00    1.37665206e+00
56       3.96389408e-08    4.55007150e+00    1.41750807e+00
57       4.03697509e-08    4.46750225e+00    1.46302371e+00
58       4.11005610e-08    4.35357053e+00    1.50376956e+00
59       4.18313711e-08    4.22968730e+00    1.53130433e+00
60       4.25621812e-08    4.12260529e+00    1.53992369e+00
61       4.32929913e-08    4.05774403e+00    1.52784197e+00
62       4.40238014e-08    4.05161395e+00    1.49756212e+00
63       4.47546115e-08    4.10633699e+00    1.45535720e+00
64       4.54854216e-08    4.20854388e+00    1.40997074e+00
65       4.62162317e-08    4.33337714e+00    1.37080541e+00
66       4.69470418e-08    4.45229536e+00    1.34597505e+00
67       4.76778519e-08    4.54138305e+00    1.34062373e+00
68       4.84086620e-08    4.58622258e+00    1.35586008e+00
69       4.91394721e-08    4.58149261e+00    1.38852761e+00
70       4.98702822e-08    4.52828333e+00    1.43185861e+00
71       5.06010923e-08    4.43397212e+00    1.47687626e+00
72       5.13319024e-08    4.31421649e+00    1.51425429e+00
73       5.20627125e-08    4.19266672e+00    1.53624915e+00
74       5.27935226e-08    4.09647922e+00    1.53830417e+00
75       5.35243327e-08    4.04903073e+00    1.51999363e+00
76       5.42551428e-08    4.06269569e+00    1.48511090e+00
77       5.49859529e-08    4.13456651e+00    1.44088259e+00
78       5.57167630e-08    4.24697706e+00    1.39647144e+00
79       5.64475731e-08    4.37295523e+00    1.36107805e+00
80       5.71783832e-08    4.48461477e+00    1.34203483e+00
81       5.79091933e-08    4.56077139e+00    1.34328695e+00
82       5.86400034e-08    4.59014595e+00    1.36457500e+00
83       5.93708135e-08    4.56968674e+00    1.40148877e+00
84       6.01016236e-08    4.50231141e+00    1.44638086e+00
85       6.08324337e-08    4.39782751e+00    1.48995104e+00
86       6.15632438e-08    4.27465344e+00    1.52317292e+00
87       6.22940539e-08    4.15821603e+00    1.53916395e+00
88       6.30248640e-08    4.07532290e+00    1.53461130e+00
89       6.37556741e-08    4.04656116e+00    1.51045814e+00
90       6.44864842e-08    4.07972617e+00    1.47170824e+00
91       6.52172943e-08    4.16693146e+00    1.42638938e+00
92       6.59481044e-08    4.28677599e+00    1.38389021e+00
93       6.66789145e-08    4.41104330e+00    1.35301525e+00
94       6.74097246e-08    4.51329636e+00    1.34016082e+00
95       6.81405347e-08    4.57540941e+00    1.34798997e+00
96       6.88713448e-08    4.58903536e+00    1.37488073e+00
97       6.96021549e-08    4.55312876e+00    1.41526217e+00
98       7.03329650e-08    4.47255226e+00    1.46076853e+00
99       7.10637751e-08    4.35975300e+00    1.50197229e+00
100      7.17945852e-08    4.23575302e+00    1.53033732e+00
101      7.25253953e-08    4.12717450e+00    1.53998727e+00
102      7.32562054e-08    4.05969084e+00    1.52892297e+00
103      7.39870155e-08    4.05042014e+00    1.49943659e+00
104      7.47178255e-08    4.10227818e+00    1.45763681e+00
105      7.54486356e-08    4.20262039e+00    1.41218322e+00
106      7.61794457e-08    4.32700262e+00    1.37249241e+00
107      7.69102558e-08    4.44685731e+00    1.34678707e+00
108      7.76410659e-08    4.53787738e+00    1.34039255e+00
109      7.83718760e-08    4.58513551e+00    1.35463359e+00
110      7.91026861e-08    4.58292120e+00    1.38655990e+00
111      7.98334962e-08    4.53203658e+00    1.42955733e+00
112      8.05643063e-08    4.43949515e+00    1.47471816e+00
113      8.12951164e-08    4.32051025e+00    1.51268647e+00
114      8.20259265e-08    4.19840396e+00    1.53559640e+00
115      8.27567366e-08    4.10031728e+00    1.53870173e+00
116      8.34875467e-08    4.05000326e+00    1.52135914e+00
117      8.42183568e-08    4.06052688e+00    1.48716146e+00
118      8.49491669e-08    4.12978148e+00    1.44319339e+00
119      8.56799770e-08    4.24075013e+00    1.39856376e+00
120      8.64107871e-08    4.36674009e+00    1.36251842e+00
121      8.71415972e-08    4.47970536e+00    1.34252485e+00
122      8.78724073e-08    4.55800078e+00    1.34272511e+00
123      8.86032174e-08    4.58985872e+00    1.36307769e+00
124      8.93340275e-08    4.57188640e+00    1.39936619e+00
125      9.00648376e-08    4.50670579e+00    1.44407274e+00
126      9.07956477e-08    4.40372263e+00    1.48793555e+00
127      9.15264578e-08    4.28092295e+00    1.52186761e+00
128      9.22572679e-08    4.16348719e+00    1.53883924e+00
129      9.29880780e-08    4.07833044e+00    1.53533446e+00
130      9.37188881e-08    4.04653093e+00    1.51207935e+00
131      9.44496982e-08    4.07663611e+00    1.47389163e+00
132      9.51805083e-08    4.16154085e+00    1.42868263e+00
133      9.59113184e-08    4.28039477e+00    1.38581823e+00
134      9.66421285e-08    4.40511968e+00    1.35417861e+00
135      9.73729386e-08    4.50899916e+00    1.34031851e+00
136      9.81037487e-08    4.57340695e+00    1.34710932e+00
137      9.88345588e-08    4.58954790e+00    1.37314418e+00
138      9.95653689e-08    4.55607135e+00    1.41302949e+00
139      1.00000000e-07    4.51379130e+00    1.44000000e+00
End of Xyce(TM) Simulation
