Index              V(1)           V(2)
0       0.00000000e+00   1.30000000e+01   
1       1.00000000e-01   1.32000000e+01   
2       2.00000000e-01   1.38000000e+01   
3       3.00000000e-01   1.48000000e+01   
4       4.00000000e-01   1.62000000e+01   
5       5.00000000e-01   1.80000000e+01   
6       6.00000000e-01   2.02000000e+01   
7       7.00000000e-01   2.28000000e+01   
8       8.00000000e-01   2.58000000e+01   
9       9.00000000e-01   2.92000000e+01   
10      1.00000000e+00   3.30000000e+01   
11      1.10000000e+00   3.72000000e+01   
12      1.20000000e+00   4.18000000e+01   
13      1.30000000e+00   4.68000000e+01   
14      1.40000000e+00   5.22000000e+01   
15      1.50000000e+00   5.80000000e+01   
16      1.60000000e+00   6.42000000e+01   
17      1.70000000e+00   7.08000000e+01   
18      1.80000000e+00   7.78000000e+01   
19      1.90000000e+00   8.52000000e+01   
20      2.00000000e+00   9.30000000e+01   
21      2.10000000e+00   1.01200000e+02   
22      2.20000000e+00   1.09800000e+02   
23      2.30000000e+00   1.18800000e+02   
24      2.40000000e+00   1.28200000e+02   
25      2.50000000e+00   1.38000000e+02   
26      2.60000000e+00   1.48200000e+02   
27      2.70000000e+00   1.58800000e+02   
28      2.80000000e+00   1.69800000e+02   
29      2.90000000e+00   1.81200000e+02   
30      3.00000000e+00   1.93000000e+02   
31      3.10000000e+00   2.05200000e+02   
32      3.20000000e+00   2.17800000e+02   
33      3.30000000e+00   2.30800000e+02   
34      3.40000000e+00   2.44200000e+02   
35      3.50000000e+00   2.58000000e+02   
36      3.60000000e+00   2.72200000e+02   
37      3.70000000e+00   2.86800000e+02   
38      3.80000000e+00   3.01800000e+02   
39      3.90000000e+00   3.17200000e+02   
40      4.00000000e+00   3.33000000e+02   
41      4.10000000e+00   3.49200000e+02   
42      4.20000000e+00   3.65800000e+02   
43      4.30000000e+00   3.82800000e+02   
44      4.40000000e+00   4.00200000e+02   
45      4.50000000e+00   4.18000000e+02   
46      4.60000000e+00   4.36200000e+02   
47      4.70000000e+00   4.54800000e+02   
48      4.80000000e+00   4.73800000e+02   
49      4.90000000e+00   4.93200000e+02   
50      5.00000000e+00   5.13000000e+02   
End of Xyce(TM) Simulation
