Index      TIME           V(1)           V(2)           V(3)           I(VMON)
0       0.00000000e+00   4.00000000e+02   4.15000000e+01   1.50000000e+00   1.00000000e+01   
1       1.00000000e-05   3.99744048e+02   4.26412796e+01   1.68900554e+00   1.02380685e+01   
2       1.04513815e-05   3.99732483e+02   4.26929635e+01   1.69771318e+00   1.02488126e+01   
3       1.09027630e-05   3.99720906e+02   4.27446602e+01   1.70644121e+00   1.02595547e+01   
4       1.18055259e-05   3.99697702e+02   4.28480945e+01   1.72396868e+00   1.02810315e+01   
5       1.36110519e-05   3.99651188e+02   4.30551329e+01   1.75926131e+00   1.03239679e+01   
6       1.72221037e-05   3.99557576e+02   4.34698791e+01   1.83088432e+00   1.04097487e+01   
7       2.08331556e-05   3.99463206e+02   4.38855305e+01   1.90389299e+00   1.04954094e+01   
8       2.80552593e-05   3.99272156e+02   4.47195616e+01   2.05411495e+00   1.06663617e+01   
9       3.80552593e-05   3.99002547e+02   4.58804974e+01   2.27149415e+00   1.09022508e+01   
10      4.80552593e-05   3.98727058e+02   4.70486585e+01   2.49993025e+00   1.11371821e+01   
11      5.80552593e-05   3.98445709e+02   4.82241901e+01   2.73960417e+00   1.13711465e+01   
12      6.80552593e-05   3.98158524e+02   4.94072313e+01   2.99069055e+00   1.16041352e+01   
13      7.80552593e-05   3.97865526e+02   5.05979166e+01   3.25335962e+00   1.18361393e+01   
14      8.80552593e-05   3.97566741e+02   5.17963760e+01   3.52777739e+00   1.20671497e+01   
15      9.80552593e-05   3.97262194e+02   5.30027350e+01   3.81410566e+00   1.22971573e+01   
16      1.08055259e-04   3.96951909e+02   5.42171146e+01   4.11250203e+00   1.25261531e+01   
17      1.18055259e-04   3.96635912e+02   5.54396312e+01   4.42311981e+00   1.27541279e+01   
18      1.28055259e-04   3.96314228e+02   5.66703971e+01   4.74610807e+00   1.29810722e+01   
19      1.38055259e-04   3.95986884e+02   5.79095195e+01   5.08161154e+00   1.32069770e+01   
20      1.48055259e-04   3.95653905e+02   5.91571014e+01   5.42977061e+00   1.34318327e+01   
21      1.58055259e-04   3.95315319e+02   6.04132412e+01   5.79072129e+00   1.36556300e+01   
22      1.68055259e-04   3.94971150e+02   6.16780325e+01   6.16459517e+00   1.38783593e+01   
23      1.78055259e-04   3.94621427e+02   6.29515645e+01   6.55151938e+00   1.41000113e+01   
24      1.88055259e-04   3.94266177e+02   6.42339216e+01   6.95161657e+00   1.43205763e+01   
25      1.98055259e-04   3.93905426e+02   6.55251837e+01   7.36500488e+00   1.45400447e+01   
26      2.08055259e-04   3.93539202e+02   6.68254258e+01   7.79179787e+00   1.47584070e+01   
27      2.18055259e-04   3.93167533e+02   6.81347183e+01   8.23210456e+00   1.49756534e+01   
28      2.28055259e-04   3.92790447e+02   6.94531269e+01   8.68602933e+00   1.51917744e+01   
29      2.38055259e-04   3.92407973e+02   7.07807125e+01   9.15367193e+00   1.54067602e+01   
30      2.48055259e-04   3.92020138e+02   7.21175315e+01   9.63512744e+00   1.56206010e+01   
31      2.58055259e-04   3.91626972e+02   7.34636351e+01   1.01304862e+01   1.58332872e+01   
32      2.68055259e-04   3.91228503e+02   7.48190702e+01   1.06398340e+01   1.60448090e+01   
33      2.78055259e-04   3.90824760e+02   7.61838785e+01   1.11632516e+01   1.62551567e+01   
34      2.88055259e-04   3.90415774e+02   7.75580971e+01   1.17008153e+01   1.64643205e+01   
35      2.98055259e-04   3.90001574e+02   7.89417583e+01   1.22525963e+01   1.66722905e+01   
36      3.08055259e-04   3.89582190e+02   8.03348896e+01   1.28186612e+01   1.68790571e+01   
37      3.18055259e-04   3.89157651e+02   8.17375136e+01   1.33990716e+01   1.70846105e+01   
38      3.28055259e-04   3.88727990e+02   8.31496480e+01   1.39938845e+01   1.72889409e+01   
39      3.38055259e-04   3.88293235e+02   8.45713059e+01   1.46031518e+01   1.74920385e+01   
40      3.48055259e-04   3.87853419e+02   8.60024953e+01   1.52269205e+01   1.76938937e+01   
41      3.58055259e-04   3.87408571e+02   8.74432196e+01   1.58652328e+01   1.78944967e+01   
42      3.68055259e-04   3.86958725e+02   8.88934771e+01   1.65181259e+01   1.80938378e+01   
43      3.78055259e-04   3.86503911e+02   9.03532616e+01   1.71856321e+01   1.82919074e+01   
44      3.88055259e-04   3.86044162e+02   9.18225616e+01   1.78677789e+01   1.84886957e+01   
45      3.98055259e-04   3.85579509e+02   9.33013612e+01   1.85645884e+01   1.86841932e+01   
46      4.08055259e-04   3.85109984e+02   9.47896395e+01   1.92760782e+01   1.88783903e+01   
47      4.18055259e-04   3.84635622e+02   9.62873706e+01   2.00022608e+01   1.90712774e+01   
48      4.28055259e-04   3.84156453e+02   9.77945240e+01   2.07431435e+01   1.92628451e+01   
49      4.38055259e-04   3.83672513e+02   9.93110645e+01   2.14987289e+01   1.94530839e+01   
