Index        TIME             V(1)             V(2)
0       0.00000000e+00   0.00000000e+00   0.00000000e+00   
1       5.00000000e-06   -5.00000250e+01  -5.00000000e+01  
2       5.15625000e-06   -5.00000258e+01  -5.00000000e+01  
3       5.29136310e-06   -5.00000265e+01  -5.00000000e+01  
4       5.56158930e-06   -5.00000278e+01  -5.00000000e+01  
5       6.10204169e-06   -5.00000305e+01  -5.00000000e+01  
6       7.18294649e-06   -5.00000359e+01  -5.00000000e+01  
7       9.34475607e-06   -5.00000467e+01  -5.00000000e+01  
8       1.36683752e-05   -5.00000683e+01  -5.00000000e+01  
9       2.23156136e-05   -5.00001116e+01  -5.00000000e+01  
10      3.96100903e-05   -5.00001981e+01  -5.00000000e+01  
11      7.41990437e-05   -5.00003710e+01  -5.00000000e+01  
12      1.43376950e-04   -5.00007169e+01  -5.00000000e+01  
13      2.81732764e-04   -5.00014087e+01  -5.00000000e+01  
14      4.81732764e-04   -5.00024087e+01  -5.00000000e+01  
15      6.81732764e-04   -5.00034087e+01  -5.00000000e+01  
16      8.81732764e-04   -5.00044087e+01  -5.00000000e+01  
17      1.00000000e-03   -5.00050000e+01  -5.00000000e+01  
18      1.00001953e-03   -4.99999987e-03  1.27893859e-10   
19      1.00001959e-03   -4.99993112e-03  6.88810107e-08   
20      1.00001962e-03   -5.00000000e-03  2.88621134e-13   
21      1.00001968e-03   -5.00000000e-03  -2.88623856e-13  
22      1.00001980e-03   -5.00000000e-03  1.06530171e-12   
23      1.00002003e-03   -5.00000000e-03  -1.06527393e-12  
24      1.00002050e-03   -5.00000000e-03  1.06530615e-12   
25      1.00002145e-03   -5.00000000e-03  -1.06529835e-12  
26      1.00002333e-03   -5.00000000e-03  1.06529055e-12   
27      1.00002710e-03   -5.00000000e-03  -1.06529431e-12  
28      1.00003464e-03   -5.00000000e-03  1.06529229e-12   
29      1.00004973e-03   -5.00000000e-03  -1.06529314e-12  
30      1.00007989e-03   -5.00000000e-03  1.06529254e-12   
31      1.00014021e-03   -5.00000000e-03  -1.06529264e-12  
32      1.00026087e-03   -5.00000000e-03  1.06529303e-12   
33      1.00050217e-03   -5.00000000e-03  -1.06529295e-12  
34      1.00098478e-03   -5.00000000e-03  1.06529291e-12   
35      1.00195000e-03   -5.00000000e-03  -1.06529290e-12  
36      1.00388044e-03   -5.00000000e-03  1.06529290e-12   
37      1.00774132e-03   -5.00000000e-03  -1.06529289e-12  
38      1.01546308e-03   -5.00000000e-03  1.06529289e-12   
39      1.03090660e-03   -5.00000000e-03  -1.06529289e-12  
40      1.06179364e-03   -5.00000000e-03  1.06529289e-12   
41      1.12356772e-03   -5.00000000e-03  -1.06529289e-12  
42      1.24711588e-03   -5.00000000e-03  1.06529289e-12   
43      1.44711588e-03   -5.00000000e-03  -1.06529289e-12  
44      1.64711588e-03   -5.00000000e-03  1.06529289e-12   
45      1.84711588e-03   -5.00000000e-03  -1.06529289e-12  
46      2.00000000e-03   -5.00000000e-03  1.06529289e-12   
End of Xyce(TM) Simulation
