Index        TIME             V(18)        {V(203)+1.0}        V(200)
0       0.00000000e+00   2.51100020e+00   1.00000000e+00   2.49700000e+00   
1       1.00000000e-04   2.51100021e+00   1.00000001e+00   2.49700000e+00   
2       3.00000000e-04   2.51100021e+00   1.00000002e+00   2.49700000e+00   
3       7.00000000e-04   2.51100021e+00   1.00000001e+00   2.49700000e+00   
4       1.50000000e-03   2.51100021e+00   1.00000001e+00   2.49700000e+00   
5       3.10000000e-03   2.51100021e+00   1.00000002e+00   2.49700000e+00   
6       6.30000000e-03   2.51100022e+00   1.00000002e+00   2.49700000e+00   
7       1.27000000e-02   2.51100023e+00   1.00000003e+00   2.49700000e+00   
8       2.55000000e-02   2.51100024e+00   1.00000005e+00   2.49700000e+00   
9       5.00000000e-02   2.51100028e+00   1.00000008e+00   2.49700000e+00   
10      5.00005000e-02   2.51100013e+00   9.99999933e-01   2.49695000e+00   
11      5.00015000e-02   2.51099985e+00   9.99999655e-01   2.49685000e+00   
12      5.00035000e-02   2.51099933e+00   9.99999138e-01   2.49665000e+00   
13      5.00075000e-02   2.51099846e+00   9.99998263e-01   2.49625000e+00   
14      5.00155000e-02   2.51099735e+00   9.99997153e-01   2.49545000e+00   
15      5.00315000e-02   2.51099768e+00   9.99997482e-01   2.49385000e+00   
16      5.00475000e-02   2.51100056e+00   1.00000036e+00   2.49225000e+00   
17      5.00635000e-02   2.51100599e+00   1.00000580e+00   2.49065000e+00   
18      5.00955000e-02   2.51102281e+00   1.00002262e+00   2.48745000e+00   
19      5.01000000e-02   2.51102598e+00   1.00002578e+00   2.48700000e+00   
20      5.01045000e-02   2.51103046e+00   1.00003027e+00   2.48700000e+00   
21      5.01135000e-02   2.51103943e+00   1.00003924e+00   2.48700000e+00   
22      5.01315000e-02   2.51105737e+00   1.00005718e+00   2.48700000e+00   
23      5.01675000e-02   2.51109326e+00   1.00009306e+00   2.48700000e+00   
24      5.02395000e-02   2.51116502e+00   1.00016482e+00   2.48700000e+00   
25      5.03835000e-02   2.51130854e+00   1.00030834e+00   2.48700000e+00   
26      5.06715000e-02   2.51159558e+00   1.00059538e+00   2.48700000e+00   
27      5.12475000e-02   2.51216964e+00   1.00116944e+00   2.48700000e+00   
28      5.23995000e-02   2.51331773e+00   1.00231749e+00   2.48700000e+00   
29      5.47035000e-02   2.51561369e+00   1.00461335e+00   2.48700000e+00   
30      5.93115000e-02   2.52020481e+00   1.00920404e+00   2.48700000e+00   
31      6.85275000e-02   2.52938383e+00   1.01838138e+00   2.48700000e+00   
32      8.69595000e-02   2.54772903e+00   1.03671981e+00   2.48700000e+00   
33      1.00000000e-01   2.56070170e+00   1.04968600e+00   2.48700000e+00   
34      1.00000500e-01   2.56070249e+00   1.04968679e+00   2.48710000e+00   
35      1.00001500e-01   2.56070404e+00   1.04968834e+00   2.48730000e+00   
36      1.00003500e-01   2.56070707e+00   1.04969136e+00   2.48770000e+00   
37      1.00007500e-01   2.56071280e+00   1.04969709e+00   2.48850000e+00   
38      1.00015500e-01   2.56072298e+00   1.04970726e+00   2.49010000e+00   
39      1.00031500e-01   2.56073823e+00   1.04972251e+00   2.49330000e+00   
40      1.00063500e-01   2.56074833e+00   1.04973260e+00   2.49970000e+00   
41      1.00100000e-01   2.56073330e+00   1.04971755e+00   2.50700000e+00   
42      1.00136500e-01   2.56069685e+00   1.04968108e+00   2.50700000e+00   
43      1.00209500e-01   2.56062395e+00   1.04960815e+00   2.50700000e+00   
44      1.00355500e-01   2.56047816e+00   1.04946228e+00   2.50700000e+00   
45      1.00647500e-01   2.56018659e+00   1.04917056e+00   2.50700000e+00   
46      1.01231500e-01   2.55960344e+00   1.04858713e+00   2.50700000e+00   
47      1.02399500e-01   2.55843721e+00   1.04742034e+00   2.50700000e+00   
48      1.04735500e-01   2.55610494e+00   1.04508703e+00   2.50700000e+00   
49      1.09407500e-01   2.55144124e+00   1.04042144e+00   2.50700000e+00   
