Index        TIME             V(8)             V(2)
0       1.00000000e-09   9.88400502e+00   0.00000000e+00   
1       1.04500000e-09   9.88400502e+00   0.00000000e+00   
2       1.13500000e-09   9.88400502e+00   0.00000000e+00   
3       1.31500000e-09   9.88400502e+00   0.00000000e+00   
4       1.67500000e-09   9.88400502e+00   0.00000000e+00   
5       2.39500000e-09   9.88400502e+00   0.00000000e+00   
6       3.39500000e-09   9.88400502e+00   0.00000000e+00   
7       4.39500000e-09   9.88400502e+00   0.00000000e+00   
8       5.39500000e-09   9.88400502e+00   0.00000000e+00   
9       6.39500000e-09   9.88400502e+00   0.00000000e+00   
10      7.39500000e-09   9.88400502e+00   0.00000000e+00   
11      8.39500000e-09   9.88400502e+00   0.00000000e+00   
12      9.39500000e-09   9.88400502e+00   0.00000000e+00   
13      1.00000000e-08   9.88400502e+00   0.00000000e+00   
14      1.00500000e-08   9.88400496e+00   0.00000000e+00   
15      1.01500000e-08   9.88400483e+00   0.00000000e+00   
16      1.02500000e-08   9.88400471e+00   0.00000000e+00   
17      1.04500000e-08   9.88400451e+00   0.00000000e+00   
18      1.06500000e-08   9.88400435e+00   0.00000000e+00   
19      1.08500000e-08   9.88400424e+00   0.00000000e+00   
20      1.12500000e-08   9.88400410e+00   0.00000000e+00   
21      1.16500000e-08   9.88400402e+00   0.00000000e+00   
22      1.20500000e-08   9.88400400e+00   0.00000000e+00   
23      1.28500000e-08   9.88400398e+00   0.00000000e+00   
24      1.36500000e-08   9.88400401e+00   0.00000000e+00   
25      1.52500000e-08   9.88400403e+00   0.00000000e+00   
26      1.68500000e-08   9.88400406e+00   0.00000000e+00   
27      1.93500000e-08   9.88400407e+00   0.00000000e+00   
28      2.00000000e-08   9.88400409e+00   0.00000000e+00   
29      2.00250000e-08   9.88400410e+00   0.00000000e+00   
30      2.00750000e-08   9.88400414e+00   0.00000000e+00   
31      2.01750000e-08   9.88400420e+00   0.00000000e+00   
32      2.03750000e-08   9.88400431e+00   0.00000000e+00   
33      2.05750000e-08   9.88400440e+00   0.00000000e+00   
34      2.07750000e-08   9.88400447e+00   0.00000000e+00   
35      2.11750000e-08   9.88400460e+00   0.00000000e+00   
36      2.15350000e-08   9.88400467e+00   0.00000000e+00   
37      2.18590000e-08   9.88400471e+00   0.00000000e+00   
38      2.21830000e-08   9.88400475e+00   0.00000000e+00   
39      2.25070000e-08   9.88400478e+00   0.00000000e+00   
40      2.31550000e-08   9.88400482e+00   0.00000000e+00   
41      2.36033816e-08   9.88400483e+00   0.00000000e+00   
42      2.39834537e-08   9.88400484e+00   0.00000000e+00   
43      2.43635257e-08   9.88400484e+00   0.00000000e+00   
44      2.47435977e-08   9.88400485e+00   0.00000000e+00   
45      2.50000000e-08   9.88400485e+00   0.00000000e+00   
46      2.52000000e-08   9.88400515e+00   5.00000000e-02   
47      2.52250000e-08   9.88400519e+00   5.62500000e-02   
48      2.52750000e-08   9.88400527e+00   6.87500000e-02   
49      2.53125313e-08   9.88400534e+00   7.81328159e-02   
50      2.53500625e-08   9.88400540e+00   8.75156318e-02   
51      2.53875938e-08   9.88400546e+00   9.68984476e-02   
52      2.54626563e-08   9.88400557e+00   1.15664079e-01   
53      2.55302126e-08   9.88400566e+00   1.32553148e-01   
54      2.55977689e-08   9.88400574e+00   1.49442217e-01   
55      2.56653251e-08   9.88400582e+00   1.66331285e-01   
56      2.58004377e-08   9.88400595e+00   2.00109422e-01   
57      2.59160615e-08   9.88400604e+00   2.29015363e-01   
58      2.60316852e-08   9.88400613e+00   2.57921303e-01   
59      2.61473090e-08   9.88400620e+00   2.86827243e-01   
60      2.63785565e-08   9.88400634e+00   3.44639124e-01   
61      2.65840163e-08   9.88400644e+00   3.96004064e-01   
62      2.67894760e-08   9.88400654e+00   4.47369004e-01   
63      2.69949358e-08   9.88400663e+00   4.98733945e-01   
64      2.74058553e-08   9.88400681e+00   6.01463825e-01   
65      2.77533869e-08   9.88400694e+00   6.88346735e-01   
66      2.80661654e-08   9.88400707e+00   7.66541353e-01   
67      2.83789439e-08   9.88400719e+00   8.44735971e-01   
68      2.86917224e-08   9.88400730e+00   9.22930590e-01   
69      2.93172793e-08   9.88400754e+00   1.07931983e+00   
70      2.97963505e-08   9.88400771e+00   1.19908763e+00   
71      3.02227417e-08   9.88400787e+00   1.30568542e+00   
72      3.06491328e-08   9.88400803e+00   1.41228321e+00   
73      3.10755240e-08   9.88400818e+00   1.51888100e+00   
74      3.19283063e-08   9.88400849e+00   1.73207658e+00   
75      3.26452021e-08   9.88400873e+00   1.91130052e+00   
76      3.32904082e-08   9.88400895e+00   2.07260206e+00   
77      3.39356144e-08   9.88400917e+00   2.23390360e+00   
78      3.52260267e-08   9.88400959e+00   2.55650668e+00   
79      3.65164391e-08   9.88401001e+00   2.87910976e+00   
80      3.78068514e-08   9.88401042e+00   3.20171285e+00   
81      4.03876760e-08   9.88401126e+00   3.84691901e+00   
82      4.29685007e-08   9.88401196e+00   4.49212518e+00   
83      4.55493254e-08   9.88401272e+00   5.13733134e+00   
84      4.81301500e-08   9.88401349e+00   5.78253751e+00   
85      5.32917993e-08   9.88401523e+00   7.07294984e+00   
86      5.84534487e-08   9.88401668e+00   8.36336217e+00   
87      6.36150980e-08   9.88401879e+00   9.65377450e+00   
88      6.50000000e-08   9.88402004e+00   1.00000000e+01   
89      6.54250000e-08   9.88401949e+00   1.00000000e+01   
90      6.62750000e-08   9.88401858e+00   1.00000000e+01   
91      6.71250000e-08   9.88401809e+00   1.00000000e+01   
92      6.88250000e-08   9.88401742e+00   1.00000000e+01   
93      7.05250000e-08   9.88401696e+00   1.00000000e+01   
94      7.39250000e-08   9.88401603e+00   1.00000000e+01   
95      7.73250000e-08   9.88401532e+00   1.00000000e+01   
96      8.07250000e-08   9.88401467e+00   1.00000000e+01   
